Date,Rate,Lower,Upper
2020-12-15,0.8,0.66,0.96
2020-12-09,1.15,0.97,1.34
2020-12-02,1.29,1.11,1.49
2020-10-20,2.31,2.09,2.53
2020-10-28,2.24,2.01,2.48
2020-11-11,2.02,1.8,2.25
2020-11-18,1.77,1.57,1.98
2020-11-25,1.55,1.36,1.75
2020-11-03,2.2,1.98,2.44
2020-10-13,1.71,1.54,1.89
2020-06-18,0.11,0.04,0.21
2020-06-25,0.06,0.01,0.15
2020-07-02,0.06,0.01,0.12
2020-07-09,0.05,0.02,0.1
2020-07-16,0.04,0.01,0.09
2020-07-23,0.05,0.02,0.11
2020-07-30,0.06,0.03,0.14
2020-08-10,0.07,0.03,0.14
2020-08-17,0.08,0.04,0.14
2020-08-24,0.05,0.02,0.1
2020-09-07,0.21,0.12,0.34
2020-09-21,0.5,0.39,0.62
2020-09-28,0.91,0.78,1.06
2020-10-05,1.31,1.15,1.48
2020-10-20,2.31,2.09,2.53
2020-09-02,0.11,0.05,0.22
2020-08-06,0.07,0.03,0.15
2020-09-16,0.48,0.34,0.66
2020-06-25,0.03,0,0.08
2020-12-30,2.14,1.88,2.41
2021-01-13,2.1,1.88,2.34
2021-01-20,2.28,2.05,2.53
2021-01-27,1.77,1.56,1.99
2021-02-03,1.43,1.26,1.62
2021-02-09,1.15,0.98,1.32
2021-02-16,0.93,0.77,1.1
2021-02-24,0.52,0.4,0.66
2021-03-03,0.34,0.25,0.45
2021-03-10,0.29,0.21,0.39
2021-03-17,0.4,0.29,0.52
2021-03-24,0.36,0.26,0.48
2021-03-31,0.5,0.37,0.64
2021-04-07,0.39,0.28,0.5
2021-04-13,0.27,0.19,0.37
2021-04-21,0.11,0.06,0.18
2021-04-29,0.09,0.04,0.15
2021-05-05,0.09,0.04,0.15
2021-05-12,0.08,0.04,0.13
2021-05-19,0.06,0.03,0.12
2021-05-26,0.36,0.26,0.47
2021-06-02,0.49,0.36,0.65
2021-06-09,0.55,0.4,0.73
2021-06-16,0.65,0.48,0.83
2021-06-23,0.94,0.73,1.18
2021-06-30,1.24,0.98,1.54
2021-07-07,1.8,1.53,2.1
