Date,Rate,Lower,Upper
2020-05-09,0.41,0.13,0.98
2020-05-23,0.61,0.34,1
2020-06-06,0.09,0.02,0.29
2020-06-20,0.05,0,0.2
2020-07-04,0.07,0.01,0.2
2020-07-18,0.1,0.03,0.27
2020-08-01,0.07,0.02,0.18
2020-08-15,0.1,0.04,0.22
2020-08-29,0.16,0.07,0.3
2020-09-12,0.51,0.37,0.7
2020-09-26,1.22,1.04,1.43
2020-10-10,2.1,1.88,2.33
2020-10-14,2.67,2.43,2.92
2020-11-07,2.47,2.23,2.73
2020-11-21,1.89,1.69,2.1
2020-12-05,1.34,1.17,1.53
2020-12-19,0.83,0.69,0.99
2021-01-02,2.2,1.97,2.45
2021-01-16,2.54,2.29,2.81
2021-01-30,1.74,1.53,1.97
2021-02-13,1.12,0.96,1.31
2021-02-27,0.48,0.38,0.61
2021-03-13,0.33,0.25,0.44
2021-03-27,0.46,0.35,0.59
2021-04-10,0.29,0.21,0.4
2021-04-14,0.12,0.06,0.21
2021-05-08,0.07,0.03,0.13
2021-05-22,0.26,0.17,0.37
2021-06-05,0.4,0.3,0.53
2021-06-19,0.93,0.73,1.16
2021-07-03,1.66,1.41,1.94
