Date,Rate,Lower,Upper
2020-09-24,0.26,0.08,0.64
2020-10-01,0.22,0.05,0.60
2020-10-08,0.41,0.19,0.78
2020-10-16,1.01,0.64,1.50
2020-10-23,1.32,0.68,2.38
2020-10-31,1.36,0.73,2.31
2020-11-06,0.97,0.62,1.41
2020-11-14,0.74,0.48,1.07
2020-11-21,0.69,0.44,1.01
2020-11-28,0.52,0.33,0.77
2020-12-05,0.43,0.24,0.66
2020-12-12,0.47,0.28,0.71
2020-12-18,0.55,0.33,0.81
2020-12-22,0.43,0.24,0.70
2021-01-02,0.50,0.29,0.77
2021-01-09,1.20,0.91,1.53
2021-01-16,1.60,1.25,1.99
2021-01-23,2.01,1.66,2.39
2021-01-30,1.56,1.29,1.88
2021-02-06,1.33,1.08,1.61
2021-02-12,0.97,0.76,1.22
2021-02-19,0.52,0.36,0.71
2021-02-26,0.31,0.18,0.48
2021-03-06,0.32,0.19,0.50
2021-03-13,0.32,0.18,0.51
2021-03-20,0.32,0.17,0.52
2021-03-27,0.45,0.25,0.70
2021-04-03,0.33,0.17,0.54
2021-04-10,0.14,0.05,0.28
2021-04-16,0.15,0.06,0.29
2021-04-24,0.11,0.03,0.22
2021-05-02,0.13,0.05,0.27
2021-05-08,0.07,0.02,0.1
2021-05-15,0.06,0.01,0.16
2021-05-22,0.12,0.04,0.27
2021-05-29,0.12,0.04,0.26
2021-06-05,0.14,0.05,0.28
2021-06-12,0.16,0.06,0.32
2021-06-19,0.14,0.05,0.29
2021-06-26,0.15,0.06,0.30
2021-07-03,0.33,0.16,0.57
2021-07-10,0.34,0.17,0.59
