Date,Rate,Lower,Upper
2020-10-16,0.57,0.35,0.88
2020-10-23,0.71,0.48,1.01
2020-10-31,0.90,0.63,1.24
2020-11-06,0.75,0.54,1.00
2020-11-14,0.64,0.45,0.86
2020-11-21,0.87,0.67,1.10
2020-11-28,0.78,0.60,0.98
2020-12-05,0.82,0.61,1.06
2020-12-12,1.00,0.79,1.23
2020-12-18,0.71,0.55,0.88
2020-12-23,0.69,0.54,0.85
2020-12-31,0.87,0.72,1.04
2021-01-09,1.06,0.88,1.27
2021-01-16,0.99,0.84,1.15
2021-01-23,0.92,0.79,1.06
2021-01-30,0.88,0.75,1.01
2021-02-06,0.67,0.57,0.78
2021-02-12,0.55,0.46,0.66
2021-02-19,0.45,0.35,0.55
2021-02-27,0.30,0.21,0.40
2021-03-06,0.31,0.22,0.42
2021-03-13,0.37,0.27,0.49
2021-03-20,0.41,0.30,0.54
2021-03-27,0.32,0.21,0.45
2021-04-03,0.25,0.16,0.36
2021-04-10,0.20,0.12,0.30
2021-04-16,0.18,0.10,0.27
2021-04-24,0.16,0.09,0.25
2021-05-02,0.13,0.07,0.22
2021-05-08,0.08,0.04,0.15
2021-05-15,0.05,0.02,0.10
2021-05-22,0.16,0.08,0.26
2021-05-29,0.15,0.08,0.24
2021-06-05,0.18,0.11,0.28
2021-06-12,0.17,0.09,0.27
2021-06-19,0.46,0.32,0.64
2021-06-26,0.68,0.50,0.90
2021-07-03,1.01,0.78,1.27
2021-07-10,1.14,0.91,1.40
