areaType,areaName,areaCode,date,newLFDTests,cumLFDTests
region,South East,E12000008,2021-07-19,144865,23061336
region,South East,E12000008,2021-07-18,167883,22916471
region,South East,E12000008,2021-07-17,88016,22748588
region,South East,E12000008,2021-07-16,116200,22660572
region,South East,E12000008,2021-07-15,153526,22544372
region,South East,E12000008,2021-07-14,173012,22390846
region,South East,E12000008,2021-07-13,110284,22217834
region,South East,E12000008,2021-07-12,160063,22107550
region,South East,E12000008,2021-07-11,174117,21947487
region,South East,E12000008,2021-07-10,87831,21773370
region,South East,E12000008,2021-07-09,110955,21685539
region,South East,E12000008,2021-07-08,153600,21574584
region,South East,E12000008,2021-07-07,179820,21420984
region,South East,E12000008,2021-07-06,117810,21241164
region,South East,E12000008,2021-07-05,175399,21123354
region,South East,E12000008,2021-07-04,201722,20947955
region,South East,E12000008,2021-07-03,70881,20746233
region,South East,E12000008,2021-07-02,99071,20675352
region,South East,E12000008,2021-07-01,149826,20576281
region,South East,E12000008,2021-06-30,182377,20426455
region,South East,E12000008,2021-06-29,104724,20244078
region,South East,E12000008,2021-06-28,172946,20139354
region,South East,E12000008,2021-06-27,208653,19966408
region,South East,E12000008,2021-06-26,61886,19757755
region,South East,E12000008,2021-06-25,95211,19695869
region,South East,E12000008,2021-06-24,144318,19600658
region,South East,E12000008,2021-06-23,172619,19456340
region,South East,E12000008,2021-06-22,97910,19283721
region,South East,E12000008,2021-06-21,162748,19185811
region,South East,E12000008,2021-06-20,202338,19023063
region,South East,E12000008,2021-06-19,58737,18820725
region,South East,E12000008,2021-06-18,91756,18761988
region,South East,E12000008,2021-06-17,147173,18670232
region,South East,E12000008,2021-06-16,170135,18523059
region,South East,E12000008,2021-06-15,95584,18352924
region,South East,E12000008,2021-06-14,162167,18257340
region,South East,E12000008,2021-06-13,192761,18095173
region,South East,E12000008,2021-06-12,54520,17902412
region,South East,E12000008,2021-06-11,86121,17847892
region,South East,E12000008,2021-06-10,135029,17761771
region,South East,E12000008,2021-06-09,167073,17626742
region,South East,E12000008,2021-06-08,86760,17459669
region,South East,E12000008,2021-06-07,159276,17372909
