areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,South East,E12000008,2021-07-19,1379,650689
region,South East,E12000008,2021-07-18,3822,649310
region,South East,E12000008,2021-07-17,4444,645488
region,South East,E12000008,2021-07-16,6525,641044
region,South East,E12000008,2021-07-15,7635,634519
region,South East,E12000008,2021-07-14,6468,626884
region,South East,E12000008,2021-07-13,5169,620416
region,South East,E12000008,2021-07-12,4856,615247
region,South East,E12000008,2021-07-11,3358,610391
region,South East,E12000008,2021-07-10,3011,607033
region,South East,E12000008,2021-07-09,3389,604022
region,South East,E12000008,2021-07-08,3350,600633
region,South East,E12000008,2021-07-07,3741,597283
region,South East,E12000008,2021-07-06,3477,593542
region,South East,E12000008,2021-07-05,3450,590065
region,South East,E12000008,2021-07-04,2451,586615
region,South East,E12000008,2021-07-03,2441,584164
region,South East,E12000008,2021-07-02,2505,581723
region,South East,E12000008,2021-07-01,2689,579218
region,South East,E12000008,2021-06-30,2607,576529
region,South East,E12000008,2021-06-29,2549,573922
region,South East,E12000008,2021-06-28,2535,571373
region,South East,E12000008,2021-06-27,1831,568838
region,South East,E12000008,2021-06-26,1500,567007
region,South East,E12000008,2021-06-25,1551,565507
region,South East,E12000008,2021-06-24,1518,563956
region,South East,E12000008,2021-06-23,1398,562438
region,South East,E12000008,2021-06-22,1233,561040
region,South East,E12000008,2021-06-21,1077,559807
region,South East,E12000008,2021-06-20,740,558730
region,South East,E12000008,2021-06-19,600,557990
region,South East,E12000008,2021-06-18,832,557390
region,South East,E12000008,2021-06-17,806,556558
region,South East,E12000008,2021-06-16,934,555752
region,South East,E12000008,2021-06-15,838,554818
region,South East,E12000008,2021-06-14,831,553980
region,South East,E12000008,2021-06-13,565,553149
region,South East,E12000008,2021-06-12,499,552584
region,South East,E12000008,2021-06-11,596,552085
region,South East,E12000008,2021-06-10,662,551489
region,South East,E12000008,2021-06-09,631,550827
region,South East,E12000008,2021-06-08,556,550196
region,South East,E12000008,2021-06-07,599,549640
region,South East,E12000008,2021-06-06,468,549041
region,South East,E12000008,2021-06-05,396,548573
region,South East,E12000008,2021-06-04,479,548177
region,South East,E12000008,2021-06-03,499,547698
region,South East,E12000008,2021-06-02,548,547199
region,South East,E12000008,2021-06-01,460,546651
region,South East,E12000008,2021-05-31,351,546191
region,South East,E12000008,2021-05-30,311,545840
region,South East,E12000008,2021-05-29,277,545529
region,South East,E12000008,2021-05-28,315,545252
region,South East,E12000008,2021-05-27,334,544937
region,South East,E12000008,2021-05-26,334,544603
region,South East,E12000008,2021-05-25,275,544269
region,South East,E12000008,2021-05-24,296,543994
region,South East,E12000008,2021-05-23,214,543698
region,South East,E12000008,2021-05-22,141,543484
region,South East,E12000008,2021-05-21,178,543343
region,South East,E12000008,2021-05-20,156,543165
region,South East,E12000008,2021-05-19,182,543009
region,South East,E12000008,2021-05-18,164,542827
region,South East,E12000008,2021-05-17,189,542663
region,South East,E12000008,2021-05-16,139,542474
region,South East,E12000008,2021-05-15,123,542335
region,South East,E12000008,2021-05-14,127,542212
region,South East,E12000008,2021-05-13,176,542085
region,South East,E12000008,2021-05-12,163,541909
region,South East,E12000008,2021-05-11,147,541746
region,South East,E12000008,2021-05-10,195,541599
region,South East,E12000008,2021-05-09,162,541404
region,South East,E12000008,2021-05-08,118,541242
region,South East,E12000008,2021-05-07,163,541124
region,South East,E12000008,2021-05-06,180,540961
region,South East,E12000008,2021-05-05,189,540781
region,South East,E12000008,2021-05-04,185,540592
region,South East,E12000008,2021-05-03,183,540407
region,South East,E12000008,2021-05-02,141,540224
region,South East,E12000008,2021-05-01,124,540083
region,South East,E12000008,2021-04-30,143,539959
region,South East,E12000008,2021-04-29,173,539816
region,South East,E12000008,2021-04-28,246,539643
region,South East,E12000008,2021-04-27,197,539397
region,South East,E12000008,2021-04-26,241,539200
region,South East,E12000008,2021-04-25,220,538959
region,South East,E12000008,2021-04-24,130,538739
region,South East,E12000008,2021-04-23,184,538609
region,South East,E12000008,2021-04-22,236,538425
region,South East,E12000008,2021-04-21,270,538189
region,South East,E12000008,2021-04-20,200,537919
region,South East,E12000008,2021-04-19,253,537719
region,South East,E12000008,2021-04-18,279,537466
region,South East,E12000008,2021-04-17,158,537187
region,South East,E12000008,2021-04-16,200,537029
region,South East,E12000008,2021-04-15,190,536829
region,South East,E12000008,2021-04-14,227,536639
region,South East,E12000008,2021-04-13,214,536412
region,South East,E12000008,2021-04-12,226,536198
region,South East,E12000008,2021-04-11,190,535972
region,South East,E12000008,2021-04-10,208,535782
region,South East,E12000008,2021-04-09,238,535574
region,South East,E12000008,2021-04-08,275,535336
region,South East,E12000008,2021-04-07,305,535061
region,South East,E12000008,2021-04-06,300,534756
region,South East,E12000008,2021-04-05,186,534456
region,South East,E12000008,2021-04-04,193,534270
region,South East,E12000008,2021-04-03,198,534077
region,South East,E12000008,2021-04-02,211,533879
region,South East,E12000008,2021-04-01,283,533668
region,South East,E12000008,2021-03-31,335,533385
region,South East,E12000008,2021-03-30,286,533050
region,South East,E12000008,2021-03-29,332,532764
region,South East,E12000008,2021-03-28,453,532432
region,South East,E12000008,2021-03-27,299,531979
region,South East,E12000008,2021-03-26,360,531680
region,South East,E12000008,2021-03-25,463,531320
region,South East,E12000008,2021-03-24,594,530857
region,South East,E12000008,2021-03-23,422,530263
region,South East,E12000008,2021-03-22,473,529841
region,South East,E12000008,2021-03-21,491,529368
region,South East,E12000008,2021-03-20,325,528877
region,South East,E12000008,2021-03-19,405,528552
region,South East,E12000008,2021-03-18,437,528147
region,South East,E12000008,2021-03-17,466,527710
region,South East,E12000008,2021-03-16,444,527244
region,South East,E12000008,2021-03-15,549,526800
region,South East,E12000008,2021-03-14,358,526251
region,South East,E12000008,2021-03-13,340,525893
region,South East,E12000008,2021-03-12,443,525553
region,South East,E12000008,2021-03-11,483,525110
region,South East,E12000008,2021-03-10,493,524627
region,South East,E12000008,2021-03-09,532,524134
region,South East,E12000008,2021-03-08,564,523602
region,South East,E12000008,2021-03-07,358,523038
region,South East,E12000008,2021-03-06,404,522680
region,South East,E12000008,2021-03-05,451,522276
region,South East,E12000008,2021-03-04,441,521825
region,South East,E12000008,2021-03-03,520,521384
region,South East,E12000008,2021-03-02,572,520864
region,South East,E12000008,2021-03-01,544,520292
region,South East,E12000008,2021-02-28,441,519748
region,South East,E12000008,2021-02-27,445,519307
region,South East,E12000008,2021-02-26,597,518862
region,South East,E12000008,2021-02-25,726,518265
region,South East,E12000008,2021-02-24,778,517539
region,South East,E12000008,2021-02-23,829,516761
region,South East,E12000008,2021-02-22,1058,515932
region,South East,E12000008,2021-02-21,760,514874
region,South East,E12000008,2021-02-20,796,514114
region,South East,E12000008,2021-02-19,1008,513318
region,South East,E12000008,2021-02-18,1111,512310
region,South East,E12000008,2021-02-17,1106,511199
region,South East,E12000008,2021-02-16,1166,510093
region,South East,E12000008,2021-02-15,1359,508927
region,South East,E12000008,2021-02-14,824,507568
region,South East,E12000008,2021-02-13,922,506744
region,South East,E12000008,2021-02-12,1257,505822
region,South East,E12000008,2021-02-11,1248,504565
region,South East,E12000008,2021-02-10,1387,503317
region,South East,E12000008,2021-02-09,1460,501930
region,South East,E12000008,2021-02-08,1643,500470
region,South East,E12000008,2021-02-07,1209,498827
region,South East,E12000008,2021-02-06,1204,497618
region,South East,E12000008,2021-02-05,1807,496414
region,South East,E12000008,2021-02-04,2091,494607
region,South East,E12000008,2021-02-03,2316,492516
region,South East,E12000008,2021-02-02,2502,490200
region,South East,E12000008,2021-02-01,2774,487698
region,South East,E12000008,2021-01-31,1662,484924
region,South East,E12000008,2021-01-30,2110,483262
region,South East,E12000008,2021-01-29,2774,481152
region,South East,E12000008,2021-01-28,3104,478378
region,South East,E12000008,2021-01-27,3265,475274
region,South East,E12000008,2021-01-26,3619,472009
region,South East,E12000008,2021-01-25,4383,468390
region,South East,E12000008,2021-01-24,2205,464007
region,South East,E12000008,2021-01-23,3121,461802
region,South East,E12000008,2021-01-22,4108,458681
region,South East,E12000008,2021-01-21,4433,454573
region,South East,E12000008,2021-01-20,4786,450140
region,South East,E12000008,2021-01-19,5597,445354
region,South East,E12000008,2021-01-18,6555,439757
region,South East,E12000008,2021-01-17,4022,433202
region,South East,E12000008,2021-01-16,4297,429180
region,South East,E12000008,2021-01-15,5995,424883
region,South East,E12000008,2021-01-14,6559,418888
region,South East,E12000008,2021-01-13,6723,412329
region,South East,E12000008,2021-01-12,7202,405606
region,South East,E12000008,2021-01-11,8865,398404
region,South East,E12000008,2021-01-10,5369,389539
region,South East,E12000008,2021-01-09,5887,384170
region,South East,E12000008,2021-01-08,7309,378283
region,South East,E12000008,2021-01-07,7932,370974
region,South East,E12000008,2021-01-06,8529,363042
region,South East,E12000008,2021-01-05,10378,354513
region,South East,E12000008,2021-01-04,12506,344135
region,South East,E12000008,2021-01-03,8382,331629
region,South East,E12000008,2021-01-02,9552,323247
region,South East,E12000008,2021-01-01,5535,313695
region,South East,E12000008,2020-12-31,8454,308160
region,South East,E12000008,2020-12-30,12117,299706
region,South East,E12000008,2020-12-29,14666,287589
region,South East,E12000008,2020-12-28,7917,272923
region,South East,E12000008,2020-12-27,8023,265006
region,South East,E12000008,2020-12-26,7364,256983
region,South East,E12000008,2020-12-25,2477,249619
region,South East,E12000008,2020-12-24,5713,247142
region,South East,E12000008,2020-12-23,7007,241429
region,South East,E12000008,2020-12-22,8347,234422
region,South East,E12000008,2020-12-21,8904,226075
region,South East,E12000008,2020-12-20,5998,217171
region,South East,E12000008,2020-12-19,3959,211173
region,South East,E12000008,2020-12-18,6240,207214
region,South East,E12000008,2020-12-17,5923,200974
region,South East,E12000008,2020-12-16,6041,195051
region,South East,E12000008,2020-12-15,6043,189010
region,South East,E12000008,2020-12-14,5991,182967
region,South East,E12000008,2020-12-13,3688,176976
region,South East,E12000008,2020-12-12,3293,173288
region,South East,E12000008,2020-12-11,4076,169995
region,South East,E12000008,2020-12-10,3586,165919
region,South East,E12000008,2020-12-09,3229,162333
region,South East,E12000008,2020-12-08,3130,159104
region,South East,E12000008,2020-12-07,3291,155974
region,South East,E12000008,2020-12-06,2030,152683
region,South East,E12000008,2020-12-05,1885,150653
region,South East,E12000008,2020-12-04,2334,148768
region,South East,E12000008,2020-12-03,2287,146434
region,South East,E12000008,2020-12-02,2289,144147
region,South East,E12000008,2020-12-01,2283,141858
region,South East,E12000008,2020-11-30,2413,139575
region,South East,E12000008,2020-11-29,1468,137162
region,South East,E12000008,2020-11-28,1461,135694
region,South East,E12000008,2020-11-27,2053,134233
region,South East,E12000008,2020-11-26,1757,132180
region,South East,E12000008,2020-11-25,2046,130423
region,South East,E12000008,2020-11-24,1967,128377
region,South East,E12000008,2020-11-23,2381,126410
region,South East,E12000008,2020-11-22,1292,124029
region,South East,E12000008,2020-11-21,1475,122737
region,South East,E12000008,2020-11-20,1883,121262
region,South East,E12000008,2020-11-19,1896,119379
region,South East,E12000008,2020-11-18,2256,117483
region,South East,E12000008,2020-11-17,2286,115227
region,South East,E12000008,2020-11-16,2998,112941
region,South East,E12000008,2020-11-15,1694,109943
region,South East,E12000008,2020-11-14,1807,108249
region,South East,E12000008,2020-11-13,2731,106442
region,South East,E12000008,2020-11-12,2622,103711
region,South East,E12000008,2020-11-11,2716,101089
region,South East,E12000008,2020-11-10,2607,98373
region,South East,E12000008,2020-11-09,2987,95766
region,South East,E12000008,2020-11-08,1958,92779
region,South East,E12000008,2020-11-07,1715,90821
region,South East,E12000008,2020-11-06,1921,89106
region,South East,E12000008,2020-11-05,1920,87185
region,South East,E12000008,2020-11-04,1944,85265
region,South East,E12000008,2020-11-03,1969,83321
region,South East,E12000008,2020-11-02,2525,81352
region,South East,E12000008,2020-11-01,1017,78827
region,South East,E12000008,2020-10-31,1211,77810
region,South East,E12000008,2020-10-30,1701,76599
region,South East,E12000008,2020-10-29,1708,74898
region,South East,E12000008,2020-10-28,1629,73190
region,South East,E12000008,2020-10-27,1703,71561
region,South East,E12000008,2020-10-26,1859,69858
region,South East,E12000008,2020-10-25,972,67999
region,South East,E12000008,2020-10-24,1097,67027
region,South East,E12000008,2020-10-23,1426,65930
region,South East,E12000008,2020-10-22,1449,64504
region,South East,E12000008,2020-10-21,1640,63055
region,South East,E12000008,2020-10-20,1600,61415
region,South East,E12000008,2020-10-19,1409,59815
region,South East,E12000008,2020-10-18,764,58406
region,South East,E12000008,2020-10-17,797,57642
region,South East,E12000008,2020-10-16,960,56845
region,South East,E12000008,2020-10-15,977,55885
region,South East,E12000008,2020-10-14,1077,54908
region,South East,E12000008,2020-10-13,1027,53831
region,South East,E12000008,2020-10-12,868,52804
region,South East,E12000008,2020-10-11,492,51936
region,South East,E12000008,2020-10-10,562,51444
region,South East,E12000008,2020-10-09,782,50882
region,South East,E12000008,2020-10-08,971,50100
region,South East,E12000008,2020-10-07,915,49129
region,South East,E12000008,2020-10-06,685,48214
region,South East,E12000008,2020-10-05,751,47529
region,South East,E12000008,2020-10-04,563,46778
region,South East,E12000008,2020-10-03,539,46215
region,South East,E12000008,2020-10-02,634,45676
region,South East,E12000008,2020-10-01,519,45042
region,South East,E12000008,2020-09-30,490,44523
region,South East,E12000008,2020-09-29,348,44033
region,South East,E12000008,2020-09-28,376,43685
region,South East,E12000008,2020-09-27,268,43309
region,South East,E12000008,2020-09-26,217,43041
region,South East,E12000008,2020-09-25,314,42824
region,South East,E12000008,2020-09-24,287,42510
region,South East,E12000008,2020-09-23,254,42223
region,South East,E12000008,2020-09-22,265,41969
region,South East,E12000008,2020-09-21,226,41704
region,South East,E12000008,2020-09-20,176,41478
region,South East,E12000008,2020-09-19,174,41302
region,South East,E12000008,2020-09-18,192,41128
region,South East,E12000008,2020-09-17,165,40936
region,South East,E12000008,2020-09-16,145,40771
region,South East,E12000008,2020-09-15,137,40626
region,South East,E12000008,2020-09-14,149,40489
region,South East,E12000008,2020-09-13,62,40340
region,South East,E12000008,2020-09-12,136,40278
region,South East,E12000008,2020-09-11,157,40142
region,South East,E12000008,2020-09-10,212,39985
region,South East,E12000008,2020-09-09,166,39773
region,South East,E12000008,2020-09-08,186,39607
region,South East,E12000008,2020-09-07,205,39421
region,South East,E12000008,2020-09-06,180,39216
region,South East,E12000008,2020-09-05,158,39036
region,South East,E12000008,2020-09-04,227,38878
region,South East,E12000008,2020-09-03,225,38651
region,South East,E12000008,2020-09-02,199,38426
region,South East,E12000008,2020-09-01,124,38227
region,South East,E12000008,2020-08-31,116,38103
region,South East,E12000008,2020-08-30,101,37987
region,South East,E12000008,2020-08-29,104,37886
region,South East,E12000008,2020-08-28,118,37782
region,South East,E12000008,2020-08-27,127,37664
region,South East,E12000008,2020-08-26,115,37537
