Date,Rate,Lower,Upper
2020-12-15,1.35,1.17,1.54
2020-12-09,0.83,0.68,0.98
2020-12-02,0.62,0.5,0.75
2020-10-20,0.45,0.36,0.56
2020-10-28,0.46,0.35,0.58
2020-11-11,0.86,0.71,1.01
2020-11-18,0.74,0.61,0.88
2020-11-25,0.63,0.52,0.75
2020-11-03,0.7,0.57,0.84
2020-10-13,0.39,0.31,0.49
2020-06-18,0.04,0.01,0.1
2020-06-25,0.03,0,0.08
2020-07-02,0.04,0.01,0.09
2020-07-09,0.04,0.03,0.06
2020-07-16,0.05,0.03,0.07
2020-07-23,0.07,0.04,0.1
2020-07-30,0.05,0.03,0.07
2020-08-10,0.03,0.01,0.06
2020-08-17,0.03,0.01,0.06
2020-08-24,0.04,0.02,0.09
2020-09-07,0.07,0.04,0.13
2020-09-21,0.07,0.04,0.11
2020-09-28,0.1,0.07,0.15
2020-10-05,0.25,0.19,0.33
2020-10-20,0.45,0.36,0.56
2020-09-02,0.09,0.04,0.17
2020-08-06,0.04,0.01,0.07
2020-09-16,0.1,0.06,0.16
2020-06-25,0.06,0.01,0.15
2020-12-30,2.13,1.88,2.39
2021-01-13,1.77,1.58,1.98
2021-01-20,1.74,1.54,1.95
2021-01-27,1.23,1.06,1.41
2021-02-03,0.94,0.8,1.08
2021-02-09,0.75,0.62,0.89
2021-02-16,0.57,0.45,0.7
2021-02-24,0.29,0.22,0.39
2021-03-03,0.37,0.28,0.48
2021-03-10,0.3,0.22,0.4
2021-03-17,0.21,0.14,0.3
2021-03-24,0.15,0.09,0.22
2021-03-31,0.22,0.15,0.31
2021-04-07,0.12,0.07,0.19
2021-04-13,0.15,0.09,0.23
2021-04-21,0.09,0.05,0.15
2021-04-29,0.07,0.04,0.13
2021-05-05,0.06,0.03,0.11
2021-05-12,0.08,0.04,0.14
2021-05-19,0.03,0.01,0.07
2021-05-26,0.07,0.03,0.12
2021-06-02,0.1,0.05,0.17
2021-06-09,0.11,0.06,0.18
2021-06-16,0.09,0.05,0.15
2021-06-23,0.16,0.09,0.24
2021-06-30,0.29,0.19,0.41
2021-07-07,0.44,0.32,0.6
