Date,Rate,Lower,Upper
2020-05-09,0.39,0.16,0.79
2020-05-23,0.08,0.01,0.24
2020-06-06,0.02,0,0.09
2020-06-20,0.02,0,0.09
2020-07-04,0.03,0.01,0.09
2020-07-18,0.08,0.02,0.21
2020-08-01,0.02,0,0.1
2020-08-15,0.06,0.02,0.16
2020-08-29,0.12,0.06,0.22
2020-09-12,0.11,0.05,0.19
2020-09-26,0.15,0.1,0.23
2020-10-10,0.44,0.35,0.55
2020-10-14,0.54,0.44,0.67
2020-11-07,1.02,0.88,1.19
2020-11-21,0.89,0.76,1.04
2020-12-05,1,0.85,1.16
2020-12-19,1.65,1.45,1.86
2021-01-02,2.29,2.07,2.52
2021-01-16,1.96,1.75,2.18
2021-01-30,1.21,1.05,1.39
2021-02-13,0.7,0.59,0.83
2021-02-27,0.4,0.31,0.51
2021-03-13,0.22,0.15,0.3
2021-03-27,0.22,0.15,0.32
2021-04-10,0.15,0.09,0.25
2021-04-14,0.07,0.03,0.12
2021-05-08,0.08,0.04,0.15
2021-05-22,0.04,0.02,0.1
2021-06-05,0.12,0.07,0.19
2021-06-19,0.13,0.08,0.2
2021-07-03,0.42,0.31,0.55
