areaType,areaName,areaCode,date,newLFDTests,cumLFDTests
region,South West,E12000009,2021-07-19,95192,13886388
region,South West,E12000009,2021-07-18,109669,13791196
region,South West,E12000009,2021-07-17,49006,13681527
region,South West,E12000009,2021-07-16,68706,13632521
region,South West,E12000009,2021-07-15,97044,13563815
region,South West,E12000009,2021-07-14,106486,13466771
region,South West,E12000009,2021-07-13,68219,13360285
region,South West,E12000009,2021-07-12,101832,13292066
region,South West,E12000009,2021-07-11,108165,13190234
region,South West,E12000009,2021-07-10,44245,13082069
region,South West,E12000009,2021-07-09,64510,13037824
region,South West,E12000009,2021-07-08,94821,12973314
region,South West,E12000009,2021-07-07,107452,12878493
region,South West,E12000009,2021-07-06,69130,12771041
region,South West,E12000009,2021-07-05,107079,12701911
region,South West,E12000009,2021-07-04,123811,12594832
region,South West,E12000009,2021-07-03,43107,12471021
region,South West,E12000009,2021-07-02,61310,12427914
region,South West,E12000009,2021-07-01,95450,12366604
region,South West,E12000009,2021-06-30,108644,12271154
region,South West,E12000009,2021-06-29,65390,12162510
region,South West,E12000009,2021-06-28,106511,12097120
region,South West,E12000009,2021-06-27,126876,11990609
region,South West,E12000009,2021-06-26,37172,11863733
region,South West,E12000009,2021-06-25,59893,11826561
region,South West,E12000009,2021-06-24,93706,11766668
region,South West,E12000009,2021-06-23,107188,11672962
region,South West,E12000009,2021-06-22,62857,11565774
region,South West,E12000009,2021-06-21,103742,11502917
region,South West,E12000009,2021-06-20,125826,11399175
region,South West,E12000009,2021-06-19,41209,11273349
region,South West,E12000009,2021-06-18,58547,11232140
region,South West,E12000009,2021-06-17,92175,11173593
region,South West,E12000009,2021-06-16,103974,11081418
region,South West,E12000009,2021-06-15,58353,10977444
region,South West,E12000009,2021-06-14,100179,10919091
region,South West,E12000009,2021-06-13,112532,10818912
region,South West,E12000009,2021-06-12,31988,10706380
region,South West,E12000009,2021-06-11,54552,10674392
region,South West,E12000009,2021-06-10,83486,10619840
region,South West,E12000009,2021-06-09,99635,10536354
region,South West,E12000009,2021-06-08,53629,10436719
region,South West,E12000009,2021-06-07,95882,10383090
region,South West,E12000009,2021-06-06,133371,10287208
region,South West,E12000009,2021-06-05,29198,10153837
