areaType,areaName,areaCode,date,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
region,South West,E12000009,2021-07-15,9.8,250009
region,South West,E12000009,2021-07-14,8.6,250280
region,South West,E12000009,2021-07-13,8.0,247058
region,South West,E12000009,2021-07-12,7.3,247454
region,South West,E12000009,2021-07-11,6.7,249760
region,South West,E12000009,2021-07-10,6.4,250913
region,South West,E12000009,2021-07-09,6.2,251281
region,South West,E12000009,2021-07-08,5.9,248593
region,South West,E12000009,2021-07-07,5.7,247954
region,South West,E12000009,2021-07-06,5.4,244979
region,South West,E12000009,2021-07-05,5.1,241845
region,South West,E12000009,2021-07-04,4.9,242373
region,South West,E12000009,2021-07-03,4.8,239686
region,South West,E12000009,2021-07-02,4.6,234951
region,South West,E12000009,2021-07-01,4.5,230073
region,South West,E12000009,2021-06-30,4.4,223426
region,South West,E12000009,2021-06-29,4.2,217545
region,South West,E12000009,2021-06-28,4.0,211700
region,South West,E12000009,2021-06-27,3.6,208929
region,South West,E12000009,2021-06-26,3.5,206717
region,South West,E12000009,2021-06-25,3.3,203415
region,South West,E12000009,2021-06-24,3.2,200190
region,South West,E12000009,2021-06-23,3.1,198265
region,South West,E12000009,2021-06-22,2.9,195596
region,South West,E12000009,2021-06-21,2.8,192941
region,South West,E12000009,2021-06-20,2.7,190882
region,South West,E12000009,2021-06-19,2.6,188439
region,South West,E12000009,2021-06-18,2.6,185116
region,South West,E12000009,2021-06-17,2.5,178176
region,South West,E12000009,2021-06-16,2.3,172997
region,South West,E12000009,2021-06-15,2.1,168146
region,South West,E12000009,2021-06-14,1.8,164140
region,South West,E12000009,2021-06-13,1.6,165422
region,South West,E12000009,2021-06-12,1.5,165387
region,South West,E12000009,2021-06-11,1.3,163803
region,South West,E12000009,2021-06-10,1.2,161866
region,South West,E12000009,2021-06-09,1.1,161270
region,South West,E12000009,2021-06-08,0.9,160777
region,South West,E12000009,2021-06-07,0.8,160144
region,South West,E12000009,2021-06-06,0.7,153470
region,South West,E12000009,2021-06-05,0.6,151458
region,South West,E12000009,2021-06-04,0.6,149132
region,South West,E12000009,2021-06-03,0.5,146144
region,South West,E12000009,2021-06-02,0.5,145545
region,South West,E12000009,2021-06-01,0.4,144901
region,South West,E12000009,2021-05-31,0.3,143257
region,South West,E12000009,2021-05-30,0.3,155842
region,South West,E12000009,2021-05-29,0.3,157228
region,South West,E12000009,2021-05-28,0.3,158304
region,South West,E12000009,2021-05-27,0.2,157412
region,South West,E12000009,2021-05-26,0.2,155398
region,South West,E12000009,2021-05-25,0.3,152832
region,South West,E12000009,2021-05-24,0.3,150407
region,South West,E12000009,2021-05-23,0.3,152164
region,South West,E12000009,2021-05-22,0.3,151757
