areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,South West,E12000009,2021-07-19,1049,298963
region,South West,E12000009,2021-07-18,3070,297914
region,South West,E12000009,2021-07-17,3280,294844
region,South West,E12000009,2021-07-16,4664,291564
region,South West,E12000009,2021-07-15,5609,286900
region,South West,E12000009,2021-07-14,4779,281291
region,South West,E12000009,2021-07-13,4075,276512
region,South West,E12000009,2021-07-12,3538,272437
region,South West,E12000009,2021-07-11,2418,268899
region,South West,E12000009,2021-07-10,2079,266481
region,South West,E12000009,2021-07-09,2411,264402
region,South West,E12000009,2021-07-08,2477,261991
region,South West,E12000009,2021-07-07,2684,259514
region,South West,E12000009,2021-07-06,2453,256830
region,South West,E12000009,2021-07-05,2152,254377
region,South West,E12000009,2021-07-04,1623,252225
region,South West,E12000009,2021-07-03,1606,250602
region,South West,E12000009,2021-07-02,1635,248996
region,South West,E12000009,2021-07-01,1762,247361
region,South West,E12000009,2021-06-30,1832,245599
region,South West,E12000009,2021-06-29,1747,243767
region,South West,E12000009,2021-06-28,1753,242020
region,South West,E12000009,2021-06-27,1073,240267
region,South West,E12000009,2021-06-26,1072,239194
region,South West,E12000009,2021-06-25,1110,238122
region,South West,E12000009,2021-06-24,1160,237012
region,South West,E12000009,2021-06-23,1194,235852
region,South West,E12000009,2021-06-22,1092,234658
region,South West,E12000009,2021-06-21,938,233566
region,South West,E12000009,2021-06-20,692,232628
region,South West,E12000009,2021-06-19,599,231936
region,South West,E12000009,2021-06-18,755,231337
region,South West,E12000009,2021-06-17,877,230582
region,South West,E12000009,2021-06-16,847,229705
region,South West,E12000009,2021-06-15,696,228858
region,South West,E12000009,2021-06-14,715,228162
region,South West,E12000009,2021-06-13,516,227447
region,South West,E12000009,2021-06-12,411,226931
region,South West,E12000009,2021-06-11,478,226520
region,South West,E12000009,2021-06-10,424,226042
region,South West,E12000009,2021-06-09,451,225618
region,South West,E12000009,2021-06-08,316,225167
region,South West,E12000009,2021-06-07,337,224851
region,South West,E12000009,2021-06-06,221,224514
region,South West,E12000009,2021-06-05,151,224293
region,South West,E12000009,2021-06-04,193,224142
region,South West,E12000009,2021-06-03,196,223949
region,South West,E12000009,2021-06-02,200,223753
region,South West,E12000009,2021-06-01,127,223553
region,South West,E12000009,2021-05-31,122,223426
region,South West,E12000009,2021-05-30,71,223304
region,South West,E12000009,2021-05-29,59,223233
region,South West,E12000009,2021-05-28,91,223174
region,South West,E12000009,2021-05-27,90,223083
region,South West,E12000009,2021-05-26,85,222993
region,South West,E12000009,2021-05-25,74,222908
region,South West,E12000009,2021-05-24,76,222834
region,South West,E12000009,2021-05-23,71,222758
region,South West,E12000009,2021-05-22,52,222687
region,South West,E12000009,2021-05-21,56,222635
region,South West,E12000009,2021-05-20,84,222579
region,South West,E12000009,2021-05-19,93,222495
region,South West,E12000009,2021-05-18,66,222402
region,South West,E12000009,2021-05-17,92,222336
region,South West,E12000009,2021-05-16,68,222244
region,South West,E12000009,2021-05-15,55,222176
region,South West,E12000009,2021-05-14,43,222121
region,South West,E12000009,2021-05-13,65,222078
region,South West,E12000009,2021-05-12,73,222013
region,South West,E12000009,2021-05-11,89,221940
region,South West,E12000009,2021-05-10,97,221851
region,South West,E12000009,2021-05-09,101,221754
region,South West,E12000009,2021-05-08,56,221653
region,South West,E12000009,2021-05-07,73,221597
region,South West,E12000009,2021-05-06,88,221524
region,South West,E12000009,2021-05-05,113,221436
region,South West,E12000009,2021-05-04,107,221323
region,South West,E12000009,2021-05-03,116,221216
region,South West,E12000009,2021-05-02,64,221100
region,South West,E12000009,2021-05-01,39,221036
region,South West,E12000009,2021-04-30,62,220997
region,South West,E12000009,2021-04-29,98,220935
