Date,Rate,Lower,Upper
2020-12-15,0.52,0.39,0.67
2020-12-09,0.41,0.29,0.55
2020-12-02,0.42,0.3,0.56
2020-10-20,0.47,0.35,0.62
2020-10-28,0.59,0.44,0.76
2020-11-11,0.7,0.54,0.88
2020-11-18,0.67,0.53,0.84
2020-11-25,0.46,0.34,0.59
2020-11-03,0.78,0.61,0.98
2020-10-13,0.31,0.22,0.42
2020-06-18,0.03,0,0.09
2020-06-25,0.05,0.01,0.1
2020-07-02,0.04,0.01,0.08
2020-07-09,0.02,0,0.06
2020-07-16,0.02,0,0.06
2020-07-23,0.04,0.01,0.08
2020-07-30,0.05,0.02,0.13
2020-08-10,0.04,0.02,0.09
2020-08-17,0.04,0.01,0.08
2020-08-24,0.05,0.02,0.09
2020-09-07,0.05,0.02,0.08
2020-09-21,0.08,0.04,0.14
2020-09-28,0.21,0.12,0.32
2020-10-05,0.33,0.22,0.45
2020-10-20,0.47,0.35,0.62
2020-09-02,0.06,0.02,0.11
2020-08-06,0.05,0.02,0.11
2020-09-16,0.07,0.04,0.13
2020-06-25,0.05,0.01,0.12
2020-12-30,0.73,0.55,0.94
2021-01-13,1.22,1.02,1.45
2021-01-20,1.42,1.21,1.66
2021-01-27,1.01,0.83,1.21
2021-02-03,0.98,0.81,1.17
2021-02-09,0.75,0.6,0.91
2021-02-16,0.41,0.3,0.55
2021-02-24,0.27,0.18,0.38
2021-03-03,0.34,0.23,0.48
2021-03-10,0.23,0.14,0.34
2021-03-17,0.21,0.13,0.33
2021-03-24,0.13,0.06,0.22
2021-03-31,0.08,0.04,0.15
2021-04-07,0.09,0.04,0.16
2021-04-13,0.06,0.03,0.13
2021-04-21,0.03,0.01,0.08
2021-04-29,0.02,0,0.05
2021-05-05,0.05,0.02,0.11
2021-05-12,0.04,0.01,0.09
2021-05-19,0.03,0.01,0.09
2021-05-26,0.1,0.04,0.18
2021-06-02,0.05,0.01,0.12
2021-06-09,0.09,0.03,0.18
2021-06-16,0.17,0.09,0.29
2021-06-23,0.2,0.1,0.33
2021-06-30,0.44,0.28,0.64
2021-07-07,0.76,0.53,1.03
