Date,Rate,Lower,Upper
2020-05-09,0.04,0.01,0.16
2020-05-23,0.12,0.02,0.38
2020-06-06,0,0,0.12
2020-06-20,0.09,0.01,0.37
2020-07-04,0,0,0.1
2020-07-18,0.02,0,0.11
2020-08-01,0.04,0,0.13
2020-08-15,0.06,0.01,0.2
2020-08-29,0.1,0.03,0.24
2020-09-12,0.1,0.03,0.22
2020-09-26,0.32,0.2,0.47
2020-10-10,0.4,0.29,0.54
2020-10-14,0.7,0.54,0.89
2020-11-07,0.9,0.73,1.11
2020-11-21,0.7,0.55,0.87
2020-12-05,0.51,0.38,0.66
2020-12-19,0.65,0.49,0.84
2021-01-02,0.96,0.79,1.15
2021-01-16,1.67,1.42,1.95
2021-01-30,0.97,0.8,1.17
2021-02-13,0.53,0.4,0.69
2021-02-27,0.31,0.22,0.44
2021-03-13,0.23,0.14,0.35
2021-03-27,0.08,0.03,0.18
2021-04-10,0.06,0.02,0.13
2021-04-14,0,0,0.03
2021-05-08,0.03,0.01,0.08
2021-05-22,0.08,0.03,0.18
2021-06-05,0.08,0.02,0.2
2021-06-19,0.21,0.11,0.37
2021-07-03,0.71,0.51,0.97
