areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,Wales,W92000004,2021-07-19,418,234168
nation,Wales,W92000004,2021-07-18,558,233750
nation,Wales,W92000004,2021-07-17,612,233192
nation,Wales,W92000004,2021-07-16,951,232580
nation,Wales,W92000004,2021-07-15,1116,231629
nation,Wales,W92000004,2021-07-14,1203,230513
nation,Wales,W92000004,2021-07-13,1098,229310
nation,Wales,W92000004,2021-07-12,913,228212
nation,Wales,W92000004,2021-07-11,714,227299
nation,Wales,W92000004,2021-07-10,655,226585
nation,Wales,W92000004,2021-07-09,778,225930
nation,Wales,W92000004,2021-07-08,713,225152
nation,Wales,W92000004,2021-07-07,777,224439
nation,Wales,W92000004,2021-07-06,771,223662
nation,Wales,W92000004,2021-07-05,777,222891
nation,Wales,W92000004,2021-07-04,555,222114
nation,Wales,W92000004,2021-07-03,496,221559
nation,Wales,W92000004,2021-07-02,577,221063
nation,Wales,W92000004,2021-07-01,645,220486
nation,Wales,W92000004,2021-06-30,596,219841
nation,Wales,W92000004,2021-06-29,637,219245
nation,Wales,W92000004,2021-06-28,628,218608
nation,Wales,W92000004,2021-06-27,364,217980
nation,Wales,W92000004,2021-06-26,252,217616
nation,Wales,W92000004,2021-06-25,376,217364
nation,Wales,W92000004,2021-06-24,413,216988
nation,Wales,W92000004,2021-06-23,413,216575
nation,Wales,W92000004,2021-06-22,343,216162
nation,Wales,W92000004,2021-06-21,342,215819
nation,Wales,W92000004,2021-06-20,187,215477
nation,Wales,W92000004,2021-06-19,195,215290
nation,Wales,W92000004,2021-06-18,174,215095
nation,Wales,W92000004,2021-06-17,222,214921
nation,Wales,W92000004,2021-06-16,189,214699
nation,Wales,W92000004,2021-06-15,194,214510
nation,Wales,W92000004,2021-06-14,159,214316
nation,Wales,W92000004,2021-06-13,112,214157
nation,Wales,W92000004,2021-06-12,86,214045
nation,Wales,W92000004,2021-06-11,130,213959
nation,Wales,W92000004,2021-06-10,139,213829
nation,Wales,W92000004,2021-06-09,129,213690
nation,Wales,W92000004,2021-06-08,116,213561
nation,Wales,W92000004,2021-06-07,105,213445
nation,Wales,W92000004,2021-06-06,68,213340
nation,Wales,W92000004,2021-06-05,76,213272
nation,Wales,W92000004,2021-06-04,65,213196
nation,Wales,W92000004,2021-06-03,88,213131
nation,Wales,W92000004,2021-06-02,80,213043
nation,Wales,W92000004,2021-06-01,59,212963
nation,Wales,W92000004,2021-05-31,60,212904
nation,Wales,W92000004,2021-05-30,39,212844
nation,Wales,W92000004,2021-05-29,41,212805
nation,Wales,W92000004,2021-05-28,40,212764
nation,Wales,W92000004,2021-05-27,36,212724
nation,Wales,W92000004,2021-05-26,30,212688
nation,Wales,W92000004,2021-05-25,50,212658
nation,Wales,W92000004,2021-05-24,41,212608
nation,Wales,W92000004,2021-05-23,21,212567
nation,Wales,W92000004,2021-05-22,35,212546
nation,Wales,W92000004,2021-05-21,51,212511
nation,Wales,W92000004,2021-05-20,47,212460
nation,Wales,W92000004,2021-05-19,35,212413
nation,Wales,W92000004,2021-05-18,45,212378
nation,Wales,W92000004,2021-05-17,50,212333
nation,Wales,W92000004,2021-05-16,31,212283
nation,Wales,W92000004,2021-05-15,27,212252
nation,Wales,W92000004,2021-05-14,44,212225
nation,Wales,W92000004,2021-05-13,37,212181
nation,Wales,W92000004,2021-05-12,61,212144
nation,Wales,W92000004,2021-05-11,65,212083
nation,Wales,W92000004,2021-05-10,42,212018
nation,Wales,W92000004,2021-05-09,30,211976
nation,Wales,W92000004,2021-05-08,31,211946
nation,Wales,W92000004,2021-05-07,39,211915
nation,Wales,W92000004,2021-05-06,65,211876
nation,Wales,W92000004,2021-05-05,45,211811
nation,Wales,W92000004,2021-05-04,56,211766
nation,Wales,W92000004,2021-05-03,27,211710
nation,Wales,W92000004,2021-05-02,27,211683
nation,Wales,W92000004,2021-05-01,32,211656
nation,Wales,W92000004,2021-04-30,34,211624
nation,Wales,W92000004,2021-04-29,55,211590
nation,Wales,W92000004,2021-04-28,48,211535
nation,Wales,W92000004,2021-04-27,60,211487
nation,Wales,W92000004,2021-04-26,56,211427
nation,Wales,W92000004,2021-04-25,32,211371
nation,Wales,W92000004,2021-04-24,38,211339
nation,Wales,W92000004,2021-04-23,48,211301
nation,Wales,W92000004,2021-04-22,55,211253
nation,Wales,W92000004,2021-04-21,63,211198
nation,Wales,W92000004,2021-04-20,57,211135
nation,Wales,W92000004,2021-04-19,74,211078
nation,Wales,W92000004,2021-04-18,54,211004
nation,Wales,W92000004,2021-04-17,38,210950
nation,Wales,W92000004,2021-04-16,60,210912
nation,Wales,W92000004,2021-04-15,71,210852
nation,Wales,W92000004,2021-04-14,79,210781
nation,Wales,W92000004,2021-04-13,64,210702
nation,Wales,W92000004,2021-04-12,107,210638
nation,Wales,W92000004,2021-04-11,54,210531
nation,Wales,W92000004,2021-04-10,51,210477
nation,Wales,W92000004,2021-04-09,72,210426
nation,Wales,W92000004,2021-04-08,90,210354
nation,Wales,W92000004,2021-04-07,105,210264
nation,Wales,W92000004,2021-04-06,105,210159
nation,Wales,W92000004,2021-04-05,72,210054
nation,Wales,W92000004,2021-04-04,76,209982
nation,Wales,W92000004,2021-04-03,58,209906
nation,Wales,W92000004,2021-04-02,63,209848
nation,Wales,W92000004,2021-04-01,94,209785
nation,Wales,W92000004,2021-03-31,108,209691
nation,Wales,W92000004,2021-03-30,137,209583
nation,Wales,W92000004,2021-03-29,123,209446
nation,Wales,W92000004,2021-03-28,103,209323
nation,Wales,W92000004,2021-03-27,87,209220
nation,Wales,W92000004,2021-03-26,152,209133
nation,Wales,W92000004,2021-03-25,199,208981
nation,Wales,W92000004,2021-03-24,190,208782
nation,Wales,W92000004,2021-03-23,163,208592
nation,Wales,W92000004,2021-03-22,198,208429
nation,Wales,W92000004,2021-03-21,139,208231
nation,Wales,W92000004,2021-03-20,152,208092
nation,Wales,W92000004,2021-03-19,177,207940
nation,Wales,W92000004,2021-03-18,219,207763
nation,Wales,W92000004,2021-03-17,183,207544
nation,Wales,W92000004,2021-03-16,183,207361
nation,Wales,W92000004,2021-03-15,196,207178
nation,Wales,W92000004,2021-03-14,158,206982
nation,Wales,W92000004,2021-03-13,190,206824
nation,Wales,W92000004,2021-03-12,206,206634
nation,Wales,W92000004,2021-03-11,228,206428
nation,Wales,W92000004,2021-03-10,202,206200
nation,Wales,W92000004,2021-03-09,165,205998
nation,Wales,W92000004,2021-03-08,258,205833
nation,Wales,W92000004,2021-03-07,146,205575
nation,Wales,W92000004,2021-03-06,169,205429
nation,Wales,W92000004,2021-03-05,131,205260
nation,Wales,W92000004,2021-03-04,199,205129
nation,Wales,W92000004,2021-03-03,209,204930
nation,Wales,W92000004,2021-03-02,237,204721
nation,Wales,W92000004,2021-03-01,244,204484
nation,Wales,W92000004,2021-02-28,207,204240
nation,Wales,W92000004,2021-02-27,139,204033
nation,Wales,W92000004,2021-02-26,202,203894
nation,Wales,W92000004,2021-02-25,225,203692
nation,Wales,W92000004,2021-02-24,264,203467
nation,Wales,W92000004,2021-02-23,288,203203
nation,Wales,W92000004,2021-02-22,336,202915
nation,Wales,W92000004,2021-02-21,273,202579
nation,Wales,W92000004,2021-02-20,267,202306
nation,Wales,W92000004,2021-02-19,310,202039
nation,Wales,W92000004,2021-02-18,343,201729
nation,Wales,W92000004,2021-02-17,373,201386
nation,Wales,W92000004,2021-02-16,442,201013
nation,Wales,W92000004,2021-02-15,453,200571
nation,Wales,W92000004,2021-02-14,289,200118
nation,Wales,W92000004,2021-02-13,282,199829
nation,Wales,W92000004,2021-02-12,407,199547
nation,Wales,W92000004,2021-02-11,377,199140
nation,Wales,W92000004,2021-02-10,450,198763
nation,Wales,W92000004,2021-02-09,464,198313
nation,Wales,W92000004,2021-02-08,492,197849
nation,Wales,W92000004,2021-02-07,284,197357
nation,Wales,W92000004,2021-02-06,359,197073
nation,Wales,W92000004,2021-02-05,501,196714
nation,Wales,W92000004,2021-02-04,501,196213
nation,Wales,W92000004,2021-02-03,583,195712
nation,Wales,W92000004,2021-02-02,599,195129
nation,Wales,W92000004,2021-02-01,612,194530
nation,Wales,W92000004,2021-01-31,460,193918
nation,Wales,W92000004,2021-01-30,486,193458
nation,Wales,W92000004,2021-01-29,598,192972
nation,Wales,W92000004,2021-01-28,658,192374
nation,Wales,W92000004,2021-01-27,704,191716
nation,Wales,W92000004,2021-01-26,731,191012
nation,Wales,W92000004,2021-01-25,846,190281
nation,Wales,W92000004,2021-01-24,396,189435
nation,Wales,W92000004,2021-01-23,541,189039
nation,Wales,W92000004,2021-01-22,772,188498
nation,Wales,W92000004,2021-01-21,909,187726
nation,Wales,W92000004,2021-01-20,971,186817
nation,Wales,W92000004,2021-01-19,1081,185846
nation,Wales,W92000004,2021-01-18,1397,184765
nation,Wales,W92000004,2021-01-17,825,183368
nation,Wales,W92000004,2021-01-16,1005,182543
nation,Wales,W92000004,2021-01-15,1212,181538
nation,Wales,W92000004,2021-01-14,1311,180326
nation,Wales,W92000004,2021-01-13,1463,179015
nation,Wales,W92000004,2021-01-12,1601,177552
nation,Wales,W92000004,2021-01-11,1735,175951
nation,Wales,W92000004,2021-01-10,1178,174216
nation,Wales,W92000004,2021-01-09,1142,173038
nation,Wales,W92000004,2021-01-08,1596,171896
nation,Wales,W92000004,2021-01-07,1663,170300
nation,Wales,W92000004,2021-01-06,1990,168637
nation,Wales,W92000004,2021-01-05,2383,166647
nation,Wales,W92000004,2021-01-04,2658,164264
nation,Wales,W92000004,2021-01-03,1809,161606
nation,Wales,W92000004,2021-01-02,2087,159797
nation,Wales,W92000004,2021-01-01,1211,157710
nation,Wales,W92000004,2020-12-31,2010,156499
nation,Wales,W92000004,2020-12-30,2699,154489
nation,Wales,W92000004,2020-12-29,3563,151790
nation,Wales,W92000004,2020-12-28,2356,148227
nation,Wales,W92000004,2020-12-27,2496,145871
nation,Wales,W92000004,2020-12-26,1893,143375
nation,Wales,W92000004,2020-12-25,643,141482
nation,Wales,W92000004,2020-12-24,1473,140839
nation,Wales,W92000004,2020-12-23,2443,139366
nation,Wales,W92000004,2020-12-22,2705,136923
nation,Wales,W92000004,2020-12-21,2744,134218
nation,Wales,W92000004,2020-12-20,2208,131474
nation,Wales,W92000004,2020-12-19,2170,129266
nation,Wales,W92000004,2020-12-18,2537,127096
nation,Wales,W92000004,2020-12-17,2776,124559
nation,Wales,W92000004,2020-12-16,3141,121783
nation,Wales,W92000004,2020-12-15,3181,118642
nation,Wales,W92000004,2020-12-14,3539,115461
nation,Wales,W92000004,2020-12-13,2733,111922
nation,Wales,W92000004,2020-12-12,2285,109189
nation,Wales,W92000004,2020-12-11,2812,106904
nation,Wales,W92000004,2020-12-10,2664,104092
nation,Wales,W92000004,2020-12-09,2692,101428
nation,Wales,W92000004,2020-12-08,2602,98736
nation,Wales,W92000004,2020-12-07,2511,96134
nation,Wales,W92000004,2020-12-06,1697,93623
nation,Wales,W92000004,2020-12-05,1533,91926
nation,Wales,W92000004,2020-12-04,1698,90393
nation,Wales,W92000004,2020-12-03,1806,88695
nation,Wales,W92000004,2020-12-02,1644,86889
nation,Wales,W92000004,2020-12-01,1611,85245
nation,Wales,W92000004,2020-11-30,1505,83634
nation,Wales,W92000004,2020-11-29,966,82129
nation,Wales,W92000004,2020-11-28,844,81163
nation,Wales,W92000004,2020-11-27,1035,80319
nation,Wales,W92000004,2020-11-26,1159,79284
nation,Wales,W92000004,2020-11-25,1337,78125
