Date,Rate,Lower,Upper
2020-08-02,0.05,0.01,0.11
2020-08-09,0.05,0.01,0.11
2020-08-13,0.04,0.01,0.10
2020-08-20,0.04,0.01,0.09
2020-08-25,0.05,0.01,0.11
2020-09-05,0.04,0.01,0.09
2020-09-10,0.05,0.01,0.13
2020-09-19,0.35,0.14,0.66
2020-09-24,0.21,0.09,0.39
2020-10-01,0.20,0.06,0.48
2020-10-08,0.26,0.08,0.59
2020-10-16,0.55,0.25,1.00
2020-10-23,0.86,0.41,1.58
2020-10-31,0.89,0.40,1.66
2020-11-06,1.16,0.84,1.53
2020-11-14,0.61,0.38,0.88
2020-11-21,0.54,0.34,0.78
2020-11-28,0.60,0.40,0.84
2020-12-05,0.84,0.57,1.17
2020-12-12,1.10,0.78,1.46
2020-12-18,1.72,1.34,2.15
2020-12-23,1.91,1.50,2.37
2021-01-02,1.45,1.11,1.85
2021-01-09,1.45,1.15,1.78
2021-01-16,1.45,1.18,1.74
2021-01-23,1.43,1.19,1.70
2021-01-30,1.40,1.19,1.63
2021-02-06,1.16,0.98,1.37
2021-02-12,0.81,0.66,0.97
2021-02-19,0.48,0.36,0.62
2021-02-27,0.35,0.24,0.49
2021-03-06,0.27,0.18,0.39
2021-03-13,0.23,0.14,0.35
2021-03-20,0.22,0.13,0.34
2021-03-27,0.18,0.09,0.29
2021-04-03,0.12,0.06,0.21
2021-04-10,0.11,0.05,0.20
2021-04-16,0.12,0.06,0.21
2021-04-24,0.06,0.02,0.14
2021-05-02,0.05,0.01,0.11
2021-05-08,0.02,0.00,0.06
2021-05-15,0.02,0.00,0.07
2021-05-22,0.03,0.00,0.07
2021-05-29,0.10,0.03,0.19
2021-06-05,0.08,0.03,0.16
2021-06-12,0.07,0.02,0.14
2021-06-19,0.12,0.05,0.22
2021-06-26,0.22,0.12,0.36
2021-07-03,0.30,0.17,0.45
2021-07-10,0.28,0.16,0.42
