areaType,areaName,areaCode,date,newLFDTests,cumLFDTests
region,West Midlands,E12000005,2021-07-19,73473,12448164
region,West Midlands,E12000005,2021-07-18,81975,12374691
region,West Midlands,E12000005,2021-07-17,43093,12292716
region,West Midlands,E12000005,2021-07-16,59537,12249623
region,West Midlands,E12000005,2021-07-15,81288,12190086
region,West Midlands,E12000005,2021-07-14,89774,12108798
region,West Midlands,E12000005,2021-07-13,61782,12019024
region,West Midlands,E12000005,2021-07-12,88661,11957242
region,West Midlands,E12000005,2021-07-11,87927,11868581
region,West Midlands,E12000005,2021-07-10,36276,11780654
region,West Midlands,E12000005,2021-07-09,53056,11744378
region,West Midlands,E12000005,2021-07-08,75801,11691322
region,West Midlands,E12000005,2021-07-07,91171,11615521
region,West Midlands,E12000005,2021-07-06,60906,11524350
region,West Midlands,E12000005,2021-07-05,89225,11463444
region,West Midlands,E12000005,2021-07-04,104351,11374219
region,West Midlands,E12000005,2021-07-03,35272,11269868
region,West Midlands,E12000005,2021-07-02,52429,11234596
region,West Midlands,E12000005,2021-07-01,78362,11182167
region,West Midlands,E12000005,2021-06-30,95616,11103805
region,West Midlands,E12000005,2021-06-29,56446,11008189
region,West Midlands,E12000005,2021-06-28,91310,10951743
region,West Midlands,E12000005,2021-06-27,105277,10860433
region,West Midlands,E12000005,2021-06-26,32243,10755156
region,West Midlands,E12000005,2021-06-25,50697,10722913
region,West Midlands,E12000005,2021-06-24,78031,10672216
region,West Midlands,E12000005,2021-06-23,90439,10594185
region,West Midlands,E12000005,2021-06-22,50064,10503746
region,West Midlands,E12000005,2021-06-21,83522,10453682
region,West Midlands,E12000005,2021-06-20,101205,10370160
region,West Midlands,E12000005,2021-06-19,27775,10268955
region,West Midlands,E12000005,2021-06-18,46158,10241180
region,West Midlands,E12000005,2021-06-17,73091,10195022
region,West Midlands,E12000005,2021-06-16,85524,10121931
region,West Midlands,E12000005,2021-06-15,48402,10036407
region,West Midlands,E12000005,2021-06-14,83692,9988005
region,West Midlands,E12000005,2021-06-13,94157,9904313
region,West Midlands,E12000005,2021-06-12,29145,9810156
region,West Midlands,E12000005,2021-06-11,51042,9781011
region,West Midlands,E12000005,2021-06-10,74793,9729969
region,West Midlands,E12000005,2021-06-09,91777,9655176
region,West Midlands,E12000005,2021-06-08,44958,9563399
region,West Midlands,E12000005,2021-06-07,80031,9518441
region,West Midlands,E12000005,2021-06-06,117606,9438410
region,West Midlands,E12000005,2021-06-05,27996,9320804
region,West Midlands,E12000005,2021-06-04,42098,9292808
region,West Midlands,E12000005,2021-06-03,54893,9250710
region,West Midlands,E12000005,2021-06-02,60562,9195817
region,West Midlands,E12000005,2021-06-01,48657,9135255
region,West Midlands,E12000005,2021-05-31,50148,9086598
region,West Midlands,E12000005,2021-05-30,49432,9036450
region,West Midlands,E12000005,2021-05-29,25234,8987018
region,West Midlands,E12000005,2021-05-28,41244,8961784
region,West Midlands,E12000005,2021-05-27,68387,8920540
region,West Midlands,E12000005,2021-05-26,89911,8852153
region,West Midlands,E12000005,2021-05-25,46633,8762242
region,West Midlands,E12000005,2021-05-24,84742,8715609
region,West Midlands,E12000005,2021-05-23,114229,8630867
region,West Midlands,E12000005,2021-05-22,27780,8516638
region,West Midlands,E12000005,2021-05-21,44426,8488858
region,West Midlands,E12000005,2021-05-20,77777,8444432
region,West Midlands,E12000005,2021-05-19,99082,8366655
region,West Midlands,E12000005,2021-05-18,48899,8267573
region,West Midlands,E12000005,2021-05-17,89783,8218674
region,West Midlands,E12000005,2021-05-16,114784,8128891
region,West Midlands,E12000005,2021-05-15,23933,8014107
region,West Midlands,E12000005,2021-05-14,41690,7990174
region,West Midlands,E12000005,2021-05-13,76890,7948484
region,West Midlands,E12000005,2021-05-12,100354,7871594
region,West Midlands,E12000005,2021-05-11,46719,7771240
region,West Midlands,E12000005,2021-05-10,88386,7724521
region,West Midlands,E12000005,2021-05-09,129465,7636135
region,West Midlands,E12000005,2021-05-08,25177,7506670
region,West Midlands,E12000005,2021-05-07,44746,7481493
region,West Midlands,E12000005,2021-05-06,80224,7436747
region,West Midlands,E12000005,2021-05-05,103122,7356523
region,West Midlands,E12000005,2021-05-04,72561,7253401
region,West Midlands,E12000005,2021-05-03,108468,7180840
region,West Midlands,E12000005,2021-05-02,77028,7072372
region,West Midlands,E12000005,2021-05-01,25097,6995344
region,West Midlands,E12000005,2021-04-30,42580,6970247
region,West Midlands,E12000005,2021-04-29,84621,6927667
region,West Midlands,E12000005,2021-04-28,118670,6843046
region,West Midlands,E12000005,2021-04-27,51388,6724376
region,West Midlands,E12000005,2021-04-26,95121,6672988
region,West Midlands,E12000005,2021-04-25,146108,6577867
region,West Midlands,E12000005,2021-04-24,25186,6431759
region,West Midlands,E12000005,2021-04-23,43568,6406573
region,West Midlands,E12000005,2021-04-22,88933,6363005
region,West Midlands,E12000005,2021-04-21,121979,6274072
region,West Midlands,E12000005,2021-04-20,48969,6152093
region,West Midlands,E12000005,2021-04-19,97251,6103124
region,West Midlands,E12000005,2021-04-18,174986,6005873
region,West Midlands,E12000005,2021-04-17,24527,5830887
region,West Midlands,E12000005,2021-04-16,42671,5806360
region,West Midlands,E12000005,2021-04-15,72814,5763689
region,West Midlands,E12000005,2021-04-14,85739,5690875
region,West Midlands,E12000005,2021-04-13,43583,5605136
region,West Midlands,E12000005,2021-04-12,75829,5561553
region,West Midlands,E12000005,2021-04-11,92722,5485724
region,West Midlands,E12000005,2021-04-10,23523,5393002
region,West Midlands,E12000005,2021-04-09,40715,5369479
region,West Midlands,E12000005,2021-04-08,69255,5328764
region,West Midlands,E12000005,2021-04-07,86179,5259509
region,West Midlands,E12000005,2021-04-06,48514,5173330
region,West Midlands,E12000005,2021-04-05,70912,5124816
region,West Midlands,E12000005,2021-04-04,78476,5053904
region,West Midlands,E12000005,2021-04-03,21606,4975428
region,West Midlands,E12000005,2021-04-02,29751,4953822
region,West Midlands,E12000005,2021-04-01,74361,4924071
region,West Midlands,E12000005,2021-03-31,125999,4849710
region,West Midlands,E12000005,2021-03-30,32700,4723711
region,West Midlands,E12000005,2021-03-29,35240,4691011
region,West Midlands,E12000005,2021-03-28,253272,4655771
