areaType,areaName,areaCode,date,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
region,West Midlands,E12000005,2021-07-15,12.1,235006
region,West Midlands,E12000005,2021-07-14,11.1,235528
region,West Midlands,E12000005,2021-07-13,10.4,233670
region,West Midlands,E12000005,2021-07-12,9.8,234514
region,West Midlands,E12000005,2021-07-11,9.1,237006
region,West Midlands,E12000005,2021-07-10,8.8,237318
region,West Midlands,E12000005,2021-07-09,8.5,237434
region,West Midlands,E12000005,2021-07-08,8.3,235588
region,West Midlands,E12000005,2021-07-07,8.0,235443
region,West Midlands,E12000005,2021-07-06,7.6,232952
region,West Midlands,E12000005,2021-07-05,7.3,230506
region,West Midlands,E12000005,2021-07-04,7.0,229761
region,West Midlands,E12000005,2021-07-03,6.7,227399
region,West Midlands,E12000005,2021-07-02,6.5,222893
region,West Midlands,E12000005,2021-07-01,6.2,216743
region,West Midlands,E12000005,2021-06-30,5.9,208955
region,West Midlands,E12000005,2021-06-29,5.6,202924
region,West Midlands,E12000005,2021-06-28,5.2,197937
region,West Midlands,E12000005,2021-06-27,4.7,194609
region,West Midlands,E12000005,2021-06-26,4.4,192168
region,West Midlands,E12000005,2021-06-25,4.1,189749
region,West Midlands,E12000005,2021-06-24,3.8,186956
region,West Midlands,E12000005,2021-06-23,3.4,186832
region,West Midlands,E12000005,2021-06-22,3.1,183639
region,West Midlands,E12000005,2021-06-21,2.9,181183
region,West Midlands,E12000005,2021-06-20,2.6,181271
region,West Midlands,E12000005,2021-06-19,2.5,179608
region,West Midlands,E12000005,2021-06-18,2.4,176858
region,West Midlands,E12000005,2021-06-17,2.4,172218
region,West Midlands,E12000005,2021-06-16,2.3,167012
region,West Midlands,E12000005,2021-06-15,2.2,163882
region,West Midlands,E12000005,2021-06-14,2.1,161921
region,West Midlands,E12000005,2021-06-13,2.0,162655
region,West Midlands,E12000005,2021-06-12,1.9,162742
region,West Midlands,E12000005,2021-06-11,1.9,160866
region,West Midlands,E12000005,2021-06-10,1.9,157526
region,West Midlands,E12000005,2021-06-09,1.8,157708
region,West Midlands,E12000005,2021-06-08,1.7,157801
region,West Midlands,E12000005,2021-06-07,1.6,157328
region,West Midlands,E12000005,2021-06-06,1.5,149962
region,West Midlands,E12000005,2021-06-05,1.4,148148
region,West Midlands,E12000005,2021-06-04,1.4,146379
region,West Midlands,E12000005,2021-06-03,1.3,143830
region,West Midlands,E12000005,2021-06-02,1.2,143159
region,West Midlands,E12000005,2021-06-01,1.0,143126
region,West Midlands,E12000005,2021-05-31,0.9,144218
region,West Midlands,E12000005,2021-05-30,0.8,159593
region,West Midlands,E12000005,2021-05-29,0.8,162702
region,West Midlands,E12000005,2021-05-28,0.7,164046
region,West Midlands,E12000005,2021-05-27,0.7,163749
region,West Midlands,E12000005,2021-05-26,0.6,163197
region,West Midlands,E12000005,2021-05-25,0.6,160402
region,West Midlands,E12000005,2021-05-24,0.6,158586
region,West Midlands,E12000005,2021-05-23,0.5,159876
region,West Midlands,E12000005,2021-05-22,0.5,159122
region,West Midlands,E12000005,2021-05-21,0.5,157565
region,West Midlands,E12000005,2021-05-20,0.5,154727
region,West Midlands,E12000005,2021-05-19,0.5,151607
region,West Midlands,E12000005,2021-05-18,0.6,148837
region,West Midlands,E12000005,2021-05-17,0.5,147182
region,West Midlands,E12000005,2021-05-16,0.5,146778
region,West Midlands,E12000005,2021-05-15,0.5,145589
region,West Midlands,E12000005,2021-05-14,0.5,143426
region,West Midlands,E12000005,2021-05-13,0.6,141064
region,West Midlands,E12000005,2021-05-12,0.6,141459
region,West Midlands,E12000005,2021-05-11,0.6,143280
region,West Midlands,E12000005,2021-05-10,0.6,146719
region,West Midlands,E12000005,2021-05-09,0.6,141789
region,West Midlands,E12000005,2021-05-08,0.6,140778
region,West Midlands,E12000005,2021-05-07,0.6,140481
region,West Midlands,E12000005,2021-05-06,0.7,137688
region,West Midlands,E12000005,2021-05-05,0.7,136720
region,West Midlands,E12000005,2021-05-04,0.7,134526
region,West Midlands,E12000005,2021-05-03,0.7,126830
region,West Midlands,E12000005,2021-05-02,0.7,137903
region,West Midlands,E12000005,2021-05-01,0.7,138208
region,West Midlands,E12000005,2021-04-30,0.7,138056
region,West Midlands,E12000005,2021-04-29,0.7,138111
region,West Midlands,E12000005,2021-04-28,0.7,137930
region,West Midlands,E12000005,2021-04-27,0.8,136129
region,West Midlands,E12000005,2021-04-26,0.8,138214
region,West Midlands,E12000005,2021-04-25,0.8,140344
region,West Midlands,E12000005,2021-04-24,0.8,140939
region,West Midlands,E12000005,2021-04-23,0.9,139727
region,West Midlands,E12000005,2021-04-22,0.9,137496
region,West Midlands,E12000005,2021-04-21,1.0,135031
region,West Midlands,E12000005,2021-04-20,0.9,133700
region,West Midlands,E12000005,2021-04-19,1.0,132799
region,West Midlands,E12000005,2021-04-18,1.0,133680
region,West Midlands,E12000005,2021-04-17,1.0,132937
region,West Midlands,E12000005,2021-04-16,1.0,132546
region,West Midlands,E12000005,2021-04-15,1.1,131964
region,West Midlands,E12000005,2021-04-14,1.2,132867
region,West Midlands,E12000005,2021-04-13,1.2,134130
region,West Midlands,E12000005,2021-04-12,1.2,136777
region,West Midlands,E12000005,2021-04-11,1.3,132372
region,West Midlands,E12000005,2021-04-10,1.3,131600
region,West Midlands,E12000005,2021-04-09,1.4,130271
region,West Midlands,E12000005,2021-04-08,1.4,122964
region,West Midlands,E12000005,2021-04-07,1.5,123442
region,West Midlands,E12000005,2021-04-06,1.6,121833
region,West Midlands,E12000005,2021-04-05,1.7,119818
region,West Midlands,E12000005,2021-04-04,1.7,134131
region,West Midlands,E12000005,2021-04-03,1.7,136772
region,West Midlands,E12000005,2021-04-02,1.8,138507
region,West Midlands,E12000005,2021-04-01,1.9,145943
region,West Midlands,E12000005,2021-03-31,2.0,147684
region,West Midlands,E12000005,2021-03-30,2.0,150684
region,West Midlands,E12000005,2021-03-29,2.1,154022
region,West Midlands,E12000005,2021-03-28,2.1,158658
region,West Midlands,E12000005,2021-03-27,2.2,159673
region,West Midlands,E12000005,2021-03-26,2.2,160268
region,West Midlands,E12000005,2021-03-25,2.3,158910
region,West Midlands,E12000005,2021-03-24,2.3,158849
region,West Midlands,E12000005,2021-03-23,2.4,157830
region,West Midlands,E12000005,2021-03-22,2.4,156660
region,West Midlands,E12000005,2021-03-21,2.5,156379
region,West Midlands,E12000005,2021-03-20,2.5,155175
region,West Midlands,E12000005,2021-03-19,2.5,153287
region,West Midlands,E12000005,2021-03-18,2.6,150480
region,West Midlands,E12000005,2021-03-17,2.7,148053
region,West Midlands,E12000005,2021-03-16,2.8,144523
region,West Midlands,E12000005,2021-03-15,2.8,141763
region,West Midlands,E12000005,2021-03-14,2.8,142696
region,West Midlands,E12000005,2021-03-13,2.8,142066
region,West Midlands,E12000005,2021-03-12,2.9,141087
region,West Midlands,E12000005,2021-03-11,3.0,139979
region,West Midlands,E12000005,2021-03-10,3.1,139844
region,West Midlands,E12000005,2021-03-09,3.1,140168
region,West Midlands,E12000005,2021-03-08,3.2,141994
region,West Midlands,E12000005,2021-03-07,3.3,144540
region,West Midlands,E12000005,2021-03-06,3.4,144400
region,West Midlands,E12000005,2021-03-05,3.5,143557
region,West Midlands,E12000005,2021-03-04,3.7,142705
region,West Midlands,E12000005,2021-03-03,3.9,142770
region,West Midlands,E12000005,2021-03-02,4.2,142934
region,West Midlands,E12000005,2021-03-01,4.5,142272
region,West Midlands,E12000005,2021-02-28,4.9,146280
region,West Midlands,E12000005,2021-02-27,5.1,148030
region,West Midlands,E12000005,2021-02-26,5.4,149075
region,West Midlands,E12000005,2021-02-25,5.8,148748
region,West Midlands,E12000005,2021-02-24,6.1,150261
region,West Midlands,E12000005,2021-02-23,6.4,151123
region,West Midlands,E12000005,2021-02-22,6.6,153842
region,West Midlands,E12000005,2021-02-21,6.7,156778
region,West Midlands,E12000005,2021-02-20,6.7,157579
region,West Midlands,E12000005,2021-02-19,6.8,158424
region,West Midlands,E12000005,2021-02-18,6.8,160743
region,West Midlands,E12000005,2021-02-17,6.8,164400
region,West Midlands,E12000005,2021-02-16,6.8,166676
region,West Midlands,E12000005,2021-02-15,6.8,169665
region,West Midlands,E12000005,2021-02-14,6.7,175079
region,West Midlands,E12000005,2021-02-13,6.8,177508
region,West Midlands,E12000005,2021-02-12,7.0,180476
region,West Midlands,E12000005,2021-02-11,7.2,181917
region,West Midlands,E12000005,2021-02-10,7.6,183116
region,West Midlands,E12000005,2021-02-09,8.0,185051
