areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,West Midlands,E12000005,2021-07-19,994,524491
region,West Midlands,E12000005,2021-07-18,3135,523497
region,West Midlands,E12000005,2021-07-17,3275,520362
region,West Midlands,E12000005,2021-07-16,4641,517087
region,West Midlands,E12000005,2021-07-15,6124,512446
region,West Midlands,E12000005,2021-07-14,5313,506322
region,West Midlands,E12000005,2021-07-13,4688,501009
region,West Midlands,E12000005,2021-07-12,4511,496321
region,West Midlands,E12000005,2021-07-11,2987,491810
region,West Midlands,E12000005,2021-07-10,2735,488823
region,West Midlands,E12000005,2021-07-09,2990,486088
region,West Midlands,E12000005,2021-07-08,3135,483098
region,West Midlands,E12000005,2021-07-07,3429,479963
region,West Midlands,E12000005,2021-07-06,3248,476534
region,West Midlands,E12000005,2021-07-05,3037,473286
region,West Midlands,E12000005,2021-07-04,2214,470249
region,West Midlands,E12000005,2021-07-03,2152,468035
region,West Midlands,E12000005,2021-07-02,2337,465883
region,West Midlands,E12000005,2021-07-01,2458,463546
region,West Midlands,E12000005,2021-06-30,2467,461088
region,West Midlands,E12000005,2021-06-29,2264,458621
region,West Midlands,E12000005,2021-06-28,2336,456357
region,West Midlands,E12000005,2021-06-27,1472,454021
region,West Midlands,E12000005,2021-06-26,1326,452549
region,West Midlands,E12000005,2021-06-25,1339,451223
region,West Midlands,E12000005,2021-06-24,1458,449884
region,West Midlands,E12000005,2021-06-23,1375,448426
region,West Midlands,E12000005,2021-06-22,1261,447051
region,West Midlands,E12000005,2021-06-21,1144,445790
region,West Midlands,E12000005,2021-06-20,673,444646
region,West Midlands,E12000005,2021-06-19,629,443973
region,West Midlands,E12000005,2021-06-18,712,443344
region,West Midlands,E12000005,2021-06-17,689,442632
region,West Midlands,E12000005,2021-06-16,740,441943
region,West Midlands,E12000005,2021-06-15,721,441203
region,West Midlands,E12000005,2021-06-14,678,440482
region,West Midlands,E12000005,2021-06-13,461,439804
region,West Midlands,E12000005,2021-06-12,388,439343
region,West Midlands,E12000005,2021-06-11,472,438955
region,West Midlands,E12000005,2021-06-10,480,438483
region,West Midlands,E12000005,2021-06-09,523,438003
region,West Midlands,E12000005,2021-06-08,489,437480
region,West Midlands,E12000005,2021-06-07,496,436991
region,West Midlands,E12000005,2021-06-06,320,436495
region,West Midlands,E12000005,2021-06-05,296,436175
region,West Midlands,E12000005,2021-06-04,367,435879
region,West Midlands,E12000005,2021-06-03,354,435512
region,West Midlands,E12000005,2021-06-02,390,435158
region,West Midlands,E12000005,2021-06-01,329,434768
region,West Midlands,E12000005,2021-05-31,246,434439
region,West Midlands,E12000005,2021-05-30,191,434193
region,West Midlands,E12000005,2021-05-29,189,434002
region,West Midlands,E12000005,2021-05-28,230,433813
region,West Midlands,E12000005,2021-05-27,169,433583
region,West Midlands,E12000005,2021-05-26,222,433414
region,West Midlands,E12000005,2021-05-25,221,433192
region,West Midlands,E12000005,2021-05-24,200,432971
region,West Midlands,E12000005,2021-05-23,122,432771
region,West Midlands,E12000005,2021-05-22,97,432649
region,West Midlands,E12000005,2021-05-21,130,432552
region,West Midlands,E12000005,2021-05-20,130,432422
region,West Midlands,E12000005,2021-05-19,150,432292
region,West Midlands,E12000005,2021-05-18,160,432142
region,West Midlands,E12000005,2021-05-17,179,431982
region,West Midlands,E12000005,2021-05-16,96,431803
region,West Midlands,E12000005,2021-05-15,101,431707
region,West Midlands,E12000005,2021-05-14,105,431606
region,West Midlands,E12000005,2021-05-13,134,431501
region,West Midlands,E12000005,2021-05-12,134,431367
region,West Midlands,E12000005,2021-05-11,126,431233
