Date,Rate,Lower,Upper
2020-12-15,0.98,0.79,0.19
2020-12-09,1.05,0.84,1.27
2020-12-02,1,0.81,1.22
2020-10-20,1,0.82,1.19
2020-10-28,1.24,1.02,1.48
2020-11-11,1.47,1.23,1.73
2020-11-18,1.42,1.19,1.67
2020-11-25,1.09,0.89,1.32
2020-11-03,1.32,1.1,1.55
2020-10-13,0.74,0.61,0.89
2020-06-18,0.06,0.01,0.13
2020-06-25,0.05,0.01,0.11
2020-07-02,0.04,0,0.09
2020-07-09,0.03,0.01,0.07
2020-07-16,0.04,0.01,0.09
2020-07-23,0.05,0.02,0.12
2020-07-30,0.04,0.01,0.09
2020-08-10,0.04,0.02,0.09
2020-08-17,0.05,0.02,0.09
2020-08-24,0.04,0.01,0.08
2020-09-07,0.04,0.01,0.08
2020-09-21,0.13,0.07,0.21
2020-09-28,0.26,0.17,0.37
2020-10-05,0.56,0.43,0.71
2020-10-20,1,0.82,1.19
2020-09-02,0.03,0.01,0.07
2020-08-06,0.06,0.03,0.15
2020-09-16,0.09,0.04,0.18
2020-06-25,0.05,0.01,0.11
2020-12-30,1.54,1.27,1.83
2021-01-13,1.93,1.64,2.24
2021-01-20,1.77,1.51,2.06
2021-01-27,1.81,1.54,2.09
2021-02-03,1.44,1.21,1.69
2021-02-09,0.91,0.73,1.12
2021-02-16,0.73,0.57,0.91
2021-02-24,0.63,0.46,0.81
2021-03-03,0.53,0.38,0.71
2021-03-10,0.27,0.17,0.38
2021-03-17,0.35,0.23,0.49
2021-03-24,0.32,0.21,0.46
2021-03-31,0.34,0.22,0.49
2021-04-07,0.22,0.13,0.34
2021-04-13,0.23,0.14,0.35
2021-04-21,0.09,0.04,0.16
2021-04-29,0.05,0.02,0.1
2021-05-05,0.03,0.01,0.07
2021-05-12,0.06,0.02,0.12
2021-05-19,0.06,0.02,0.12
2021-05-26,0.07,0.03,0.14
2021-06-02,0.12,0.05,0.21
2021-06-09,0.17,0.09,0.27
2021-06-16,0.18,0.09,0.28
2021-06-23,0.3,0.18,0.44
2021-06-30,0.62,0.44,0.84
2021-07-07,1.03,0.79,1.32
