Date,Rate,Lower,Upper
2020-05-09,0.14,0.03,0.42
2020-05-23,0.33,0.1,0.82
2020-06-06,0,0,0.15
2020-06-20,0.07,0,0.38
2020-07-04,0.05,0,0.28
2020-07-18,0.08,0.01,0.3
2020-08-01,0.06,0.01,0.17
2020-08-15,0.01,0,0.08
2020-08-29,0.05,0,0.27
2020-09-12,0.1,0.03,0.22
2020-09-26,0.32,0.22,0.45
2020-10-10,0.75,0.6,0.92
2020-10-14,1.49,1.26,1.76
2020-11-07,1.71,1.46,1.98
2020-11-21,1.64,1.4,1.91
2020-12-05,1.27,1.06,1.51
2020-12-19,1.19,0.96,1.45
2021-01-02,1.96,1.69,2.26
2021-01-16,2.04,1.75,2.36
2021-01-30,1.74,1.49,2.03
2021-02-13,0.94,0.77,1.14
2021-02-27,0.65,0.49,0.84
2021-03-13,0.31,0.21,0.44
2021-03-27,0.38,0.26,0.54
2021-04-10,0.17,0.1,0.28
2021-04-14,0.05,0.02,0.12
2021-05-08,0.04,0.01,0.09
2021-05-22,0.05,0.01,0.15
2021-06-05,0.2,0.11,0.35
2021-06-19,0.23,0.14,0.34
2021-07-03,0.82,0.63,1.04
