areaType,areaName,areaCode,date,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
region,Yorkshire and The Humber,E12000003,2021-07-15,14.400000000000000355,221022
region,Yorkshire and The Humber,E12000003,2021-07-14,13.400000000000000355,218547
region,Yorkshire and The Humber,E12000003,2021-07-13,13,216611
region,Yorkshire and The Humber,E12000003,2021-07-12,12.599999999999999645,216548
region,Yorkshire and The Humber,E12000003,2021-07-11,11.900000000000000355,219863
region,Yorkshire and The Humber,E12000003,2021-07-10,11.599999999999999645,220306
region,Yorkshire and The Humber,E12000003,2021-07-09,11.300000000000000711,220919
region,Yorkshire and The Humber,E12000003,2021-07-08,11,218520
region,Yorkshire and The Humber,E12000003,2021-07-07,10.599999999999999645,217601
region,Yorkshire and The Humber,E12000003,2021-07-06,9.9000000000000003553,214746
region,Yorkshire and The Humber,E12000003,2021-07-05,9.5,211041
region,Yorkshire and The Humber,E12000003,2021-07-04,9,211670
region,Yorkshire and The Humber,E12000003,2021-07-03,8.8000000000000007105,208875
region,Yorkshire and The Humber,E12000003,2021-07-02,8.5,203827
region,Yorkshire and The Humber,E12000003,2021-07-01,8.3000000000000007105,200048
region,Yorkshire and The Humber,E12000003,2021-06-30,7.9000000000000003553,195272
region,Yorkshire and The Humber,E12000003,2021-06-29,7.5,190814
region,Yorkshire and The Humber,E12000003,2021-06-28,7,187501
region,Yorkshire and The Humber,E12000003,2021-06-27,6.4000000000000003553,183306
region,Yorkshire and The Humber,E12000003,2021-06-26,6,180833
region,Yorkshire and The Humber,E12000003,2021-06-25,5.7000000000000001776,177049
region,Yorkshire and The Humber,E12000003,2021-06-24,5.4000000000000003553,172719
region,Yorkshire and The Humber,E12000003,2021-06-23,5,169498
region,Yorkshire and The Humber,E12000003,2021-06-22,4.7000000000000001776,164069
region,Yorkshire and The Humber,E12000003,2021-06-21,4.4000000000000003553,160005
region,Yorkshire and The Humber,E12000003,2021-06-20,4,159852
region,Yorkshire and The Humber,E12000003,2021-06-19,3.8999999999999999112,157912
region,Yorkshire and The Humber,E12000003,2021-06-18,3.7000000000000001776,156519
region,Yorkshire and The Humber,E12000003,2021-06-17,3.6000000000000000888,153184
region,Yorkshire and The Humber,E12000003,2021-06-16,3.3999999999999999112,149428
region,Yorkshire and The Humber,E12000003,2021-06-15,3.2999999999999998224,145405
region,Yorkshire and The Humber,E12000003,2021-06-14,3.2000000000000001776,143276
region,Yorkshire and The Humber,E12000003,2021-06-13,3.1000000000000000888,144343
region,Yorkshire and The Humber,E12000003,2021-06-12,3,145054
region,Yorkshire and The Humber,E12000003,2021-06-11,3,144214
region,Yorkshire and The Humber,E12000003,2021-06-10,2.8999999999999999112,143208
region,Yorkshire and The Humber,E12000003,2021-06-09,2.7999999999999998224,141525
region,Yorkshire and The Humber,E12000003,2021-06-08,2.6000000000000000888,140032
region,Yorkshire and The Humber,E12000003,2021-06-07,2.5,139656
region,Yorkshire and The Humber,E12000003,2021-06-06,2.2999999999999998224,133427
region,Yorkshire and The Humber,E12000003,2021-06-05,2.2000000000000001776,131687
region,Yorkshire and The Humber,E12000003,2021-06-04,2.1000000000000000888,128729
region,Yorkshire and The Humber,E12000003,2021-06-03,2,126695
region,Yorkshire and The Humber,E12000003,2021-06-02,1.8000000000000000444,131253
region,Yorkshire and The Humber,E12000003,2021-06-01,1.8000000000000000444,130081
region,Yorkshire and The Humber,E12000003,2021-05-31,1.6999999999999999556,129154
region,Yorkshire and The Humber,E12000003,2021-05-30,1.5,143013
region,Yorkshire and The Humber,E12000003,2021-05-29,1.5,143494
region,Yorkshire and The Humber,E12000003,2021-05-28,1.3999999999999999112,143630
region,Yorkshire and The Humber,E12000003,2021-05-27,1.3999999999999999112,141826
region,Yorkshire and The Humber,E12000003,2021-05-26,1.3999999999999999112,135879
region,Yorkshire and The Humber,E12000003,2021-05-25,1.5,133304
region,Yorkshire and The Humber,E12000003,2021-05-24,1.5,131487
region,Yorkshire and The Humber,E12000003,2021-05-23,1.5,131143
region,Yorkshire and The Humber,E12000003,2021-05-22,1.5,130666
region,Yorkshire and The Humber,E12000003,2021-05-21,1.5,129136
region,Yorkshire and The Humber,E12000003,2021-05-20,1.5,128647
region,Yorkshire and The Humber,E12000003,2021-05-19,1.5,127120
region,Yorkshire and The Humber,E12000003,2021-05-18,1.5,125271
region,Yorkshire and The Humber,E12000003,2021-05-17,1.5,124858
region,Yorkshire and The Humber,E12000003,2021-05-16,1.3999999999999999112,128294
region,Yorkshire and The Humber,E12000003,2021-05-15,1.5,128159
region,Yorkshire and The Humber,E12000003,2021-05-14,1.5,127233
region,Yorkshire and The Humber,E12000003,2021-05-13,1.6000000000000000888,127155
region,Yorkshire and The Humber,E12000003,2021-05-12,1.6000000000000000888,128472
region,Yorkshire and The Humber,E12000003,2021-05-11,1.6000000000000000888,129580
region,Yorkshire and The Humber,E12000003,2021-05-10,1.6000000000000000888,132881
region,Yorkshire and The Humber,E12000003,2021-05-09,1.6000000000000000888,127946
