areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,Yorkshire and The Humber,E12000003,2021-07-19,1108,509668
region,Yorkshire and The Humber,E12000003,2021-07-18,3467,508560
region,Yorkshire and The Humber,E12000003,2021-07-17,3448,505093
region,Yorkshire and The Humber,E12000003,2021-07-16,5325,501645
region,Yorkshire and The Humber,E12000003,2021-07-15,6186,496320
region,Yorkshire and The Humber,E12000003,2021-07-14,5789,490134
region,Yorkshire and The Humber,E12000003,2021-07-13,5187,484345
region,Yorkshire and The Humber,E12000003,2021-07-12,4935,479158
region,Yorkshire and The Humber,E12000003,2021-07-11,3312,474223
region,Yorkshire and The Humber,E12000003,2021-07-10,3078,470911
region,Yorkshire and The Humber,E12000003,2021-07-09,3561,467833
region,Yorkshire and The Humber,E12000003,2021-07-08,3677,464272
region,Yorkshire and The Humber,E12000003,2021-07-07,4548,460595
region,Yorkshire and The Humber,E12000003,2021-07-06,4079,456047
region,Yorkshire and The Humber,E12000003,2021-07-05,3840,451968
region,Yorkshire and The Humber,E12000003,2021-07-04,2770,448128
region,Yorkshire and The Humber,E12000003,2021-07-03,2425,445358
region,Yorkshire and The Humber,E12000003,2021-07-02,2602,442933
region,Yorkshire and The Humber,E12000003,2021-07-01,2886,440331
region,Yorkshire and The Humber,E12000003,2021-06-30,2882,437445
region,Yorkshire and The Humber,E12000003,2021-06-29,2836,434563
region,Yorkshire and The Humber,E12000003,2021-06-28,2832,431727
region,Yorkshire and The Humber,E12000003,2021-06-27,1923,428895
region,Yorkshire and The Humber,E12000003,2021-06-26,1565,426972
region,Yorkshire and The Humber,E12000003,2021-06-25,1786,425407
region,Yorkshire and The Humber,E12000003,2021-06-24,1799,423621
region,Yorkshire and The Humber,E12000003,2021-06-23,1777,421822
region,Yorkshire and The Humber,E12000003,2021-06-22,1553,420045
region,Yorkshire and The Humber,E12000003,2021-06-21,1468,418492
region,Yorkshire and The Humber,E12000003,2021-06-20,937,417024
region,Yorkshire and The Humber,E12000003,2021-06-19,815,416087
region,Yorkshire and The Humber,E12000003,2021-06-18,1023,415272
region,Yorkshire and The Humber,E12000003,2021-06-17,1023,414249
region,Yorkshire and The Humber,E12000003,2021-06-16,988,413226
region,Yorkshire and The Humber,E12000003,2021-06-15,845,412238
region,Yorkshire and The Humber,E12000003,2021-06-14,917,411393
