Date,Rate,Lower,Upper
2020-12-15,0.96,0.79,1.16
2020-12-09,1.11,0.91,1.34
2020-12-02,1.16,0.95,1.38
2020-10-20,1.93,1.7,2.19
2020-10-28,2.2,1.92,2.5
2020-11-11,1.93,1.67,2.2
2020-11-18,1.89,1.66,2.15
2020-11-25,1.72,1.48,1.96
2020-11-03,2.17,1.9,2.45
2020-10-13,1.38,1.19,1.59
2020-06-18,0.08,0.02,0.17
2020-06-25,0.09,0.03,0.19
2020-07-02,0.07,0.02,0.14
2020-07-09,0.07,0.02,0.15
2020-07-16,0.05,0.01,0.1
2020-07-23,0.06,0.02,0.12
2020-07-30,0.05,0.02,0.1
2020-08-10,0.05,0.02,0.09
2020-08-17,0.08,0.04,0.16
2020-08-24,0.07,0.03,0.14
2020-09-07,0.1,0.06,0.16
2020-09-21,0.3,0.2,0.42
2020-09-28,0.89,0.72,1.07
2020-10-05,1.13,0.94,1.34
2020-10-20,1.93,1.7,2.19
2020-09-02,0.06,0.03,0.11
2020-08-06,0.05,0.02,0.11
2020-09-16,0.26,0.14,0.42
2020-06-25,0.1,0.03,0.23
2020-12-30,1.5,1.26,1.78
2021-01-13,1.18,0.98,1.41
2021-01-20,1.2,1,1.43
2021-01-27,1.13,0.94,1.34
2021-02-03,1.06,0.87,1.26
2021-02-09,0.82,0.65,1
2021-02-16,0.85,0.67,1.04
2021-02-24,0.45,0.32,0.6
2021-03-03,0.43,0.31,0.58
2021-03-10,0.39,0.28,0.52
2021-03-17,0.51,0.37,0.67
2021-03-24,0.43,0.3,0.58
2021-03-31,0.48,0.34,0.64
2021-04-07,0.23,0.14,0.34
2021-04-13,0.17,0.1,0.27
2021-04-21,0.19,0.11,0.3
2021-04-29,0.21,0.13,0.32
2021-05-05,0.13,0.07,0.21
2021-05-12,0.19,0.11,0.29
2021-05-19,0.16,0.09,0.26
2021-05-26,0.19,0.11,0.29
2021-06-02,0.18,0.1,0.29
2021-06-09,0.25,0.15,0.36
2021-06-16,0.21,0.13,0.32
2021-06-23,0.46,0.31,0.62
2021-06-30,0.6,0.42,0.81
2021-07-07,0.99,0.77,1.24
