Date,Rate,Lower,Upper
2020-05-09,0.3,0.07,0.85
2020-05-23,0.11,0.03,0.31
2020-06-06,0.25,0.06,0.72
2020-06-20,0.05,0.01,0.18
2020-07-04,0.04,0.01,0.11
2020-07-18,0.05,0,0.17
2020-08-01,0.05,0,0.22
2020-08-15,0.16,0.05,0.35
2020-08-29,0.07,0.03,0.16
2020-09-12,0.28,0.18,0.41
2020-09-26,1.09,0.88,1.34
2020-10-10,1.55,1.33,1.79
2020-10-14,2.36,2.08,2.67
2020-11-07,2.19,1.92,2.48
2020-11-21,2.07,1.81,2.34
2020-12-05,1.32,1.12,1.55
2020-12-19,1.12,0.91,1.36
2021-01-02,1.46,1.23,1.72
2021-01-16,1.2,1,1.43
2021-01-30,1.25,1.03,1.5
2021-02-13,0.88,0.71,1.07
2021-02-27,0.51,0.38,0.68
2021-03-13,0.5,0.37,0.66
2021-03-27,0.45,0.33,0.61
2021-04-10,0.2,0.11,0.35
2021-04-14,0.25,0.15,0.38
2021-05-08,0.18,0.1,0.29
2021-05-22,0.16,0.1,0.25
2021-06-05,0.27,0.17,0.4
2021-06-19,0.43,0.29,0.61
2021-07-03,0.94,0.73,1.19
