date,vaccinated
2020-12-08,1228.0
2020-12-09,2312.0
2020-12-10,2766.0
2020-12-11,2901.0
2020-12-12,2771.0
2020-12-13,1548.0
2020-12-14,2730.0
2020-12-15,4704.0
2020-12-16,5488.0
2020-12-17,6606.0
2020-12-18,6869.0
2020-12-19,5873.0
2020-12-20,7600.0
2020-12-21,9401.0
2020-12-22,8684.0
2020-12-23,10371.0
2020-12-24,5128.0
2020-12-25,76.0
2020-12-26,608.0
2020-12-27,1708.0
2020-12-28,2972.0
2020-12-29,8581.0
2020-12-30,16087.0
2020-12-31,14856.0
2021-01-01,4543.0
2021-01-02,5814.0
2021-01-03,4592.0
2021-01-04,8425.0
2021-01-05,15728.0
2021-01-06,21052.0
2021-01-07,27984.0
2021-01-08,30804.0
2021-01-09,26089.0
2021-01-10,17296.0
2021-01-11,23900.0
2021-01-12,29302.0
2021-01-13,32317.0
2021-01-14,35031.0
2021-01-15,39670.0
2021-01-16,31723.0
2021-01-17,21785.0
2021-01-18,28010.0
2021-01-19,31924.0
2021-01-20,35340.0
2021-01-21,37294.0
2021-01-22,40621.0
2021-01-23,34765.0
2021-01-24,19280.0
2021-01-25,24110.0
2021-01-26,27989.0
2021-01-27,29227.0
2021-01-28,30967.0
2021-01-29,35443.0
2021-01-30,30543.0
2021-01-31,21554.0
2021-02-01,21480.0
2021-02-02,24736.0
2021-02-03,29228.0
2021-02-04,31800.0
2021-02-05,33498.0
2021-02-06,36611.0
2021-02-07,17073.0
2021-02-08,19904.0
2021-02-09,24689.0
2021-02-10,27119.0
2021-02-11,31206.0
2021-02-12,37180.0
2021-02-13,36864.0
2021-02-14,19338.0
2021-02-15,22035.0
2021-02-16,36722.0
2021-02-17,55749.0
2021-02-18,58828.0
2021-02-19,53388.0
2021-02-20,55123.0
2021-02-21,23697.0
2021-02-22,27261.0
2021-02-23,58631.0
2021-02-24,81597.0
2021-02-25,93648.0
2021-02-26,95322.0
2021-02-27,85679.0
2021-02-28,34200.0
2021-03-01,29299.0
2021-03-02,32720.0
2021-03-03,47211.0
2021-03-04,66660.0
2021-03-05,84330.0
2021-03-06,85831.0
2021-03-07,24686.0
2021-03-08,25607.0
2021-03-09,29496.0
2021-03-10,35357.0
2021-03-11,21744.0
2021-03-12,55986.0
2021-03-13,82819.0
2021-03-14,35252.0
2021-03-15,48093.0
2021-03-16,56362.0
2021-03-17,59257.0
2021-03-18,67102.0
2021-03-19,78106.0
2021-03-20,110915.0
2021-03-21,50664.0
2021-03-22,47077.0
2021-03-23,52970.0
2021-03-24,64874.0
2021-03-25,75705.0
2021-03-26,95189.0
2021-03-27,135174.0
2021-03-28,72640.0
2021-03-29,58676.0
2021-03-30,61228.0
2021-03-31,64775.0
2021-04-01,51430.0
2021-04-02,28628.0
2021-04-03,29313.0
2021-04-04,9426.0
2021-04-05,7337.0
2021-04-06,23585.0
2021-04-07,24563.0
2021-04-08,25432.0
2021-04-09,29243.0
2021-04-10,41345.0
2021-04-11,20382.0
2021-04-12,11538.0
2021-04-13,22468.0
2021-04-14,59601.0
2021-04-15,74301.0
2021-04-16,80319.0
2021-04-17,91242.0
2021-04-18,57004.0
2021-04-19,68660.0
2021-04-20,67710.0
2021-04-21,75316.0
2021-04-22,83784.0
2021-04-23,86082.0
2021-04-24,102401.0
2021-04-25,50562.0
2021-04-26,50809.0
2021-04-27,71015.0
2021-04-28,86343.0
2021-04-29,93499.0
2021-04-30,98155.0
2021-05-01,108775.0
2021-05-02,62986.0
2021-05-03,53653.0
2021-05-04,88794.0
2021-05-05,94893.0
2021-05-06,85876.0
2021-05-07,92303.0
2021-05-08,123210.0
2021-05-09,66067.0
2021-05-10,64457.0
2021-05-11,78601.0
2021-05-12,108536.0
2021-05-13,129126.0
2021-05-14,143047.0
2021-05-15,159309.0
2021-05-16,79203.0
2021-05-17,63595.0
2021-05-18,108027.0
2021-05-19,161375.0
2021-05-20,160651.0
2021-05-21,135915.0
2021-05-22,127072.0
2021-05-23,70442.0
2021-05-24,60892.0
2021-05-25,87290.0
2021-05-26,100031.0
2021-05-27,107544.0
2021-05-28,88197.0
2021-05-29,75405.0
2021-05-30,41386.0
2021-05-31,20860.0
2021-06-01,23650.0
2021-06-02,36290.0
2021-06-03,42015.0
2021-06-04,39967.0
2021-06-05,46027.0
2021-06-06,24291.0
2021-06-07,23609.0
2021-06-08,25947.0
2021-06-09,29133.0
2021-06-10,32128.0
2021-06-11,33102.0
2021-06-12,36704.0
2021-06-13,18741.0
2021-06-14,16832.0
2021-06-15,19544.0
2021-06-16,19221.0
2021-06-17,23550.0
2021-06-18,21889.0
2021-06-19,27064.0
2021-06-20,11984.0
2021-06-21,10716.0
2021-06-22,13661.0
2021-06-23,15031.0
2021-06-24,17231.0
2021-06-25,17296.0
2021-06-26,22287.0
2021-06-27,11438.0
2021-06-28,9185.0
2021-06-29,10729.0
2021-06-30,11918.0
2021-07-01,12210.0
2021-07-02,11907.0
2021-07-03,14553.0
2021-07-04,6911.0
2021-07-05,7174.0
2021-07-06,8578.0
2021-07-07,9853.0
2021-07-08,10965.0
2021-07-09,11730.0
2021-07-10,13148.0
2021-07-11,5648.0
2021-07-12,6045.0
2021-07-13,7510.0
2021-07-14,8032.0
2021-07-15,9253.0
2021-07-16,9405.0
2021-07-17,11222.0
2021-07-18,5082.0
2021-07-19,5548.0
2021-07-20,5784.0
2021-07-21,6506.0
2021-07-22,6558.0
2021-07-23,6781.0
2021-07-24,7522.0
2021-07-25,3879.0
2021-07-26,4627.0
2021-07-27,5203.0
2021-07-28,5398.0
2021-07-29,5623.0
2021-07-30,5374.0
2021-07-31,6472.0
2021-08-01,3470.0
2021-08-02,4017.0
2021-08-03,4410.0
2021-08-04,4801.0
2021-08-05,4997.0
2021-08-06,5208.0
2021-08-07,5724.0
2021-08-08,3028.0
2021-08-09,3704.0
2021-08-10,4312.0
2021-08-11,4766.0
2021-08-12,4671.0
2021-08-13,4137.0
2021-08-14,5070.0
2021-08-15,2410.0
2021-08-16,3364.0
2021-08-17,3537.0
2021-08-18,3683.0
2021-08-19,3957.0
2021-08-20,3891.0
2021-08-21,4262.0
2021-08-22,2249.0
2021-08-23,2733.0
2021-08-24,3570.0
2021-08-25,3775.0
2021-08-26,3722.0
2021-08-27,3635.0
2021-08-28,3416.0
2021-08-29,1810.0
2021-08-30,1454.0
2021-08-31,2895.0
2021-09-01,2979.0
2021-09-02,3147.0
2021-09-03,3408.0
2021-09-04,3758.0
2021-09-05,1777.0
2021-09-06,2397.0
2021-09-07,2689.0
2021-09-08,2947.0
2021-09-09,3105.0
2021-09-10,3273.0
2021-09-11,3319.0
2021-09-12,1649.0
2021-09-13,2318.0
2021-09-14,2751.0
2021-09-15,3044.0
2021-09-16,3243.0
2021-09-17,2968.0
2021-09-18,3517.0
2021-09-19,1669.0
2021-09-20,2720.0
2021-09-21,2759.0
2021-09-22,2720.0
2021-09-23,2695.0
2021-09-24,2777.0
2021-09-25,2779.0
2021-09-26,1367.0
2021-09-27,1940.0
2021-09-28,2149.0
2021-09-29,2233.0
2021-09-30,2284.0
2021-10-01,2425.0
2021-10-02,2275.0
2021-10-03,1231.0
2021-10-04,1983.0
2021-10-05,2197.0
2021-10-06,2416.0
2021-10-07,2213.0
2021-10-08,2550.0
2021-10-09,2531.0
2021-10-10,1377.0
2021-10-11,1928.0
2021-10-12,2209.0
2021-10-13,2262.0
2021-10-14,2161.0
2021-10-15,2417.0
2021-10-16,2515.0
2021-10-17,1291.0
2021-10-18,1882.0
2021-10-19,2083.0
2021-10-20,2253.0
2021-10-21,2246.0
2021-10-22,2352.0
2021-10-23,2804.0
2021-10-24,1463.0
2021-10-25,1910.0
2021-10-26,1952.0
2021-10-27,2009.0
2021-10-28,1898.0
2021-10-29,1929.0
2021-10-30,2092.0
2021-10-31,991.0
2021-11-01,1508.0
2021-11-02,1705.0
2021-11-03,1820.0
2021-11-04,1623.0
2021-11-05,1878.0
2021-11-06,2097.0
2021-11-07,951.0
2021-11-08,1686.0
2021-11-09,1846.0
2021-11-10,1892.0
2021-11-11,1932.0
2021-11-12,2048.0
