date,vaccinated
2020-12-08,1431.0
2020-12-09,2367.0
2020-12-10,3389.0
2020-12-11,3532.0
2020-12-12,2605.0
2020-12-13,1476.0
2020-12-14,3973.0
2020-12-15,43263.0
2020-12-16,75732.0
2020-12-17,71653.0
2020-12-18,53597.0
2020-12-19,68661.0
2020-12-20,52974.0
2020-12-21,33508.0
2020-12-22,56594.0
2020-12-23,45930.0
2020-12-24,11614.0
2020-12-25,47.0
2020-12-26,81.0
2020-12-27,320.0
2020-12-28,904.0
2020-12-29,19846.0
2020-12-30,54141.0
2020-12-31,40273.0
2021-01-01,10456.0
2021-01-02,12450.0
2021-01-03,3347.0
2021-01-04,2978.0
2021-01-05,11067.0
2021-01-06,24687.0
2021-01-07,108556.0
2021-01-08,142585.0
2021-01-09,123052.0
2021-01-10,53656.0
2021-01-11,35777.0
2021-01-12,78531.0
2021-01-13,141123.0
2021-01-14,164524.0
2021-01-15,193326.0
2021-01-16,176971.0
2021-01-17,76744.0
2021-01-18,57757.0
2021-01-19,184918.0
2021-01-20,193818.0
2021-01-21,223461.0
2021-01-22,314424.0
2021-01-23,326423.0
2021-01-24,117171.0
2021-01-25,103950.0
2021-01-26,125471.0
2021-01-27,126870.0
2021-01-28,212275.0
2021-01-29,327732.0
2021-01-30,327119.0
2021-01-31,184453.0
2021-02-01,166872.0
2021-02-02,186242.0
2021-02-03,226791.0
2021-02-04,237563.0
2021-02-05,234583.0
2021-02-06,276871.0
2021-02-07,130658.0
2021-02-08,126250.0
2021-02-09,147052.0
2021-02-10,136814.0
2021-02-11,138278.0
2021-02-12,133362.0
2021-02-13,129019.0
2021-02-14,39750.0
2021-02-15,41235.0
2021-02-16,40187.0
2021-02-17,38001.0
2021-02-18,32302.0
2021-02-19,23060.0
2021-02-20,18886.0
2021-02-21,5817.0
2021-02-22,9820.0
2021-02-23,13645.0
2021-02-24,16777.0
2021-02-25,17807.0
2021-02-26,16073.0
2021-02-27,10893.0
2021-02-28,4568.0
2021-03-01,4764.0
2021-03-02,5532.0
2021-03-03,6672.0
2021-03-04,8551.0
2021-03-05,9896.0
2021-03-06,7970.0
2021-03-07,2112.0
2021-03-08,3563.0
2021-03-09,4047.0
2021-03-10,3994.0
2021-03-11,2853.0
2021-03-12,4781.0
2021-03-13,5072.0
2021-03-14,2126.0
2021-03-15,3328.0
2021-03-16,3479.0
2021-03-17,3276.0
2021-03-18,3655.0
2021-03-19,3476.0
2021-03-20,3524.0
2021-03-21,1311.0
2021-03-22,1873.0
2021-03-23,2331.0
2021-03-24,2648.0
2021-03-25,2966.0
2021-03-26,2938.0
2021-03-27,3141.0
2021-03-28,1276.0
2021-03-29,1828.0
2021-03-30,2248.0
2021-03-31,2502.0
2021-04-01,1904.0
2021-04-02,804.0
2021-04-03,908.0
2021-04-04,284.0
2021-04-05,228.0
2021-04-06,1074.0
2021-04-07,1547.0
2021-04-08,1608.0
2021-04-09,1676.0
2021-04-10,1457.0
2021-04-11,572.0
2021-04-12,775.0
2021-04-13,923.0
2021-04-14,1132.0
2021-04-15,1192.0
2021-04-16,1166.0
2021-04-17,1016.0
2021-04-18,417.0
2021-04-19,683.0
2021-04-20,896.0
2021-04-21,1033.0
2021-04-22,961.0
2021-04-23,957.0
2021-04-24,885.0
2021-04-25,393.0
2021-04-26,655.0
2021-04-27,742.0
2021-04-28,880.0
2021-04-29,1006.0
2021-04-30,882.0
2021-05-01,534.0
2021-05-02,218.0
2021-05-03,214.0
2021-05-04,515.0
2021-05-05,679.0
2021-05-06,762.0
2021-05-07,668.0
2021-05-08,612.0
2021-05-09,257.0
2021-05-10,405.0
2021-05-11,625.0
2021-05-12,846.0
2021-05-13,762.0
2021-05-14,748.0
2021-05-15,725.0
2021-05-16,281.0
2021-05-17,412.0
2021-05-18,632.0
2021-05-19,894.0
2021-05-20,949.0
2021-05-21,737.0
2021-05-22,621.0
2021-05-23,260.0
2021-05-24,366.0
2021-05-25,700.0
2021-05-26,780.0
2021-05-27,945.0
2021-05-28,690.0
2021-05-29,520.0
2021-05-30,246.0
2021-05-31,202.0
2021-06-01,379.0
2021-06-02,516.0
2021-06-03,609.0
2021-06-04,462.0
2021-06-05,496.0
2021-06-06,228.0
2021-06-07,295.0
2021-06-08,429.0
2021-06-09,487.0
2021-06-10,572.0
2021-06-11,526.0
2021-06-12,482.0
2021-06-13,204.0
2021-06-14,315.0
2021-06-15,395.0
2021-06-16,460.0
2021-06-17,518.0
2021-06-18,418.0
2021-06-19,456.0
2021-06-20,177.0
2021-06-21,216.0
2021-06-22,355.0
2021-06-23,402.0
2021-06-24,459.0
2021-06-25,428.0
2021-06-26,504.0
2021-06-27,238.0
2021-06-28,257.0
2021-06-29,328.0
2021-06-30,371.0
2021-07-01,373.0
2021-07-02,338.0
2021-07-03,352.0
2021-07-04,156.0
2021-07-05,192.0
2021-07-06,245.0
2021-07-07,322.0
2021-07-08,379.0
2021-07-09,390.0
2021-07-10,386.0
2021-07-11,135.0
2021-07-12,180.0
2021-07-13,262.0
2021-07-14,289.0
2021-07-15,320.0
2021-07-16,317.0
2021-07-17,362.0
2021-07-18,127.0
2021-07-19,171.0
2021-07-20,234.0
2021-07-21,282.0
2021-07-22,269.0
2021-07-23,257.0
2021-07-24,230.0
2021-07-25,90.0
2021-07-26,178.0
2021-07-27,207.0
2021-07-28,246.0
2021-07-29,260.0
2021-07-30,213.0
2021-07-31,228.0
2021-08-01,95.0
2021-08-02,130.0
2021-08-03,212.0
2021-08-04,209.0
2021-08-05,225.0
2021-08-06,229.0
2021-08-07,187.0
2021-08-08,95.0
2021-08-09,148.0
2021-08-10,198.0
2021-08-11,198.0
2021-08-12,225.0
2021-08-13,170.0
2021-08-14,165.0
2021-08-15,57.0
2021-08-16,145.0
2021-08-17,154.0
2021-08-18,152.0
2021-08-19,177.0
2021-08-20,154.0
2021-08-21,169.0
2021-08-22,66.0
2021-08-23,111.0
2021-08-24,180.0
2021-08-25,188.0
2021-08-26,177.0
2021-08-27,163.0
2021-08-28,109.0
2021-08-29,49.0
2021-08-30,47.0
2021-08-31,141.0
2021-09-01,135.0
2021-09-02,126.0
2021-09-03,129.0
2021-09-04,117.0
2021-09-05,43.0
2021-09-06,83.0
2021-09-07,104.0
2021-09-08,136.0
2021-09-09,126.0
2021-09-10,115.0
2021-09-11,107.0
2021-09-12,31.0
2021-09-13,67.0
2021-09-14,120.0
2021-09-15,111.0
2021-09-16,128.0
2021-09-17,100.0
2021-09-18,143.0
2021-09-19,42.0
2021-09-20,101.0
2021-09-21,137.0
2021-09-22,136.0
2021-09-23,172.0
2021-09-24,170.0
2021-09-25,142.0
2021-09-26,55.0
2021-09-27,114.0
2021-09-28,136.0
2021-09-29,146.0
2021-09-30,187.0
2021-10-01,163.0
2021-10-02,171.0
2021-10-03,73.0
2021-10-04,128.0
2021-10-05,174.0
2021-10-06,256.0
2021-10-07,175.0
2021-10-08,179.0
2021-10-09,225.0
2021-10-10,79.0
2021-10-11,149.0
2021-10-12,184.0
2021-10-13,205.0
2021-10-14,246.0
2021-10-15,212.0
2021-10-16,234.0
2021-10-17,80.0
2021-10-18,146.0
2021-10-19,216.0
2021-10-20,270.0
2021-10-21,293.0
2021-10-22,281.0
2021-10-23,301.0
2021-10-24,124.0
2021-10-25,235.0
2021-10-26,266.0
2021-10-27,353.0
2021-10-28,321.0
2021-10-29,254.0
2021-10-30,307.0
2021-10-31,88.0
2021-11-01,229.0
2021-11-02,298.0
2021-11-03,311.0
