areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000004,East Midlands,region,2022-05-31,124
E12000004,East Midlands,region,2022-05-30,175
E12000004,East Midlands,region,2022-05-29,89
E12000004,East Midlands,region,2022-05-28,191
E12000004,East Midlands,region,2022-05-27,119
E12000004,East Midlands,region,2022-05-26,106
E12000004,East Midlands,region,2022-05-25,105
E12000004,East Midlands,region,2022-05-24,120
E12000004,East Midlands,region,2022-05-23,123
E12000004,East Midlands,region,2022-05-22,91
E12000004,East Midlands,region,2022-05-21,193
E12000004,East Midlands,region,2022-05-20,159
E12000004,East Midlands,region,2022-05-19,112
E12000004,East Midlands,region,2022-05-18,159
E12000004,East Midlands,region,2022-05-17,116
E12000004,East Midlands,region,2022-05-16,163
E12000004,East Midlands,region,2022-05-15,123
E12000004,East Midlands,region,2022-05-14,199
E12000004,East Midlands,region,2022-05-13,166
E12000004,East Midlands,region,2022-05-12,161
E12000004,East Midlands,region,2022-05-11,157
E12000004,East Midlands,region,2022-05-10,156
E12000004,East Midlands,region,2022-05-09,188
E12000004,East Midlands,region,2022-05-08,126
E12000004,East Midlands,region,2022-05-07,271
E12000004,East Midlands,region,2022-05-06,208
E12000004,East Midlands,region,2022-05-05,172
E12000004,East Midlands,region,2022-05-04,230
E12000004,East Midlands,region,2022-05-03,156
E12000004,East Midlands,region,2022-05-02,67
E12000004,East Midlands,region,2022-05-01,175
E12000004,East Midlands,region,2022-04-30,322
E12000004,East Midlands,region,2022-04-29,231
E12000004,East Midlands,region,2022-04-28,186
E12000004,East Midlands,region,2022-04-27,226
E12000004,East Midlands,region,2022-04-26,208
E12000004,East Midlands,region,2022-04-25,205
E12000004,East Midlands,region,2022-04-24,250
E12000004,East Midlands,region,2022-04-23,326
E12000004,East Midlands,region,2022-04-22,306
E12000004,East Midlands,region,2022-04-21,331
E12000004,East Midlands,region,2022-04-20,260
E12000004,East Midlands,region,2022-04-19,303
E12000004,East Midlands,region,2022-04-18,112
E12000004,East Midlands,region,2022-04-17,119
E12000004,East Midlands,region,2022-04-16,298
E12000004,East Midlands,region,2022-04-15,162
E12000004,East Midlands,region,2022-04-14,328
E12000004,East Midlands,region,2022-04-13,393
E12000004,East Midlands,region,2022-04-12,363
E12000004,East Midlands,region,2022-04-11,343
E12000004,East Midlands,region,2022-04-10,289
E12000004,East Midlands,region,2022-04-09,382
E12000004,East Midlands,region,2022-04-08,338
E12000004,East Midlands,region,2022-04-07,249
E12000004,East Midlands,region,2022-04-06,330
E12000004,East Midlands,region,2022-04-05,239
E12000004,East Midlands,region,2022-04-04,276
E12000004,East Midlands,region,2022-04-03,220
E12000004,East Midlands,region,2022-04-02,305
E12000004,East Midlands,region,2022-04-01,265
E12000004,East Midlands,region,2022-03-31,274
E12000004,East Midlands,region,2022-03-30,270
E12000004,East Midlands,region,2022-03-29,289
E12000004,East Midlands,region,2022-03-28,203
E12000004,East Midlands,region,2022-03-27,193
E12000004,East Midlands,region,2022-03-26,384
E12000004,East Midlands,region,2022-03-25,333
E12000004,East Midlands,region,2022-03-24,261
E12000004,East Midlands,region,2022-03-23,280
E12000004,East Midlands,region,2022-03-22,269
E12000004,East Midlands,region,2022-03-21,253
E12000004,East Midlands,region,2022-03-20,207
E12000004,East Midlands,region,2022-03-19,394
E12000004,East Midlands,region,2022-03-18,314
E12000004,East Midlands,region,2022-03-17,256
E12000004,East Midlands,region,2022-03-16,235
E12000004,East Midlands,region,2022-03-15,230
E12000004,East Midlands,region,2022-03-14,296
E12000004,East Midlands,region,2022-03-13,291
E12000004,East Midlands,region,2022-03-12,428
E12000004,East Midlands,region,2022-03-11,312
E12000004,East Midlands,region,2022-03-10,348
E12000004,East Midlands,region,2022-03-09,368
E12000004,East Midlands,region,2022-03-08,297
E12000004,East Midlands,region,2022-03-07,314
E12000004,East Midlands,region,2022-03-06,232
E12000004,East Midlands,region,2022-03-05,409
E12000004,East Midlands,region,2022-03-04,356
E12000004,East Midlands,region,2022-03-03,309
E12000004,East Midlands,region,2022-03-02,383
E12000004,East Midlands,region,2022-03-01,308
E12000004,East Midlands,region,2022-02-28,338
E12000004,East Midlands,region,2022-02-27,260
E12000004,East Midlands,region,2022-02-26,521
E12000004,East Midlands,region,2022-02-25,488
E12000004,East Midlands,region,2022-02-24,400
E12000004,East Midlands,region,2022-02-23,537
E12000004,East Midlands,region,2022-02-22,599
E12000004,East Midlands,region,2022-02-21,422
E12000004,East Midlands,region,2022-02-20,313
E12000004,East Midlands,region,2022-02-19,525
E12000004,East Midlands,region,2022-02-18,392
E12000004,East Midlands,region,2022-02-17,400
E12000004,East Midlands,region,2022-02-16,617
E12000004,East Midlands,region,2022-02-15,503
E12000004,East Midlands,region,2022-02-14,487
E12000004,East Midlands,region,2022-02-13,384
E12000004,East Midlands,region,2022-02-12,802
E12000004,East Midlands,region,2022-02-11,753
E12000004,East Midlands,region,2022-02-10,744
E12000004,East Midlands,region,2022-02-09,577
E12000004,East Midlands,region,2022-02-08,700
E12000004,East Midlands,region,2022-02-07,694
E12000004,East Midlands,region,2022-02-06,457
E12000004,East Midlands,region,2022-02-05,752
E12000004,East Midlands,region,2022-02-04,890
E12000004,East Midlands,region,2022-02-03,764
E12000004,East Midlands,region,2022-02-02,865
E12000004,East Midlands,region,2022-02-01,800
E12000004,East Midlands,region,2022-01-31,768
E12000004,East Midlands,region,2022-01-30,750
E12000004,East Midlands,region,2022-01-29,1101
E12000004,East Midlands,region,2022-01-28,1271
