areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000006,East of England,region,2021-11-24,1386
E12000006,East of England,region,2021-11-23,1823
E12000006,East of England,region,2021-11-22,1511
E12000006,East of England,region,2021-11-21,1515
E12000006,East of England,region,2021-11-20,2254
E12000006,East of England,region,2021-11-19,1855
E12000006,East of England,region,2021-11-18,1808
E12000006,East of England,region,2021-11-17,2097
E12000006,East of England,region,2021-11-16,2144
E12000006,East of England,region,2021-11-15,2694
E12000006,East of England,region,2021-11-14,2024
E12000006,East of England,region,2021-11-13,3145
E12000006,East of England,region,2021-11-12,2325
E12000006,East of England,region,2021-11-11,2993
E12000006,East of England,region,2021-11-10,3069
E12000006,East of England,region,2021-11-09,3293
E12000006,East of England,region,2021-11-08,2867
E12000006,East of England,region,2021-11-07,2535
E12000006,East of England,region,2021-11-06,3938
E12000006,East of England,region,2021-11-05,4020
E12000006,East of England,region,2021-11-04,4602
E12000006,East of England,region,2021-11-03,5071
E12000006,East of England,region,2021-11-02,4779
E12000006,East of England,region,2021-11-01,3796
E12000006,East of England,region,2021-10-31,2352
E12000006,East of England,region,2021-10-30,2917
E12000006,East of England,region,2021-10-29,2463
E12000006,East of England,region,2021-10-28,3422
E12000006,East of England,region,2021-10-27,3519
E12000006,East of England,region,2021-10-26,3041
E12000006,East of England,region,2021-10-25,2604
E12000006,East of England,region,2021-10-24,1112
E12000006,East of England,region,2021-10-23,2027
E12000006,East of England,region,2021-10-22,3535
E12000006,East of England,region,2021-10-21,5359
E12000006,East of England,region,2021-10-20,5635
E12000006,East of England,region,2021-10-19,5835
E12000006,East of England,region,2021-10-18,5108
E12000006,East of England,region,2021-10-17,927
E12000006,East of England,region,2021-10-16,2143
E12000006,East of England,region,2021-10-15,4601
E12000006,East of England,region,2021-10-14,4619
E12000006,East of England,region,2021-10-13,4833
E12000006,East of England,region,2021-10-12,5224
E12000006,East of England,region,2021-10-11,4062
E12000006,East of England,region,2021-10-10,1044
E12000006,East of England,region,2021-10-09,1520
E12000006,East of England,region,2021-10-08,4581
E12000006,East of England,region,2021-10-07,4545
E12000006,East of England,region,2021-10-06,5017
E12000006,East of England,region,2021-10-05,4976
E12000006,East of England,region,2021-10-04,4614
E12000006,East of England,region,2021-10-03,1221
E12000006,East of England,region,2021-10-02,1612
E12000006,East of England,region,2021-10-01,4189
E12000006,East of England,region,2021-09-30,5219
E12000006,East of England,region,2021-09-29,5166
E12000006,East of England,region,2021-09-28,4851
E12000006,East of England,region,2021-09-27,3047
E12000006,East of England,region,2021-09-26,732
E12000006,East of England,region,2021-09-25,1406
E12000006,East of England,region,2021-09-24,3020
E12000006,East of England,region,2021-09-23,2800
E12000006,East of England,region,2021-09-22,2426
E12000006,East of England,region,2021-09-21,2147
E12000006,East of England,region,2021-09-20,1537
E12000006,East of England,region,2021-09-19,1145
E12000006,East of England,region,2021-09-18,1480
E12000006,East of England,region,2021-09-17,1689
E12000006,East of England,region,2021-09-16,1814
E12000006,East of England,region,2021-09-15,2060
E12000006,East of England,region,2021-09-14,1739
E12000006,East of England,region,2021-09-13,1594
E12000006,East of England,region,2021-09-12,1327
E12000006,East of England,region,2021-09-11,2074
E12000006,East of England,region,2021-09-10,2418
E12000006,East of England,region,2021-09-09,2040
E12000006,East of England,region,2021-09-08,1846
E12000006,East of England,region,2021-09-07,1821
E12000006,East of England,region,2021-09-06,1516
E12000006,East of England,region,2021-09-05,1548
E12000006,East of England,region,2021-09-04,3253
E12000006,East of England,region,2021-09-03,3299
E12000006,East of England,region,2021-09-02,3104
E12000006,East of England,region,2021-09-01,3611
E12000006,East of England,region,2021-08-31,3964
E12000006,East of England,region,2021-08-30,1613
E12000006,East of England,region,2021-08-29,2404
E12000006,East of England,region,2021-08-28,3617
E12000006,East of England,region,2021-08-27,4566
E12000006,East of England,region,2021-08-26,5032
E12000006,East of England,region,2021-08-25,5411
E12000006,East of England,region,2021-08-24,5747
E12000006,East of England,region,2021-08-23,4186
E12000006,East of England,region,2021-08-22,4306
E12000006,East of England,region,2021-08-21,5997
E12000006,East of England,region,2021-08-20,6173
E12000006,East of England,region,2021-08-19,5423
E12000006,East of England,region,2021-08-18,5038
E12000006,East of England,region,2021-08-17,4062
E12000006,East of England,region,2021-08-16,3640
E12000006,East of England,region,2021-08-15,3005
E12000006,East of England,region,2021-08-14,3919
E12000006,East of England,region,2021-08-13,3206
E12000006,East of England,region,2021-08-12,4121
E12000006,East of England,region,2021-08-11,3580
E12000006,East of England,region,2021-08-10,2438
E12000006,East of England,region,2021-08-09,1910
E12000006,East of England,region,2021-08-08,1746
E12000006,East of England,region,2021-08-07,3235
E12000006,East of England,region,2021-08-06,2485
E12000006,East of England,region,2021-08-05,2543
E12000006,East of England,region,2021-08-04,2330
E12000006,East of England,region,2021-08-03,2194
E12000006,East of England,region,2021-08-02,1980
E12000006,East of England,region,2021-08-01,2090
E12000006,East of England,region,2021-07-31,3183
E12000006,East of England,region,2021-07-30,2933
E12000006,East of England,region,2021-07-29,3504
E12000006,East of England,region,2021-07-28,2829
