areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000007,London,region,2022-05-31,393
E12000007,London,region,2022-05-30,434
E12000007,London,region,2022-05-29,191
E12000007,London,region,2022-05-28,467
E12000007,London,region,2022-05-27,373
E12000007,London,region,2022-05-26,260
E12000007,London,region,2022-05-25,326
E12000007,London,region,2022-05-24,299
E12000007,London,region,2022-05-23,322
E12000007,London,region,2022-05-22,171
E12000007,London,region,2022-05-21,597
E12000007,London,region,2022-05-20,476
E12000007,London,region,2022-05-19,354
E12000007,London,region,2022-05-18,399
E12000007,London,region,2022-05-17,360
E12000007,London,region,2022-05-16,410
E12000007,London,region,2022-05-15,179
E12000007,London,region,2022-05-14,718
E12000007,London,region,2022-05-13,513
E12000007,London,region,2022-05-12,427
E12000007,London,region,2022-05-11,419
E12000007,London,region,2022-05-10,452
E12000007,London,region,2022-05-09,431
E12000007,London,region,2022-05-08,270
E12000007,London,region,2022-05-07,833
E12000007,London,region,2022-05-06,574
E12000007,London,region,2022-05-05,489
E12000007,London,region,2022-05-04,551
E12000007,London,region,2022-05-03,451
E12000007,London,region,2022-05-02,111
E12000007,London,region,2022-05-01,191
E12000007,London,region,2022-04-30,828
E12000007,London,region,2022-04-29,575
E12000007,London,region,2022-04-28,445
E12000007,London,region,2022-04-27,488
E12000007,London,region,2022-04-26,446
E12000007,London,region,2022-04-25,522
E12000007,London,region,2022-04-24,271
E12000007,London,region,2022-04-23,958
E12000007,London,region,2022-04-22,750
E12000007,London,region,2022-04-21,532
E12000007,London,region,2022-04-20,666
E12000007,London,region,2022-04-19,734
E12000007,London,region,2022-04-18,227
E12000007,London,region,2022-04-17,77
E12000007,London,region,2022-04-16,687
E12000007,London,region,2022-04-15,313
E12000007,London,region,2022-04-14,885
E12000007,London,region,2022-04-13,793
E12000007,London,region,2022-04-12,789
E12000007,London,region,2022-04-11,951
E12000007,London,region,2022-04-10,306
E12000007,London,region,2022-04-09,970
E12000007,London,region,2022-04-08,862
E12000007,London,region,2022-04-07,674
E12000007,London,region,2022-04-06,652
E12000007,London,region,2022-04-05,730
E12000007,London,region,2022-04-04,740
E12000007,London,region,2022-04-03,322
E12000007,London,region,2022-04-02,884
E12000007,London,region,2022-04-01,823
E12000007,London,region,2022-03-31,663
E12000007,London,region,2022-03-30,635
E12000007,London,region,2022-03-29,590
E12000007,London,region,2022-03-28,623
E12000007,London,region,2022-03-27,293
E12000007,London,region,2022-03-26,1157
E12000007,London,region,2022-03-25,857
E12000007,London,region,2022-03-24,640
E12000007,London,region,2022-03-23,669
E12000007,London,region,2022-03-22,681
E12000007,London,region,2022-03-21,743
E12000007,London,region,2022-03-20,491
E12000007,London,region,2022-03-19,1162
E12000007,London,region,2022-03-18,872
E12000007,London,region,2022-03-17,658
E12000007,London,region,2022-03-16,665
E12000007,London,region,2022-03-15,872
E12000007,London,region,2022-03-14,851
E12000007,London,region,2022-03-13,488
E12000007,London,region,2022-03-12,1417
E12000007,London,region,2022-03-11,969
E12000007,London,region,2022-03-10,773
E12000007,London,region,2022-03-09,741
E12000007,London,region,2022-03-08,822
E12000007,London,region,2022-03-07,778
E12000007,London,region,2022-03-06,486
E12000007,London,region,2022-03-05,1235
E12000007,London,region,2022-03-04,1165
E12000007,London,region,2022-03-03,822
E12000007,London,region,2022-03-02,882
E12000007,London,region,2022-03-01,891
E12000007,London,region,2022-02-28,872
E12000007,London,region,2022-02-27,587
E12000007,London,region,2022-02-26,1545
E12000007,London,region,2022-02-25,1312
E12000007,London,region,2022-02-24,981
E12000007,London,region,2022-02-23,1198
E12000007,London,region,2022-02-22,1268
E12000007,London,region,2022-02-21,1007
E12000007,London,region,2022-02-20,615
E12000007,London,region,2022-02-19,1461
E12000007,London,region,2022-02-18,975
E12000007,London,region,2022-02-17,1554
E12000007,London,region,2022-02-16,1286
E12000007,London,region,2022-02-15,1488
E12000007,London,region,2022-02-14,1383
E12000007,London,region,2022-02-13,831
E12000007,London,region,2022-02-12,2019
E12000007,London,region,2022-02-11,1678
E12000007,London,region,2022-02-10,1305
E12000007,London,region,2022-02-09,1539
E12000007,London,region,2022-02-08,1483
E12000007,London,region,2022-02-07,1441
E12000007,London,region,2022-02-06,914
E12000007,London,region,2022-02-05,2039
E12000007,London,region,2022-02-04,1795
E12000007,London,region,2022-02-03,1620
E12000007,London,region,2022-02-02,1788
E12000007,London,region,2022-02-01,1930
E12000007,London,region,2022-01-31,1931
E12000007,London,region,2022-01-30,1601
E12000007,London,region,2022-01-29,3345
E12000007,London,region,2022-01-28,2755
E12000007,London,region,2022-01-27,2362
E12000007,London,region,2022-01-26,2193
E12000007,London,region,2022-01-25,2180
E12000007,London,region,2022-01-24,2088
