areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000001,North East,region,2021-11-24,486
E12000001,North East,region,2021-11-23,679
E12000001,North East,region,2021-11-22,728
E12000001,North East,region,2021-11-21,489
E12000001,North East,region,2021-11-20,634
E12000001,North East,region,2021-11-19,843
E12000001,North East,region,2021-11-18,1048
E12000001,North East,region,2021-11-17,900
E12000001,North East,region,2021-11-16,700
E12000001,North East,region,2021-11-15,1088
E12000001,North East,region,2021-11-14,860
E12000001,North East,region,2021-11-13,1166
E12000001,North East,region,2021-11-12,1072
E12000001,North East,region,2021-11-11,1286
E12000001,North East,region,2021-11-10,996
E12000001,North East,region,2021-11-09,1299
E12000001,North East,region,2021-11-08,1218
E12000001,North East,region,2021-11-07,1089
E12000001,North East,region,2021-11-06,1682
E12000001,North East,region,2021-11-05,1691
E12000001,North East,region,2021-11-04,1627
E12000001,North East,region,2021-11-03,1890
E12000001,North East,region,2021-11-02,2341
E12000001,North East,region,2021-11-01,1802
E12000001,North East,region,2021-10-31,1226
E12000001,North East,region,2021-10-30,1215
E12000001,North East,region,2021-10-29,1483
E12000001,North East,region,2021-10-28,1863
E12000001,North East,region,2021-10-27,1557
E12000001,North East,region,2021-10-26,1506
E12000001,North East,region,2021-10-25,1238
E12000001,North East,region,2021-10-24,395
E12000001,North East,region,2021-10-23,718
E12000001,North East,region,2021-10-22,1557
E12000001,North East,region,2021-10-21,1574
E12000001,North East,region,2021-10-20,1873
E12000001,North East,region,2021-10-19,1592
E12000001,North East,region,2021-10-18,1330
E12000001,North East,region,2021-10-17,309
E12000001,North East,region,2021-10-16,540
E12000001,North East,region,2021-10-15,1290
E12000001,North East,region,2021-10-14,1579
E12000001,North East,region,2021-10-13,1495
E12000001,North East,region,2021-10-12,1529
E12000001,North East,region,2021-10-11,989
E12000001,North East,region,2021-10-10,344
E12000001,North East,region,2021-10-09,543
E12000001,North East,region,2021-10-08,1777
E12000001,North East,region,2021-10-07,1632
E12000001,North East,region,2021-10-06,2133
E12000001,North East,region,2021-10-05,1714
E12000001,North East,region,2021-10-04,1507
E12000001,North East,region,2021-10-03,371
E12000001,North East,region,2021-10-02,594
E12000001,North East,region,2021-10-01,1193
E12000001,North East,region,2021-09-30,1880
E12000001,North East,region,2021-09-29,1550
E12000001,North East,region,2021-09-28,1298
E12000001,North East,region,2021-09-27,857
E12000001,North East,region,2021-09-26,361
E12000001,North East,region,2021-09-25,636
E12000001,North East,region,2021-09-24,1190
E12000001,North East,region,2021-09-23,578
E12000001,North East,region,2021-09-22,825
E12000001,North East,region,2021-09-21,454
E12000001,North East,region,2021-09-20,449
E12000001,North East,region,2021-09-19,491
E12000001,North East,region,2021-09-18,790
E12000001,North East,region,2021-09-17,666
E12000001,North East,region,2021-09-16,883
E12000001,North East,region,2021-09-15,969
E12000001,North East,region,2021-09-14,520
E12000001,North East,region,2021-09-13,396
E12000001,North East,region,2021-09-12,682
E12000001,North East,region,2021-09-11,800
E12000001,North East,region,2021-09-10,897
E12000001,North East,region,2021-09-09,987
E12000001,North East,region,2021-09-08,791
E12000001,North East,region,2021-09-07,692
E12000001,North East,region,2021-09-06,538
E12000001,North East,region,2021-09-05,718
E12000001,North East,region,2021-09-04,1216
E12000001,North East,region,2021-09-03,1150
E12000001,North East,region,2021-09-02,1336
E12000001,North East,region,2021-09-01,1268
E12000001,North East,region,2021-08-31,935
E12000001,North East,region,2021-08-30,535
E12000001,North East,region,2021-08-29,1090
E12000001,North East,region,2021-08-28,1525
E12000001,North East,region,2021-08-27,1411
E12000001,North East,region,2021-08-26,2141
E12000001,North East,region,2021-08-25,2447
E12000001,North East,region,2021-08-24,1602
E12000001,North East,region,2021-08-23,1007
E12000001,North East,region,2021-08-22,1491
E12000001,North East,region,2021-08-21,1904
