areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000002,North West,region,2022-06-05,65
E12000002,North West,region,2022-06-04,163
E12000002,North West,region,2022-06-03,29
E12000002,North West,region,2022-06-02,42
E12000002,North West,region,2022-06-01,295
E12000002,North West,region,2022-05-31,297
E12000002,North West,region,2022-05-30,241
E12000002,North West,region,2022-05-29,126
E12000002,North West,region,2022-05-28,284
E12000002,North West,region,2022-05-27,257
E12000002,North West,region,2022-05-26,175
E12000002,North West,region,2022-05-25,249
E12000002,North West,region,2022-05-24,265
E12000002,North West,region,2022-05-23,223
E12000002,North West,region,2022-05-22,131
E12000002,North West,region,2022-05-21,427
E12000002,North West,region,2022-05-20,335
E12000002,North West,region,2022-05-19,321
E12000002,North West,region,2022-05-18,318
E12000002,North West,region,2022-05-17,335
E12000002,North West,region,2022-05-16,266
E12000002,North West,region,2022-05-15,161
E12000002,North West,region,2022-05-14,427
E12000002,North West,region,2022-05-13,324
E12000002,North West,region,2022-05-12,333
E12000002,North West,region,2022-05-11,390
E12000002,North West,region,2022-05-10,385
E12000002,North West,region,2022-05-09,351
E12000002,North West,region,2022-05-08,220
E12000002,North West,region,2022-05-07,568
E12000002,North West,region,2022-05-06,408
E12000002,North West,region,2022-05-05,374
E12000002,North West,region,2022-05-04,453
E12000002,North West,region,2022-05-03,351
E12000002,North West,region,2022-05-02,78
E12000002,North West,region,2022-05-01,167
E12000002,North West,region,2022-04-30,574
E12000002,North West,region,2022-04-29,448
E12000002,North West,region,2022-04-28,381
E12000002,North West,region,2022-04-27,480
E12000002,North West,region,2022-04-26,414
E12000002,North West,region,2022-04-25,397
E12000002,North West,region,2022-04-24,297
E12000002,North West,region,2022-04-23,699
E12000002,North West,region,2022-04-22,555
E12000002,North West,region,2022-04-21,458
E12000002,North West,region,2022-04-20,594
E12000002,North West,region,2022-04-19,529
E12000002,North West,region,2022-04-18,178
E12000002,North West,region,2022-04-17,106
E12000002,North West,region,2022-04-16,460
E12000002,North West,region,2022-04-15,283
E12000002,North West,region,2022-04-14,665
E12000002,North West,region,2022-04-13,793
E12000002,North West,region,2022-04-12,573
E12000002,North West,region,2022-04-11,629
E12000002,North West,region,2022-04-10,318
E12000002,North West,region,2022-04-09,765
E12000002,North West,region,2022-04-08,552
E12000002,North West,region,2022-04-07,475
E12000002,North West,region,2022-04-06,601
E12000002,North West,region,2022-04-05,526
E12000002,North West,region,2022-04-04,454
E12000002,North West,region,2022-04-03,238
E12000002,North West,region,2022-04-02,610
E12000002,North West,region,2022-04-01,422
E12000002,North West,region,2022-03-31,564
E12000002,North West,region,2022-03-30,545
E12000002,North West,region,2022-03-29,529
E12000002,North West,region,2022-03-28,379
E12000002,North West,region,2022-03-27,191
E12000002,North West,region,2022-03-26,646
E12000002,North West,region,2022-03-25,538
E12000002,North West,region,2022-03-24,487
E12000002,North West,region,2022-03-23,522
E12000002,North West,region,2022-03-22,478
E12000002,North West,region,2022-03-21,417
E12000002,North West,region,2022-03-20,284
E12000002,North West,region,2022-03-19,675
E12000002,North West,region,2022-03-18,597
E12000002,North West,region,2022-03-17,518
E12000002,North West,region,2022-03-16,505
E12000002,North West,region,2022-03-15,687
E12000002,North West,region,2022-03-14,467
E12000002,North West,region,2022-03-13,386
E12000002,North West,region,2022-03-12,741
E12000002,North West,region,2022-03-11,556
E12000002,North West,region,2022-03-10,545
E12000002,North West,region,2022-03-09,655
E12000002,North West,region,2022-03-08,625
E12000002,North West,region,2022-03-07,486
E12000002,North West,region,2022-03-06,261
E12000002,North West,region,2022-03-05,838
E12000002,North West,region,2022-03-04,739
E12000002,North West,region,2022-03-03,665
E12000002,North West,region,2022-03-02,645
E12000002,North West,region,2022-03-01,822
E12000002,North West,region,2022-02-28,724
E12000002,North West,region,2022-02-27,375
E12000002,North West,region,2022-02-26,847
E12000002,North West,region,2022-02-25,838
E12000002,North West,region,2022-02-24,757
E12000002,North West,region,2022-02-23,963
E12000002,North West,region,2022-02-22,916
E12000002,North West,region,2022-02-21,758
E12000002,North West,region,2022-02-20,432
E12000002,North West,region,2022-02-19,942
E12000002,North West,region,2022-02-18,777
E12000002,North West,region,2022-02-17,1111
E12000002,North West,region,2022-02-16,962
E12000002,North West,region,2022-02-15,1328
E12000002,North West,region,2022-02-14,899
E12000002,North West,region,2022-02-13,565
E12000002,North West,region,2022-02-12,1331
E12000002,North West,region,2022-02-11,1289
E12000002,North West,region,2022-02-10,1330
E12000002,North West,region,2022-02-09,1445
E12000002,North West,region,2022-02-08,1446
E12000002,North West,region,2022-02-07,1138
E12000002,North West,region,2022-02-06,731
E12000002,North West,region,2022-02-05,1355
E12000002,North West,region,2022-02-04,1363
E12000002,North West,region,2022-02-03,1661
E12000002,North West,region,2022-02-02,1631
E12000002,North West,region,2022-02-01,1649
E12000002,North West,region,2022-01-31,1612
E12000002,North West,region,2022-01-30,1106
E12000002,North West,region,2022-01-29,1906
E12000002,North West,region,2022-01-28,2078
E12000002,North West,region,2022-01-27,2097
E12000002,North West,region,2022-01-26,1970
E12000002,North West,region,2022-01-25,1844
E12000002,North West,region,2022-01-24,1548
E12000002,North West,region,2022-01-23,1116
E12000002,North West,region,2022-01-22,2145
E12000002,North West,region,2022-01-21,1977
E12000002,North West,region,2022-01-20,1967
E12000002,North West,region,2022-01-19,2220
E12000002,North West,region,2022-01-18,2104
E12000002,North West,region,2022-01-17,1842
E12000002,North West,region,2022-01-16,1631
E12000002,North West,region,2022-01-15,2793
E12000002,North West,region,2022-01-14,2355
E12000002,North West,region,2022-01-13,2164
E12000002,North West,region,2022-01-12,2134
E12000002,North West,region,2022-01-11,2101
E12000002,North West,region,2022-01-10,1968
E12000002,North West,region,2022-01-09,2165
E12000002,North West,region,2022-01-08,3764
E12000002,North West,region,2022-01-07,2518
E12000002,North West,region,2022-01-06,2490
E12000002,North West,region,2022-01-05,2977
E12000002,North West,region,2022-01-04,2729
E12000002,North West,region,2022-01-03,1940
E12000002,North West,region,2022-01-02,1125
E12000002,North West,region,2022-01-01,185
E12000002,North West,region,2021-12-31,1550
E12000002,North West,region,2021-12-30,3446
E12000002,North West,region,2021-12-29,3903
E12000002,North West,region,2021-12-28,1941
E12000002,North West,region,2021-12-27,1551
E12000002,North West,region,2021-12-26,145
E12000002,North West,region,2021-12-25,61
E12000002,North West,region,2021-12-24,664
E12000002,North West,region,2021-12-23,2890
E12000002,North West,region,2021-12-22,3865
E12000002,North West,region,2021-12-21,4248
E12000002,North West,region,2021-12-20,4251
E12000002,North West,region,2021-12-19,3456
E12000002,North West,region,2021-12-18,4580
E12000002,North West,region,2021-12-17,3602
E12000002,North West,region,2021-12-16,3640
E12000002,North West,region,2021-12-15,3124
E12000002,North West,region,2021-12-14,2717
E12000002,North West,region,2021-12-13,2089
E12000002,North West,region,2021-12-12,2137
E12000002,North West,region,2021-12-11,2879
E12000002,North West,region,2021-12-10,2247
E12000002,North West,region,2021-12-09,2239
E12000002,North West,region,2021-12-08,1959
E12000002,North West,region,2021-12-07,1975
E12000002,North West,region,2021-12-06,1990
E12000002,North West,region,2021-12-05,1505
E12000002,North West,region,2021-12-04,2951
E12000002,North West,region,2021-12-03,2127
E12000002,North West,region,2021-12-02,2506
E12000002,North West,region,2021-12-01,2668
E12000002,North West,region,2021-11-30,2413
E12000002,North West,region,2021-11-29,2013
E12000002,North West,region,2021-11-28,1061
E12000002,North West,region,2021-11-27,2463
E12000002,North West,region,2021-11-26,2673
E12000002,North West,region,2021-11-25,2066
E12000002,North West,region,2021-11-24,2191
E12000002,North West,region,2021-11-23,2248
E12000002,North West,region,2021-11-22,2295
E12000002,North West,region,2021-11-21,1167
E12000002,North West,region,2021-11-20,2611
E12000002,North West,region,2021-11-19,2828
E12000002,North West,region,2021-11-18,2641
E12000002,North West,region,2021-11-17,3913
E12000002,North West,region,2021-11-16,3192
E12000002,North West,region,2021-11-15,2999
E12000002,North West,region,2021-11-14,1372
E12000002,North West,region,2021-11-13,3382
E12000002,North West,region,2021-11-12,3872
E12000002,North West,region,2021-11-11,4865
E12000002,North West,region,2021-11-10,3977
E12000002,North West,region,2021-11-09,4670
E12000002,North West,region,2021-11-08,3968
E12000002,North West,region,2021-11-07,2341
E12000002,North West,region,2021-11-06,3528
E12000002,North West,region,2021-11-05,4322
E12000002,North West,region,2021-11-04,4849
E12000002,North West,region,2021-11-03,5815
E12000002,North West,region,2021-11-02,5448
E12000002,North West,region,2021-11-01,5644
E12000002,North West,region,2021-10-31,2446
E12000002,North West,region,2021-10-30,3211
E12000002,North West,region,2021-10-29,3510
E12000002,North West,region,2021-10-28,3743
E12000002,North West,region,2021-10-27,3488
E12000002,North West,region,2021-10-26,2776
E12000002,North West,region,2021-10-25,2448
E12000002,North West,region,2021-10-24,1320
E12000002,North West,region,2021-10-23,2068
E12000002,North West,region,2021-10-22,5378
E12000002,North West,region,2021-10-21,6499
E12000002,North West,region,2021-10-20,5973
E12000002,North West,region,2021-10-19,6082
E12000002,North West,region,2021-10-18,5800
E12000002,North West,region,2021-10-17,876
E12000002,North West,region,2021-10-16,1705
E12000002,North West,region,2021-10-15,6408
E12000002,North West,region,2021-10-14,6576
E12000002,North West,region,2021-10-13,5795
E12000002,North West,region,2021-10-12,6750
E12000002,North West,region,2021-10-11,6693
E12000002,North West,region,2021-10-10,1211
E12000002,North West,region,2021-10-09,2076
E12000002,North West,region,2021-10-08,5882
E12000002,North West,region,2021-10-07,6022
E12000002,North West,region,2021-10-06,6651
E12000002,North West,region,2021-10-05,6774
E12000002,North West,region,2021-10-04,5732
E12000002,North West,region,2021-10-03,930
E12000002,North West,region,2021-10-02,1892
E12000002,North West,region,2021-10-01,3316
E12000002,North West,region,2021-09-30,3450
E12000002,North West,region,2021-09-29,3124
E12000002,North West,region,2021-09-28,3116
E12000002,North West,region,2021-09-27,3093
E12000002,North West,region,2021-09-26,951
E12000002,North West,region,2021-09-25,1777
E12000002,North West,region,2021-09-24,2918
E12000002,North West,region,2021-09-23,2493
E12000002,North West,region,2021-09-22,2100
E12000002,North West,region,2021-09-21,1916
E12000002,North West,region,2021-09-20,1917
E12000002,North West,region,2021-09-19,1076
E12000002,North West,region,2021-09-18,2503
E12000002,North West,region,2021-09-17,2160
E12000002,North West,region,2021-09-16,2516
E12000002,North West,region,2021-09-15,2403
E12000002,North West,region,2021-09-14,2156
E12000002,North West,region,2021-09-13,1920
E12000002,North West,region,2021-09-12,1219
E12000002,North West,region,2021-09-11,2592
E12000002,North West,region,2021-09-10,2977
E12000002,North West,region,2021-09-09,3241
E12000002,North West,region,2021-09-08,2764
E12000002,North West,region,2021-09-07,2527
E12000002,North West,region,2021-09-06,2067
E12000002,North West,region,2021-09-05,1580
E12000002,North West,region,2021-09-04,3729
E12000002,North West,region,2021-09-03,3293
E12000002,North West,region,2021-09-02,3862
E12000002,North West,region,2021-09-01,4029
E12000002,North West,region,2021-08-31,3503
E12000002,North West,region,2021-08-30,1486
E12000002,North West,region,2021-08-29,2045
E12000002,North West,region,2021-08-28,4929
E12000002,North West,region,2021-08-27,3964
E12000002,North West,region,2021-08-26,5451
E12000002,North West,region,2021-08-25,5872
E12000002,North West,region,2021-08-24,5101
E12000002,North West,region,2021-08-23,4246
E12000002,North West,region,2021-08-22,3138
E12000002,North West,region,2021-08-21,6384
E12000002,North West,region,2021-08-20,6107
E12000002,North West,region,2021-08-19,6583
E12000002,North West,region,2021-08-18,4183
E12000002,North West,region,2021-08-17,3803
E12000002,North West,region,2021-08-16,3518
E12000002,North West,region,2021-08-15,2294
E12000002,North West,region,2021-08-14,5027
E12000002,North West,region,2021-08-13,3902
E12000002,North West,region,2021-08-12,4726
E12000002,North West,region,2021-08-11,4063
E12000002,North West,region,2021-08-10,4258
E12000002,North West,region,2021-08-09,2347
E12000002,North West,region,2021-08-08,1804
E12000002,North West,region,2021-08-07,3728
E12000002,North West,region,2021-08-06,3889
E12000002,North West,region,2021-08-05,4128
E12000002,North West,region,2021-08-04,3806
