areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByPublishDate
N92000002,Northern Ireland,nation,2022-05-31,21
N92000002,Northern Ireland,nation,2022-05-30,33
N92000002,Northern Ireland,nation,2022-05-29,77
N92000002,Northern Ireland,nation,2022-05-28,98
N92000002,Northern Ireland,nation,2022-05-27,55
N92000002,Northern Ireland,nation,2022-05-26,62
N92000002,Northern Ireland,nation,2022-05-25,0
N92000002,Northern Ireland,nation,2022-05-24,0
N92000002,Northern Ireland,nation,2022-05-23,0
N92000002,Northern Ireland,nation,2022-05-22,97
N92000002,Northern Ireland,nation,2022-05-21,109
N92000002,Northern Ireland,nation,2022-05-20,64
N92000002,Northern Ireland,nation,2022-05-19,90
N92000002,Northern Ireland,nation,2022-05-18,43
N92000002,Northern Ireland,nation,2022-05-17,38
N92000002,Northern Ireland,nation,2022-05-16,19
N92000002,Northern Ireland,nation,2022-05-15,139
N92000002,Northern Ireland,nation,2022-05-14,138
N92000002,Northern Ireland,nation,2022-05-13,51
N92000002,Northern Ireland,nation,2022-05-12,58
N92000002,Northern Ireland,nation,2022-05-11,53
N92000002,Northern Ireland,nation,2022-05-10,60
N92000002,Northern Ireland,nation,2022-05-09,61
N92000002,Northern Ireland,nation,2022-05-08,128
N92000002,Northern Ireland,nation,2022-05-07,110
N92000002,Northern Ireland,nation,2022-05-06,119
N92000002,Northern Ireland,nation,2022-05-05,81
N92000002,Northern Ireland,nation,2022-05-04,15
N92000002,Northern Ireland,nation,2022-05-03,0
N92000002,Northern Ireland,nation,2022-05-02,18
N92000002,Northern Ireland,nation,2022-05-01,138
N92000002,Northern Ireland,nation,2022-04-30,198
N92000002,Northern Ireland,nation,2022-04-29,94
N92000002,Northern Ireland,nation,2022-04-28,50
N92000002,Northern Ireland,nation,2022-04-27,185
N92000002,Northern Ireland,nation,2022-04-26,0
N92000002,Northern Ireland,nation,2022-04-25,64
N92000002,Northern Ireland,nation,2022-04-24,159
N92000002,Northern Ireland,nation,2022-04-23,259
N92000002,Northern Ireland,nation,2022-04-22,157
N92000002,Northern Ireland,nation,2022-04-21,102
N92000002,Northern Ireland,nation,2022-04-20,191
N92000002,Northern Ireland,nation,2022-04-19,34
N92000002,Northern Ireland,nation,2022-04-18,14
N92000002,Northern Ireland,nation,2022-04-17,0
N92000002,Northern Ireland,nation,2022-04-16,126
N92000002,Northern Ireland,nation,2022-04-15,163
N92000002,Northern Ireland,nation,2022-04-14,163
N92000002,Northern Ireland,nation,2022-04-13,149
N92000002,Northern Ireland,nation,2022-04-12,50
N92000002,Northern Ireland,nation,2022-04-11,33
N92000002,Northern Ireland,nation,2022-04-10,239
N92000002,Northern Ireland,nation,2022-04-09,176
N92000002,Northern Ireland,nation,2022-04-08,120
N92000002,Northern Ireland,nation,2022-04-07,127
N92000002,Northern Ireland,nation,2022-04-06,129
N92000002,Northern Ireland,nation,2022-04-05,48
N92000002,Northern Ireland,nation,2022-04-04,56
N92000002,Northern Ireland,nation,2022-04-03,216
N92000002,Northern Ireland,nation,2022-04-02,203
N92000002,Northern Ireland,nation,2022-04-01,138
N92000002,Northern Ireland,nation,2022-03-31,97
N92000002,Northern Ireland,nation,2022-03-30,99
N92000002,Northern Ireland,nation,2022-03-29,28
N92000002,Northern Ireland,nation,2022-03-28,78
N92000002,Northern Ireland,nation,2022-03-27,201
N92000002,Northern Ireland,nation,2022-03-26,175
N92000002,Northern Ireland,nation,2022-03-25,125
N92000002,Northern Ireland,nation,2022-03-24,57
N92000002,Northern Ireland,nation,2022-03-23,136
N92000002,Northern Ireland,nation,2022-03-22,104
N92000002,Northern Ireland,nation,2022-03-21,57
N92000002,Northern Ireland,nation,2022-03-20,204
N92000002,Northern Ireland,nation,2022-03-19,185
N92000002,Northern Ireland,nation,2022-03-18,174
N92000002,Northern Ireland,nation,2022-03-17,174
N92000002,Northern Ireland,nation,2022-03-16,110
N92000002,Northern Ireland,nation,2022-03-15,46
N92000002,Northern Ireland,nation,2022-03-14,82
N92000002,Northern Ireland,nation,2022-03-13,228
N92000002,Northern Ireland,nation,2022-03-12,192
N92000002,Northern Ireland,nation,2022-03-11,108
N92000002,Northern Ireland,nation,2022-03-10,158
N92000002,Northern Ireland,nation,2022-03-09,93
N92000002,Northern Ireland,nation,2022-03-08,128
N92000002,Northern Ireland,nation,2022-03-07,104
N92000002,Northern Ireland,nation,2022-03-06,255
N92000002,Northern Ireland,nation,2022-03-05,230
N92000002,Northern Ireland,nation,2022-03-04,361
N92000002,Northern Ireland,nation,2022-03-03,0
N92000002,Northern Ireland,nation,2022-03-02,231
N92000002,Northern Ireland,nation,2022-03-01,109
N92000002,Northern Ireland,nation,2022-02-28,101
N92000002,Northern Ireland,nation,2022-02-27,217
N92000002,Northern Ireland,nation,2022-02-26,169
N92000002,Northern Ireland,nation,2022-02-25,138
N92000002,Northern Ireland,nation,2022-02-24,65
N92000002,Northern Ireland,nation,2022-02-23,114
N92000002,Northern Ireland,nation,2022-02-22,49
N92000002,Northern Ireland,nation,2022-02-21,80
N92000002,Northern Ireland,nation,2022-02-20,170
N92000002,Northern Ireland,nation,2022-02-19,222
N92000002,Northern Ireland,nation,2022-02-18,169
N92000002,Northern Ireland,nation,2022-02-17,172
N92000002,Northern Ireland,nation,2022-02-16,148
N92000002,Northern Ireland,nation,2022-02-15,113
N92000002,Northern Ireland,nation,2022-02-14,127
N92000002,Northern Ireland,nation,2022-02-13,231
N92000002,Northern Ireland,nation,2022-02-12,176
N92000002,Northern Ireland,nation,2022-02-11,128
N92000002,Northern Ireland,nation,2022-02-10,485
N92000002,Northern Ireland,nation,2022-02-09,0
N92000002,Northern Ireland,nation,2022-02-08,179
N92000002,Northern Ireland,nation,2022-02-07,193
N92000002,Northern Ireland,nation,2022-02-06,404
N92000002,Northern Ireland,nation,2022-02-05,289
N92000002,Northern Ireland,nation,2022-02-04,238
N92000002,Northern Ireland,nation,2022-02-03,200
N92000002,Northern Ireland,nation,2022-02-02,168
N92000002,Northern Ireland,nation,2022-02-01,188
N92000002,Northern Ireland,nation,2022-01-31,159
N92000002,Northern Ireland,nation,2022-01-30,232
N92000002,Northern Ireland,nation,2022-01-29,475
N92000002,Northern Ireland,nation,2022-01-28,262
N92000002,Northern Ireland,nation,2022-01-27,396
N92000002,Northern Ireland,nation,2022-01-26,309
N92000002,Northern Ireland,nation,2022-01-25,209
N92000002,Northern Ireland,nation,2022-01-24,207
N92000002,Northern Ireland,nation,2022-01-23,402
N92000002,Northern Ireland,nation,2022-01-22,360
N92000002,Northern Ireland,nation,2022-01-21,461
N92000002,Northern Ireland,nation,2022-01-20,385
N92000002,Northern Ireland,nation,2022-01-19,183
N92000002,Northern Ireland,nation,2022-01-18,496
N92000002,Northern Ireland,nation,2022-01-17,577
