areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByPublishDate
S92000003,Scotland,nation,2021-11-24,883
S92000003,Scotland,nation,2021-11-23,1062
S92000003,Scotland,nation,2021-11-22,885
S92000003,Scotland,nation,2021-11-21,955
S92000003,Scotland,nation,2021-11-20,1233
S92000003,Scotland,nation,2021-11-19,1208
S92000003,Scotland,nation,2021-11-18,1535
S92000003,Scotland,nation,2021-11-17,1511
S92000003,Scotland,nation,2021-11-16,1261
S92000003,Scotland,nation,2021-11-15,1253
S92000003,Scotland,nation,2021-11-14,2981
S92000003,Scotland,nation,2021-11-13,703
S92000003,Scotland,nation,2021-11-12,1114
S92000003,Scotland,nation,2021-11-11,0
S92000003,Scotland,nation,2021-11-10,1085
S92000003,Scotland,nation,2021-11-09,867
S92000003,Scotland,nation,2021-11-08,891
S92000003,Scotland,nation,2021-11-07,1392
S92000003,Scotland,nation,2021-11-06,807
S92000003,Scotland,nation,2021-11-05,1473
S92000003,Scotland,nation,2021-11-04,1087
S92000003,Scotland,nation,2021-11-03,0
S92000003,Scotland,nation,2021-11-02,1400
S92000003,Scotland,nation,2021-11-01,1587
S92000003,Scotland,nation,2021-10-31,1182
S92000003,Scotland,nation,2021-10-30,1799
S92000003,Scotland,nation,2021-10-29,1658
S92000003,Scotland,nation,2021-10-28,1940
S92000003,Scotland,nation,2021-10-27,865
S92000003,Scotland,nation,2021-10-26,1407
S92000003,Scotland,nation,2021-10-25,1561
S92000003,Scotland,nation,2021-10-24,2789
S92000003,Scotland,nation,2021-10-23,3200
S92000003,Scotland,nation,2021-10-22,2733
S92000003,Scotland,nation,2021-10-21,2621
S92000003,Scotland,nation,2021-10-20,2912
S92000003,Scotland,nation,2021-10-19,2466
S92000003,Scotland,nation,2021-10-18,2531
S92000003,Scotland,nation,2021-10-17,3075
S92000003,Scotland,nation,2021-10-16,3912
S92000003,Scotland,nation,2021-10-15,3195
S92000003,Scotland,nation,2021-10-14,3729
S92000003,Scotland,nation,2021-10-13,5082
S92000003,Scotland,nation,2021-10-12,4371
S92000003,Scotland,nation,2021-10-11,4631
S92000003,Scotland,nation,2021-10-10,7359
S92000003,Scotland,nation,2021-10-09,7664
S92000003,Scotland,nation,2021-10-08,5117
S92000003,Scotland,nation,2021-10-07,5909
S92000003,Scotland,nation,2021-10-06,5897
S92000003,Scotland,nation,2021-10-05,5459
S92000003,Scotland,nation,2021-10-04,5779
S92000003,Scotland,nation,2021-10-03,9394
S92000003,Scotland,nation,2021-10-02,8822
S92000003,Scotland,nation,2021-10-01,5512
S92000003,Scotland,nation,2021-09-30,4511
S92000003,Scotland,nation,2021-09-29,2958
S92000003,Scotland,nation,2021-09-28,2169
S92000003,Scotland,nation,2021-09-27,2957
S92000003,Scotland,nation,2021-09-26,4785
S92000003,Scotland,nation,2021-09-25,4259
S92000003,Scotland,nation,2021-09-24,4295
S92000003,Scotland,nation,2021-09-23,2222
S92000003,Scotland,nation,2021-09-22,2821
S92000003,Scotland,nation,2021-09-21,2400
S92000003,Scotland,nation,2021-09-20,3222
S92000003,Scotland,nation,2021-09-19,2565
S92000003,Scotland,nation,2021-09-18,3313
S92000003,Scotland,nation,2021-09-17,1578
S92000003,Scotland,nation,2021-09-16,1423
S92000003,Scotland,nation,2021-09-15,1887
S92000003,Scotland,nation,2021-09-14,1943
S92000003,Scotland,nation,2021-09-13,2121
