areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000008,South East,region,2022-06-05,74
E12000008,South East,region,2022-06-04,181
E12000008,South East,region,2022-06-03,79
E12000008,South East,region,2022-06-02,95
E12000008,South East,region,2022-06-01,320
E12000008,South East,region,2022-05-31,296
E12000008,South East,region,2022-05-30,273
E12000008,South East,region,2022-05-29,141
E12000008,South East,region,2022-05-28,447
E12000008,South East,region,2022-05-27,228
E12000008,South East,region,2022-05-26,219
E12000008,South East,region,2022-05-25,197
E12000008,South East,region,2022-05-24,223
E12000008,South East,region,2022-05-23,185
E12000008,South East,region,2022-05-22,175
E12000008,South East,region,2022-05-21,629
E12000008,South East,region,2022-05-20,323
E12000008,South East,region,2022-05-19,304
E12000008,South East,region,2022-05-18,253
E12000008,South East,region,2022-05-17,242
E12000008,South East,region,2022-05-16,227
E12000008,South East,region,2022-05-15,225
E12000008,South East,region,2022-05-14,718
E12000008,South East,region,2022-05-13,362
E12000008,South East,region,2022-05-12,391
E12000008,South East,region,2022-05-11,300
E12000008,South East,region,2022-05-10,307
E12000008,South East,region,2022-05-09,309
E12000008,South East,region,2022-05-08,300
E12000008,South East,region,2022-05-07,803
E12000008,South East,region,2022-05-06,438
E12000008,South East,region,2022-05-05,362
E12000008,South East,region,2022-05-04,353
E12000008,South East,region,2022-05-03,387
E12000008,South East,region,2022-05-02,182
E12000008,South East,region,2022-05-01,320
E12000008,South East,region,2022-04-30,925
E12000008,South East,region,2022-04-29,439
E12000008,South East,region,2022-04-28,419
E12000008,South East,region,2022-04-27,454
E12000008,South East,region,2022-04-26,415
E12000008,South East,region,2022-04-25,369
E12000008,South East,region,2022-04-24,462
E12000008,South East,region,2022-04-23,1011
E12000008,South East,region,2022-04-22,622
E12000008,South East,region,2022-04-21,736
E12000008,South East,region,2022-04-20,591
E12000008,South East,region,2022-04-19,622
E12000008,South East,region,2022-04-18,202
E12000008,South East,region,2022-04-17,152
E12000008,South East,region,2022-04-16,669
E12000008,South East,region,2022-04-15,397
E12000008,South East,region,2022-04-14,714
E12000008,South East,region,2022-04-13,637
E12000008,South East,region,2022-04-12,652
E12000008,South East,region,2022-04-11,632
E12000008,South East,region,2022-04-10,485
E12000008,South East,region,2022-04-09,948
E12000008,South East,region,2022-04-08,598
E12000008,South East,region,2022-04-07,564
E12000008,South East,region,2022-04-06,518
E12000008,South East,region,2022-04-05,422
E12000008,South East,region,2022-04-04,468
E12000008,South East,region,2022-04-03,383
E12000008,South East,region,2022-04-02,754
E12000008,South East,region,2022-04-01,440
E12000008,South East,region,2022-03-31,521
E12000008,South East,region,2022-03-30,465
E12000008,South East,region,2022-03-29,405
E12000008,South East,region,2022-03-28,366
E12000008,South East,region,2022-03-27,270
E12000008,South East,region,2022-03-26,911
E12000008,South East,region,2022-03-25,551
E12000008,South East,region,2022-03-24,538
E12000008,South East,region,2022-03-23,535
E12000008,South East,region,2022-03-22,502
E12000008,South East,region,2022-03-21,497
E12000008,South East,region,2022-03-20,399
E12000008,South East,region,2022-03-19,938
E12000008,South East,region,2022-03-18,565
E12000008,South East,region,2022-03-17,559
E12000008,South East,region,2022-03-16,620
E12000008,South East,region,2022-03-15,556
E12000008,South East,region,2022-03-14,445
E12000008,South East,region,2022-03-13,409
E12000008,South East,region,2022-03-12,1035
E12000008,South East,region,2022-03-11,592
E12000008,South East,region,2022-03-10,730
E12000008,South East,region,2022-03-09,761
E12000008,South East,region,2022-03-08,582
E12000008,South East,region,2022-03-07,524
E12000008,South East,region,2022-03-06,375
E12000008,South East,region,2022-03-05,1029
E12000008,South East,region,2022-03-04,706
E12000008,South East,region,2022-03-03,746
E12000008,South East,region,2022-03-02,745
E12000008,South East,region,2022-03-01,663
E12000008,South East,region,2022-02-28,732
E12000008,South East,region,2022-02-27,477
E12000008,South East,region,2022-02-26,1195
E12000008,South East,region,2022-02-25,878
E12000008,South East,region,2022-02-24,952
E12000008,South East,region,2022-02-23,979
E12000008,South East,region,2022-02-22,788
E12000008,South East,region,2022-02-21,741
E12000008,South East,region,2022-02-20,458
E12000008,South East,region,2022-02-19,1342
E12000008,South East,region,2022-02-18,391
E12000008,South East,region,2022-02-17,1146
E12000008,South East,region,2022-02-16,1062
E12000008,South East,region,2022-02-15,987
E12000008,South East,region,2022-02-14,652
E12000008,South East,region,2022-02-13,580
E12000008,South East,region,2022-02-12,1822
E12000008,South East,region,2022-02-11,1365
E12000008,South East,region,2022-02-10,1341
E12000008,South East,region,2022-02-09,1338
E12000008,South East,region,2022-02-08,1165
E12000008,South East,region,2022-02-07,1156
E12000008,South East,region,2022-02-06,695
E12000008,South East,region,2022-02-05,1770
E12000008,South East,region,2022-02-04,1319
E12000008,South East,region,2022-02-03,1612
E12000008,South East,region,2022-02-02,1479
E12000008,South East,region,2022-02-01,1580
E12000008,South East,region,2022-01-31,1339
E12000008,South East,region,2022-01-30,1366
E12000008,South East,region,2022-01-29,2491
E12000008,South East,region,2022-01-28,1892
E12000008,South East,region,2022-01-27,2058
E12000008,South East,region,2022-01-26,1976
E12000008,South East,region,2022-01-25,1638
E12000008,South East,region,2022-01-24,1744
E12000008,South East,region,2022-01-23,1849
E12000008,South East,region,2022-01-22,2883
E12000008,South East,region,2022-01-21,2346
E12000008,South East,region,2022-01-20,2880
E12000008,South East,region,2022-01-19,2056
E12000008,South East,region,2022-01-18,2252
E12000008,South East,region,2022-01-17,2203
E12000008,South East,region,2022-01-16,2604
E12000008,South East,region,2022-01-15,4124
E12000008,South East,region,2022-01-14,2694
E12000008,South East,region,2022-01-13,2928
E12000008,South East,region,2022-01-12,2589
E12000008,South East,region,2022-01-11,2232
E12000008,South East,region,2022-01-10,2437
E12000008,South East,region,2022-01-09,2984
E12000008,South East,region,2022-01-08,4451
E12000008,South East,region,2022-01-07,2838
E12000008,South East,region,2022-01-06,3246
E12000008,South East,region,2022-01-05,3034
E12000008,South East,region,2022-01-04,3002
E12000008,South East,region,2022-01-03,3076
E12000008,South East,region,2022-01-02,1773
E12000008,South East,region,2022-01-01,348
E12000008,South East,region,2021-12-31,2390
E12000008,South East,region,2021-12-30,4444
E12000008,South East,region,2021-12-29,4187
E12000008,South East,region,2021-12-28,3472
E12000008,South East,region,2021-12-27,2385
E12000008,South East,region,2021-12-26,128
E12000008,South East,region,2021-12-25,27
E12000008,South East,region,2021-12-24,1263
E12000008,South East,region,2021-12-23,4172
E12000008,South East,region,2021-12-22,4947
E12000008,South East,region,2021-12-21,4540
E12000008,South East,region,2021-12-20,4304
E12000008,South East,region,2021-12-19,4426
E12000008,South East,region,2021-12-18,5086
E12000008,South East,region,2021-12-17,4195
E12000008,South East,region,2021-12-16,4018
E12000008,South East,region,2021-12-15,3588
E12000008,South East,region,2021-12-14,2874
E12000008,South East,region,2021-12-13,2845
E12000008,South East,region,2021-12-12,2730
E12000008,South East,region,2021-12-11,3621
E12000008,South East,region,2021-12-10,2583
E12000008,South East,region,2021-12-09,3140
E12000008,South East,region,2021-12-08,2464
E12000008,South East,region,2021-12-07,2566
E12000008,South East,region,2021-12-06,2273
E12000008,South East,region,2021-12-05,2409
E12000008,South East,region,2021-12-04,3995
E12000008,South East,region,2021-12-03,2944
E12000008,South East,region,2021-12-02,2815
E12000008,South East,region,2021-12-01,2857
E12000008,South East,region,2021-11-30,3053
E12000008,South East,region,2021-11-29,2762
E12000008,South East,region,2021-11-28,2687
E12000008,South East,region,2021-11-27,3414
E12000008,South East,region,2021-11-26,2805
E12000008,South East,region,2021-11-25,2896
E12000008,South East,region,2021-11-24,2632
E12000008,South East,region,2021-11-23,3352
E12000008,South East,region,2021-11-22,2403
E12000008,South East,region,2021-11-21,1884
E12000008,South East,region,2021-11-20,3809
E12000008,South East,region,2021-11-19,3918
E12000008,South East,region,2021-11-18,3999
E12000008,South East,region,2021-11-17,3887
E12000008,South East,region,2021-11-16,3956
E12000008,South East,region,2021-11-15,3877
