areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000009,South West,region,2022-06-05,38
E12000009,South West,region,2022-06-04,86
E12000009,South West,region,2022-06-03,25
E12000009,South West,region,2022-06-02,41
E12000009,South West,region,2022-06-01,167
E12000009,South West,region,2022-05-31,209
E12000009,South West,region,2022-05-30,159
E12000009,South West,region,2022-05-29,81
E12000009,South West,region,2022-05-28,185
E12000009,South West,region,2022-05-27,115
E12000009,South West,region,2022-05-26,154
E12000009,South West,region,2022-05-25,183
E12000009,South West,region,2022-05-24,177
E12000009,South West,region,2022-05-23,140
E12000009,South West,region,2022-05-22,95
E12000009,South West,region,2022-05-21,220
E12000009,South West,region,2022-05-20,127
E12000009,South West,region,2022-05-19,180
E12000009,South West,region,2022-05-18,218
E12000009,South West,region,2022-05-17,198
E12000009,South West,region,2022-05-16,117
E12000009,South West,region,2022-05-15,153
E12000009,South West,region,2022-05-14,336
E12000009,South West,region,2022-05-13,129
E12000009,South West,region,2022-05-12,197
E12000009,South West,region,2022-05-11,198
E12000009,South West,region,2022-05-10,250
E12000009,South West,region,2022-05-09,134
E12000009,South West,region,2022-05-08,128
E12000009,South West,region,2022-05-07,297
E12000009,South West,region,2022-05-06,185
E12000009,South West,region,2022-05-05,189
E12000009,South West,region,2022-05-04,309
E12000009,South West,region,2022-05-03,221
E12000009,South West,region,2022-05-02,81
E12000009,South West,region,2022-05-01,133
E12000009,South West,region,2022-04-30,424
E12000009,South West,region,2022-04-29,207
E12000009,South West,region,2022-04-28,262
E12000009,South West,region,2022-04-27,333
E12000009,South West,region,2022-04-26,257
E12000009,South West,region,2022-04-25,156
E12000009,South West,region,2022-04-24,185
E12000009,South West,region,2022-04-23,481
E12000009,South West,region,2022-04-22,344
E12000009,South West,region,2022-04-21,403
E12000009,South West,region,2022-04-20,349
E12000009,South West,region,2022-04-19,480
E12000009,South West,region,2022-04-18,98
E12000009,South West,region,2022-04-17,38
E12000009,South West,region,2022-04-16,285
E12000009,South West,region,2022-04-15,152
E12000009,South West,region,2022-04-14,410
E12000009,South West,region,2022-04-13,529
E12000009,South West,region,2022-04-12,381
E12000009,South West,region,2022-04-11,345
E12000009,South West,region,2022-04-10,197
E12000009,South West,region,2022-04-09,571
E12000009,South West,region,2022-04-08,233
E12000009,South West,region,2022-04-07,342
E12000009,South West,region,2022-04-06,333
E12000009,South West,region,2022-04-05,261
E12000009,South West,region,2022-04-04,236
E12000009,South West,region,2022-04-03,137
E12000009,South West,region,2022-04-02,408
E12000009,South West,region,2022-04-01,196
E12000009,South West,region,2022-03-31,369
E12000009,South West,region,2022-03-30,281
E12000009,South West,region,2022-03-29,264
E12000009,South West,region,2022-03-28,217
E12000009,South West,region,2022-03-27,130
E12000009,South West,region,2022-03-26,372
E12000009,South West,region,2022-03-25,245
E12000009,South West,region,2022-03-24,321
E12000009,South West,region,2022-03-23,383
E12000009,South West,region,2022-03-22,306
E12000009,South West,region,2022-03-21,395
E12000009,South West,region,2022-03-20,160
E12000009,South West,region,2022-03-19,422
E12000009,South West,region,2022-03-18,342
E12000009,South West,region,2022-03-17,409
E12000009,South West,region,2022-03-16,379
E12000009,South West,region,2022-03-15,387
E12000009,South West,region,2022-03-14,351
E12000009,South West,region,2022-03-13,176
E12000009,South West,region,2022-03-12,491
E12000009,South West,region,2022-03-11,369
E12000009,South West,region,2022-03-10,404
E12000009,South West,region,2022-03-09,426
E12000009,South West,region,2022-03-08,380
E12000009,South West,region,2022-03-07,351
E12000009,South West,region,2022-03-06,162
E12000009,South West,region,2022-03-05,447
E12000009,South West,region,2022-03-04,460
E12000009,South West,region,2022-03-03,507
E12000009,South West,region,2022-03-02,534
E12000009,South West,region,2022-03-01,495
E12000009,South West,region,2022-02-28,335
E12000009,South West,region,2022-02-27,198
E12000009,South West,region,2022-02-26,521
E12000009,South West,region,2022-02-25,459
E12000009,South West,region,2022-02-24,574
E12000009,South West,region,2022-02-23,615
E12000009,South West,region,2022-02-22,622
E12000009,South West,region,2022-02-21,475
E12000009,South West,region,2022-02-20,208
E12000009,South West,region,2022-02-19,713
E12000009,South West,region,2022-02-18,169
E12000009,South West,region,2022-02-17,845
E12000009,South West,region,2022-02-16,724
E12000009,South West,region,2022-02-15,701
E12000009,South West,region,2022-02-14,681
E12000009,South West,region,2022-02-13,355
E12000009,South West,region,2022-02-12,1054
E12000009,South West,region,2022-02-11,723
E12000009,South West,region,2022-02-10,833
E12000009,South West,region,2022-02-09,840
E12000009,South West,region,2022-02-08,789
E12000009,South West,region,2022-02-07,701
E12000009,South West,region,2022-02-06,484
E12000009,South West,region,2022-02-05,989
E12000009,South West,region,2022-02-04,716
E12000009,South West,region,2022-02-03,1014
E12000009,South West,region,2022-02-02,871
E12000009,South West,region,2022-02-01,890
E12000009,South West,region,2022-01-31,717
E12000009,South West,region,2022-01-30,992
E12000009,South West,region,2022-01-29,1629
E12000009,South West,region,2022-01-28,1038
E12000009,South West,region,2022-01-27,1061
E12000009,South West,region,2022-01-26,1133
E12000009,South West,region,2022-01-25,974
E12000009,South West,region,2022-01-24,797
E12000009,South West,region,2022-01-23,1116
E12000009,South West,region,2022-01-22,2018
E12000009,South West,region,2022-01-21,1168
E12000009,South West,region,2022-01-20,1251
E12000009,South West,region,2022-01-19,1160
E12000009,South West,region,2022-01-18,1343
E12000009,South West,region,2022-01-17,1018
E12000009,South West,region,2022-01-16,1690
E12000009,South West,region,2022-01-15,2919
E12000009,South West,region,2022-01-14,1252
E12000009,South West,region,2022-01-13,1686
E12000009,South West,region,2022-01-12,1595
E12000009,South West,region,2022-01-11,1322
E12000009,South West,region,2022-01-10,988
E12000009,South West,region,2022-01-09,2400
E12000009,South West,region,2022-01-08,2942
E12000009,South West,region,2022-01-07,1610
E12000009,South West,region,2022-01-06,1991
E12000009,South West,region,2022-01-05,2184
E12000009,South West,region,2022-01-04,2040
E12000009,South West,region,2022-01-03,1906
E12000009,South West,region,2022-01-02,904
E12000009,South West,region,2022-01-01,106
E12000009,South West,region,2021-12-31,1254
E12000009,South West,region,2021-12-30,3046
E12000009,South West,region,2021-12-29,3030
E12000009,South West,region,2021-12-28,2303
E12000009,South West,region,2021-12-27,1467
E12000009,South West,region,2021-12-26,56
E12000009,South West,region,2021-12-25,2
E12000009,South West,region,2021-12-24,563
E12000009,South West,region,2021-12-23,2467
E12000009,South West,region,2021-12-22,3623
E12000009,South West,region,2021-12-21,3214
E12000009,South West,region,2021-12-20,2571
E12000009,South West,region,2021-12-19,3235
E12000009,South West,region,2021-12-18,2850
E12000009,South West,region,2021-12-17,2424
E12000009,South West,region,2021-12-16,2369
E12000009,South West,region,2021-12-15,1792
E12000009,South West,region,2021-12-14,2187
E12000009,South West,region,2021-12-13,1729
E12000009,South West,region,2021-12-12,2031
E12000009,South West,region,2021-12-11,1659
E12000009,South West,region,2021-12-10,1569
E12000009,South West,region,2021-12-09,1468
E12000009,South West,region,2021-12-08,1608
E12000009,South West,region,2021-12-07,1401
E12000009,South West,region,2021-12-06,1376
E12000009,South West,region,2021-12-05,1924
E12000009,South West,region,2021-12-04,1913
E12000009,South West,region,2021-12-03,1785
E12000009,South West,region,2021-12-02,1878
E12000009,South West,region,2021-12-01,1836
E12000009,South West,region,2021-11-30,1883
E12000009,South West,region,2021-11-29,1497
E12000009,South West,region,2021-11-28,1319
E12000009,South West,region,2021-11-27,1850
E12000009,South West,region,2021-11-26,1663
E12000009,South West,region,2021-11-25,2378
E12000009,South West,region,2021-11-24,2298
E12000009,South West,region,2021-11-23,2315
E12000009,South West,region,2021-11-22,1860
E12000009,South West,region,2021-11-21,1736
E12000009,South West,region,2021-11-20,1671
E12000009,South West,region,2021-11-19,2165
E12000009,South West,region,2021-11-18,3490
E12000009,South West,region,2021-11-17,3047
E12000009,South West,region,2021-11-16,3185
E12000009,South West,region,2021-11-15,3824
E12000009,South West,region,2021-11-14,2180
E12000009,South West,region,2021-11-13,2834
E12000009,South West,region,2021-11-12,2682
E12000009,South West,region,2021-11-11,3511
E12000009,South West,region,2021-11-10,3522
E12000009,South West,region,2021-11-09,4094
E12000009,South West,region,2021-11-08,3445
E12000009,South West,region,2021-11-07,2512
E12000009,South West,region,2021-11-06,2683
E12000009,South West,region,2021-11-05,3602
E12000009,South West,region,2021-11-04,4622
E12000009,South West,region,2021-11-03,4527
E12000009,South West,region,2021-11-02,3586
E12000009,South West,region,2021-11-01,3318
E12000009,South West,region,2021-10-31,2068
E12000009,South West,region,2021-10-30,3442
E12000009,South West,region,2021-10-29,5113
E12000009,South West,region,2021-10-28,5935
E12000009,South West,region,2021-10-27,4813
E12000009,South West,region,2021-10-26,4452
E12000009,South West,region,2021-10-25,3491
E12000009,South West,region,2021-10-24,1181
E12000009,South West,region,2021-10-23,2324
E12000009,South West,region,2021-10-22,2382
E12000009,South West,region,2021-10-21,2687
E12000009,South West,region,2021-10-20,3437
E12000009,South West,region,2021-10-19,3685
E12000009,South West,region,2021-10-18,2762
E12000009,South West,region,2021-10-17,658
E12000009,South West,region,2021-10-16,1259
E12000009,South West,region,2021-10-15,3437
E12000009,South West,region,2021-10-14,2611
E12000009,South West,region,2021-10-13,2490
E12000009,South West,region,2021-10-12,3109
E12000009,South West,region,2021-10-11,2141
E12000009,South West,region,2021-10-10,829
E12000009,South West,region,2021-10-09,1070
E12000009,South West,region,2021-10-08,2449
E12000009,South West,region,2021-10-07,2515
E12000009,South West,region,2021-10-06,2058
E12000009,South West,region,2021-10-05,2552
E12000009,South West,region,2021-10-04,2046
E12000009,South West,region,2021-10-03,799
E12000009,South West,region,2021-10-02,1538
E12000009,South West,region,2021-10-01,2891
E12000009,South West,region,2021-09-30,2884
E12000009,South West,region,2021-09-29,2532
E12000009,South West,region,2021-09-28,2342
E12000009,South West,region,2021-09-27,1721
E12000009,South West,region,2021-09-26,742
E12000009,South West,region,2021-09-25,1159
E12000009,South West,region,2021-09-24,1484
E12000009,South West,region,2021-09-23,1687
E12000009,South West,region,2021-09-22,1157
E12000009,South West,region,2021-09-21,1657
E12000009,South West,region,2021-09-20,1081
E12000009,South West,region,2021-09-19,784
E12000009,South West,region,2021-09-18,1708
E12000009,South West,region,2021-09-17,1396
E12000009,South West,region,2021-09-16,1567
E12000009,South West,region,2021-09-15,1790
E12000009,South West,region,2021-09-14,1355
E12000009,South West,region,2021-09-13,1109
E12000009,South West,region,2021-09-12,1014
E12000009,South West,region,2021-09-11,3001
E12000009,South West,region,2021-09-10,1548
E12000009,South West,region,2021-09-09,2138
E12000009,South West,region,2021-09-08,1881
E12000009,South West,region,2021-09-07,2234
E12000009,South West,region,2021-09-06,1802
E12000009,South West,region,2021-09-05,1380
E12000009,South West,region,2021-09-04,3117
E12000009,South West,region,2021-09-03,2478
E12000009,South West,region,2021-09-02,3595
