areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByPublishDate
W92000004,Wales,nation,2021-11-24,379
W92000004,Wales,nation,2021-11-23,604
W92000004,Wales,nation,2021-11-22,358
W92000004,Wales,nation,2021-11-21,845
W92000004,Wales,nation,2021-11-20,1019
W92000004,Wales,nation,2021-11-19,481
W92000004,Wales,nation,2021-11-18,838
W92000004,Wales,nation,2021-11-17,489
W92000004,Wales,nation,2021-11-16,966
W92000004,Wales,nation,2021-11-15,888
W92000004,Wales,nation,2021-11-14,637
W92000004,Wales,nation,2021-11-13,1721
W92000004,Wales,nation,2021-11-12,780
W92000004,Wales,nation,2021-11-11,554
W92000004,Wales,nation,2021-11-10,742
W92000004,Wales,nation,2021-11-09,858
W92000004,Wales,nation,2021-11-08,918
W92000004,Wales,nation,2021-11-07,1127
W92000004,Wales,nation,2021-11-06,1703
W92000004,Wales,nation,2021-11-05,776
W92000004,Wales,nation,2021-11-04,675
W92000004,Wales,nation,2021-11-03,720
W92000004,Wales,nation,2021-11-02,1054
W92000004,Wales,nation,2021-11-01,992
W92000004,Wales,nation,2021-10-31,2661
W92000004,Wales,nation,2021-10-30,2289
W92000004,Wales,nation,2021-10-29,1781
W92000004,Wales,nation,2021-10-28,1612
W92000004,Wales,nation,2021-10-27,1699
W92000004,Wales,nation,2021-10-26,2440
W92000004,Wales,nation,2021-10-25,3266
W92000004,Wales,nation,2021-10-24,2831
W92000004,Wales,nation,2021-10-23,3921
W92000004,Wales,nation,2021-10-22,1238
W92000004,Wales,nation,2021-10-21,1142
W92000004,Wales,nation,2021-10-20,1282
W92000004,Wales,nation,2021-10-19,1161
W92000004,Wales,nation,2021-10-18,1322
W92000004,Wales,nation,2021-10-17,4753
W92000004,Wales,nation,2021-10-16,5293
W92000004,Wales,nation,2021-10-15,1412
W92000004,Wales,nation,2021-10-14,1098
W92000004,Wales,nation,2021-10-13,1026
W92000004,Wales,nation,2021-10-12,1440
W92000004,Wales,nation,2021-10-11,1077
W92000004,Wales,nation,2021-10-10,5556
W92000004,Wales,nation,2021-10-09,5238
W92000004,Wales,nation,2021-10-08,741
W92000004,Wales,nation,2021-10-07,1413
W92000004,Wales,nation,2021-10-06,2124
W92000004,Wales,nation,2021-10-05,488
W92000004,Wales,nation,2021-10-04,803
W92000004,Wales,nation,2021-10-03,3839
W92000004,Wales,nation,2021-10-02,3391
W92000004,Wales,nation,2021-10-01,393
W92000004,Wales,nation,2021-09-30,395
W92000004,Wales,nation,2021-09-29,370
W92000004,Wales,nation,2021-09-28,449
W92000004,Wales,nation,2021-09-27,510
W92000004,Wales,nation,2021-09-26,1864
W92000004,Wales,nation,2021-09-25,1756
W92000004,Wales,nation,2021-09-24,653
W92000004,Wales,nation,2021-09-23,402
W92000004,Wales,nation,2021-09-22,652
W92000004,Wales,nation,2021-09-21,564
W92000004,Wales,nation,2021-09-20,489
W92000004,Wales,nation,2021-09-19,374
W92000004,Wales,nation,2021-09-18,823
W92000004,Wales,nation,2021-09-17,1173
W92000004,Wales,nation,2021-09-16,834
W92000004,Wales,nation,2021-09-15,709
W92000004,Wales,nation,2021-09-14,0
W92000004,Wales,nation,2021-09-13,722
W92000004,Wales,nation,2021-09-12,410
W92000004,Wales,nation,2021-09-11,684
W92000004,Wales,nation,2021-09-10,1045
W92000004,Wales,nation,2021-09-09,870
W92000004,Wales,nation,2021-09-08,770
W92000004,Wales,nation,2021-09-07,1043
W92000004,Wales,nation,2021-09-06,793
W92000004,Wales,nation,2021-09-05,668
W92000004,Wales,nation,2021-09-04,1302
W92000004,Wales,nation,2021-09-03,1679
W92000004,Wales,nation,2021-09-02,2139
W92000004,Wales,nation,2021-09-01,1942
W92000004,Wales,nation,2021-08-31,1303
W92000004,Wales,nation,2021-08-30,48
W92000004,Wales,nation,2021-08-29,778
W92000004,Wales,nation,2021-08-28,883
W92000004,Wales,nation,2021-08-27,1777
W92000004,Wales,nation,2021-08-26,2268
W92000004,Wales,nation,2021-08-25,3629
W92000004,Wales,nation,2021-08-24,4118
W92000004,Wales,nation,2021-08-23,3680
W92000004,Wales,nation,2021-08-22,1061
W92000004,Wales,nation,2021-08-21,3736
W92000004,Wales,nation,2021-08-20,3596
W92000004,Wales,nation,2021-08-19,3755
W92000004,Wales,nation,2021-08-18,3260
W92000004,Wales,nation,2021-08-17,3497
W92000004,Wales,nation,2021-08-16,1955
W92000004,Wales,nation,2021-08-15,1185
W92000004,Wales,nation,2021-08-14,1187
W92000004,Wales,nation,2021-08-13,1443
W92000004,Wales,nation,2021-08-12,1483
W92000004,Wales,nation,2021-08-11,1911
W92000004,Wales,nation,2021-08-10,1942
W92000004,Wales,nation,2021-08-09,1291
W92000004,Wales,nation,2021-08-08,1274
W92000004,Wales,nation,2021-08-07,1549
W92000004,Wales,nation,2021-08-06,1311
W92000004,Wales,nation,2021-08-05,933
W92000004,Wales,nation,2021-08-04,817
W92000004,Wales,nation,2021-08-03,989
W92000004,Wales,nation,2021-08-02,881
W92000004,Wales,nation,2021-08-01,594
W92000004,Wales,nation,2021-07-31,1007
W92000004,Wales,nation,2021-07-30,989
W92000004,Wales,nation,2021-07-29,1355
W92000004,Wales,nation,2021-07-28,1154
W92000004,Wales,nation,2021-07-27,1205
W92000004,Wales,nation,2021-07-26,1071
W92000004,Wales,nation,2021-07-25,923
