areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000005,West Midlands,region,2021-11-24,1848
E12000005,West Midlands,region,2021-11-23,1759
E12000005,West Midlands,region,2021-11-22,1719
E12000005,West Midlands,region,2021-11-21,983
E12000005,West Midlands,region,2021-11-20,2434
E12000005,West Midlands,region,2021-11-19,2329
E12000005,West Midlands,region,2021-11-18,2157
E12000005,West Midlands,region,2021-11-17,3062
E12000005,West Midlands,region,2021-11-16,2103
E12000005,West Midlands,region,2021-11-15,2421
E12000005,West Midlands,region,2021-11-14,1733
E12000005,West Midlands,region,2021-11-13,2935
E12000005,West Midlands,region,2021-11-12,3238
E12000005,West Midlands,region,2021-11-11,3480
E12000005,West Midlands,region,2021-11-10,4345
E12000005,West Midlands,region,2021-11-09,4395
E12000005,West Midlands,region,2021-11-08,3061
E12000005,West Midlands,region,2021-11-07,2692
E12000005,West Midlands,region,2021-11-06,3276
E12000005,West Midlands,region,2021-11-05,4066
E12000005,West Midlands,region,2021-11-04,4697
E12000005,West Midlands,region,2021-11-03,4250
E12000005,West Midlands,region,2021-11-02,4253
E12000005,West Midlands,region,2021-11-01,3851
E12000005,West Midlands,region,2021-10-31,2626
E12000005,West Midlands,region,2021-10-30,2987
E12000005,West Midlands,region,2021-10-29,3276
E12000005,West Midlands,region,2021-10-28,3383
E12000005,West Midlands,region,2021-10-27,3998
E12000005,West Midlands,region,2021-10-26,3228
E12000005,West Midlands,region,2021-10-25,1792
E12000005,West Midlands,region,2021-10-24,1557
E12000005,West Midlands,region,2021-10-23,2623
E12000005,West Midlands,region,2021-10-22,4157
E12000005,West Midlands,region,2021-10-21,4420
E12000005,West Midlands,region,2021-10-20,4574
E12000005,West Midlands,region,2021-10-19,4224
E12000005,West Midlands,region,2021-10-18,4597
E12000005,West Midlands,region,2021-10-17,1114
E12000005,West Midlands,region,2021-10-16,2126
E12000005,West Midlands,region,2021-10-15,3673
E12000005,West Midlands,region,2021-10-14,4278
E12000005,West Midlands,region,2021-10-13,4103
E12000005,West Midlands,region,2021-10-12,3927
E12000005,West Midlands,region,2021-10-11,3976
E12000005,West Midlands,region,2021-10-10,1150
E12000005,West Midlands,region,2021-10-09,2725
E12000005,West Midlands,region,2021-10-08,3361
E12000005,West Midlands,region,2021-10-07,3586
E12000005,West Midlands,region,2021-10-06,3422
E12000005,West Midlands,region,2021-10-05,3638
E12000005,West Midlands,region,2021-10-04,2797
E12000005,West Midlands,region,2021-10-03,1015
E12000005,West Midlands,region,2021-10-02,2191
E12000005,West Midlands,region,2021-10-01,3231
E12000005,West Midlands,region,2021-09-30,2474
E12000005,West Midlands,region,2021-09-29,2664
E12000005,West Midlands,region,2021-09-28,2524
E12000005,West Midlands,region,2021-09-27,2024
E12000005,West Midlands,region,2021-09-26,873
E12000005,West Midlands,region,2021-09-25,1984
E12000005,West Midlands,region,2021-09-24,1659
E12000005,West Midlands,region,2021-09-23,1647
E12000005,West Midlands,region,2021-09-22,1825
E12000005,West Midlands,region,2021-09-21,1708
E12000005,West Midlands,region,2021-09-20,1452
E12000005,West Midlands,region,2021-09-19,1205
E12000005,West Midlands,region,2021-09-18,2584
E12000005,West Midlands,region,2021-09-17,1746
E12000005,West Midlands,region,2021-09-16,2230
