areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000005,West Midlands,region,2022-05-31,193
E12000005,West Midlands,region,2022-05-30,191
E12000005,West Midlands,region,2022-05-29,102
E12000005,West Midlands,region,2022-05-28,224
E12000005,West Midlands,region,2022-05-27,175
E12000005,West Midlands,region,2022-05-26,155
E12000005,West Midlands,region,2022-05-25,132
E12000005,West Midlands,region,2022-05-24,158
E12000005,West Midlands,region,2022-05-23,160
E12000005,West Midlands,region,2022-05-22,137
E12000005,West Midlands,region,2022-05-21,266
E12000005,West Midlands,region,2022-05-20,179
E12000005,West Midlands,region,2022-05-19,230
E12000005,West Midlands,region,2022-05-18,198
E12000005,West Midlands,region,2022-05-17,209
E12000005,West Midlands,region,2022-05-16,211
E12000005,West Midlands,region,2022-05-15,142
E12000005,West Midlands,region,2022-05-14,371
E12000005,West Midlands,region,2022-05-13,259
E12000005,West Midlands,region,2022-05-12,223
E12000005,West Midlands,region,2022-05-11,256
E12000005,West Midlands,region,2022-05-10,255
E12000005,West Midlands,region,2022-05-09,258
E12000005,West Midlands,region,2022-05-08,196
E12000005,West Midlands,region,2022-05-07,462
E12000005,West Midlands,region,2022-05-06,314
E12000005,West Midlands,region,2022-05-05,312
E12000005,West Midlands,region,2022-05-04,303
E12000005,West Midlands,region,2022-05-03,222
E12000005,West Midlands,region,2022-05-02,52
E12000005,West Midlands,region,2022-05-01,183
E12000005,West Midlands,region,2022-04-30,458
E12000005,West Midlands,region,2022-04-29,316
E12000005,West Midlands,region,2022-04-28,330
E12000005,West Midlands,region,2022-04-27,306
E12000005,West Midlands,region,2022-04-26,265
E12000005,West Midlands,region,2022-04-25,243
E12000005,West Midlands,region,2022-04-24,272
E12000005,West Midlands,region,2022-04-23,493
E12000005,West Midlands,region,2022-04-22,400
E12000005,West Midlands,region,2022-04-21,483
E12000005,West Midlands,region,2022-04-20,449
E12000005,West Midlands,region,2022-04-19,473
E12000005,West Midlands,region,2022-04-18,127
E12000005,West Midlands,region,2022-04-17,98
E12000005,West Midlands,region,2022-04-16,389
E12000005,West Midlands,region,2022-04-15,164
E12000005,West Midlands,region,2022-04-14,491
E12000005,West Midlands,region,2022-04-13,430
E12000005,West Midlands,region,2022-04-12,368
E12000005,West Midlands,region,2022-04-11,442
E12000005,West Midlands,region,2022-04-10,338
E12000005,West Midlands,region,2022-04-09,536
E12000005,West Midlands,region,2022-04-08,323
E12000005,West Midlands,region,2022-04-07,309
E12000005,West Midlands,region,2022-04-06,352
E12000005,West Midlands,region,2022-04-05,294
E12000005,West Midlands,region,2022-04-04,254
E12000005,West Midlands,region,2022-04-03,220
E12000005,West Midlands,region,2022-04-02,427
E12000005,West Midlands,region,2022-04-01,309
E12000005,West Midlands,region,2022-03-31,355
E12000005,West Midlands,region,2022-03-30,364
E12000005,West Midlands,region,2022-03-29,323
E12000005,West Midlands,region,2022-03-28,298
E12000005,West Midlands,region,2022-03-27,173
E12000005,West Midlands,region,2022-03-26,468
E12000005,West Midlands,region,2022-03-25,370
E12000005,West Midlands,region,2022-03-24,402
E12000005,West Midlands,region,2022-03-23,362
E12000005,West Midlands,region,2022-03-22,290
E12000005,West Midlands,region,2022-03-21,422
E12000005,West Midlands,region,2022-03-20,215
E12000005,West Midlands,region,2022-03-19,516
E12000005,West Midlands,region,2022-03-18,402
E12000005,West Midlands,region,2022-03-17,477
E12000005,West Midlands,region,2022-03-16,371
E12000005,West Midlands,region,2022-03-15,383
E12000005,West Midlands,region,2022-03-14,394
E12000005,West Midlands,region,2022-03-13,244
E12000005,West Midlands,region,2022-03-12,577
E12000005,West Midlands,region,2022-03-11,491
E12000005,West Midlands,region,2022-03-10,544
E12000005,West Midlands,region,2022-03-09,590
E12000005,West Midlands,region,2022-03-08,484
E12000005,West Midlands,region,2022-03-07,426
E12000005,West Midlands,region,2022-03-06,221
E12000005,West Midlands,region,2022-03-05,482
E12000005,West Midlands,region,2022-03-04,624
E12000005,West Midlands,region,2022-03-03,771
E12000005,West Midlands,region,2022-03-02,530
E12000005,West Midlands,region,2022-03-01,528
E12000005,West Midlands,region,2022-02-28,583
E12000005,West Midlands,region,2022-02-27,272
E12000005,West Midlands,region,2022-02-26,628
E12000005,West Midlands,region,2022-02-25,605
E12000005,West Midlands,region,2022-02-24,783
E12000005,West Midlands,region,2022-02-23,677
E12000005,West Midlands,region,2022-02-22,597
E12000005,West Midlands,region,2022-02-21,629
E12000005,West Midlands,region,2022-02-20,389
E12000005,West Midlands,region,2022-02-19,786
E12000005,West Midlands,region,2022-02-18,708
E12000005,West Midlands,region,2022-02-17,734
E12000005,West Midlands,region,2022-02-16,683
E12000005,West Midlands,region,2022-02-15,644
E12000005,West Midlands,region,2022-02-14,642
E12000005,West Midlands,region,2022-02-13,402
E12000005,West Midlands,region,2022-02-12,1051
E12000005,West Midlands,region,2022-02-11,942
E12000005,West Midlands,region,2022-02-10,923
E12000005,West Midlands,region,2022-02-09,955
E12000005,West Midlands,region,2022-02-08,812
E12000005,West Midlands,region,2022-02-07,767
E12000005,West Midlands,region,2022-02-06,431
E12000005,West Midlands,region,2022-02-05,1008
E12000005,West Midlands,region,2022-02-04,851
E12000005,West Midlands,region,2022-02-03,1202
E12000005,West Midlands,region,2022-02-02,1103
E12000005,West Midlands,region,2022-02-01,1044
E12000005,West Midlands,region,2022-01-31,1119
E12000005,West Midlands,region,2022-01-30,1026
E12000005,West Midlands,region,2022-01-29,1518
E12000005,West Midlands,region,2022-01-28,1737
E12000005,West Midlands,region,2022-01-27,1650
E12000005,West Midlands,region,2022-01-26,1343
E12000005,West Midlands,region,2022-01-25,1310
E12000005,West Midlands,region,2022-01-24,1216
E12000005,West Midlands,region,2022-01-23,935
E12000005,West Midlands,region,2022-01-22,1727
E12000005,West Midlands,region,2022-01-21,1696
E12000005,West Midlands,region,2022-01-20,1682
E12000005,West Midlands,region,2022-01-19,1517
E12000005,West Midlands,region,2022-01-18,1501
E12000005,West Midlands,region,2022-01-17,1524
E12000005,West Midlands,region,2022-01-16,1449
E12000005,West Midlands,region,2022-01-15,2165
E12000005,West Midlands,region,2022-01-14,1897
E12000005,West Midlands,region,2022-01-13,1850
E12000005,West Midlands,region,2022-01-12,1785
E12000005,West Midlands,region,2022-01-11,1552
E12000005,West Midlands,region,2022-01-10,1499
E12000005,West Midlands,region,2022-01-09,1764
E12000005,West Midlands,region,2022-01-08,2698
E12000005,West Midlands,region,2022-01-07,2141
E12000005,West Midlands,region,2022-01-06,2232
E12000005,West Midlands,region,2022-01-05,2309
E12000005,West Midlands,region,2022-01-04,2172
E12000005,West Midlands,region,2022-01-03,1602
E12000005,West Midlands,region,2022-01-02,1301
E12000005,West Midlands,region,2022-01-01,176
E12000005,West Midlands,region,2021-12-31,1281
E12000005,West Midlands,region,2021-12-30,3143
E12000005,West Midlands,region,2021-12-29,2976
E12000005,West Midlands,region,2021-12-28,2120
E12000005,West Midlands,region,2021-12-27,1617
E12000005,West Midlands,region,2021-12-26,102
E12000005,West Midlands,region,2021-12-25,39
E12000005,West Midlands,region,2021-12-24,1037
E12000005,West Midlands,region,2021-12-23,2513
E12000005,West Midlands,region,2021-12-22,3355
E12000005,West Midlands,region,2021-12-21,3349
E12000005,West Midlands,region,2021-12-20,3479
E12000005,West Midlands,region,2021-12-19,3166
