areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2021-06-12,173,468784
overview,United Kingdom,K02000001,2021-06-11,176,468611
overview,United Kingdom,K02000001,2021-06-10,201,468435
overview,United Kingdom,K02000001,2021-06-09,186,468234
overview,United Kingdom,K02000001,2021-06-08,188,468048
overview,United Kingdom,K02000001,2021-06-07,173,467860
overview,United Kingdom,K02000001,2021-06-06,153,467687
overview,United Kingdom,K02000001,2021-06-05,123,467534
overview,United Kingdom,K02000001,2021-06-04,123,467411
overview,United Kingdom,K02000001,2021-06-03,123,467288
overview,United Kingdom,K02000001,2021-06-02,127,467165
overview,United Kingdom,K02000001,2021-06-01,154,467038
overview,United Kingdom,K02000001,2021-05-31,123,466884
overview,United Kingdom,K02000001,2021-05-30,111,466761
overview,United Kingdom,K02000001,2021-05-29,101,466650
overview,United Kingdom,K02000001,2021-05-28,136,466549
overview,United Kingdom,K02000001,2021-05-27,124,466413
overview,United Kingdom,K02000001,2021-05-26,127,466289
overview,United Kingdom,K02000001,2021-05-25,132,466162
overview,United Kingdom,K02000001,2021-05-24,134,466030
overview,United Kingdom,K02000001,2021-05-23,114,465896
overview,United Kingdom,K02000001,2021-05-22,120,465782
overview,United Kingdom,K02000001,2021-05-21,119,465662
overview,United Kingdom,K02000001,2021-05-20,130,465543
overview,United Kingdom,K02000001,2021-05-19,125,465413
overview,United Kingdom,K02000001,2021-05-18,125,465288
overview,United Kingdom,K02000001,2021-05-17,101,465163
overview,United Kingdom,K02000001,2021-05-16,78,465062
overview,United Kingdom,K02000001,2021-05-15,90,464984
overview,United Kingdom,K02000001,2021-05-14,93,464894
overview,United Kingdom,K02000001,2021-05-13,103,464801
overview,United Kingdom,K02000001,2021-05-12,117,464698
overview,United Kingdom,K02000001,2021-05-11,105,464581
overview,United Kingdom,K02000001,2021-05-10,103,464476
overview,United Kingdom,K02000001,2021-05-09,102,464373
overview,United Kingdom,K02000001,2021-05-08,109,464271
overview,United Kingdom,K02000001,2021-05-07,102,464162
overview,United Kingdom,K02000001,2021-05-06,120,464060
overview,United Kingdom,K02000001,2021-05-05,117,463940
overview,United Kingdom,K02000001,2021-05-04,101,463823
overview,United Kingdom,K02000001,2021-05-03,123,463722
overview,United Kingdom,K02000001,2021-05-02,119,463599
overview,United Kingdom,K02000001,2021-05-01,100,463480
overview,United Kingdom,K02000001,2021-04-30,110,463380
overview,United Kingdom,K02000001,2021-04-29,100,463270
overview,United Kingdom,K02000001,2021-04-28,108,463170
overview,United Kingdom,K02000001,2021-04-27,166,463062
overview,United Kingdom,K02000001,2021-04-26,132,462896
overview,United Kingdom,K02000001,2021-04-25,138,462764
overview,United Kingdom,K02000001,2021-04-24,128,462626
overview,United Kingdom,K02000001,2021-04-23,155,462498
overview,United Kingdom,K02000001,2021-04-22,119,462343
overview,United Kingdom,K02000001,2021-04-21,171,462224
overview,United Kingdom,K02000001,2021-04-20,134,462053
overview,United Kingdom,K02000001,2021-04-19,177,461919
overview,United Kingdom,K02000001,2021-04-18,141,461742
overview,United Kingdom,K02000001,2021-04-17,158,461601
overview,United Kingdom,K02000001,2021-04-16,157,461443
overview,United Kingdom,K02000001,2021-04-15,161,461286
overview,United Kingdom,K02000001,2021-04-14,196,461125
overview,United Kingdom,K02000001,2021-04-13,181,460929
overview,United Kingdom,K02000001,2021-04-12,205,460748
overview,United Kingdom,K02000001,2021-04-11,202,460543
overview,United Kingdom,K02000001,2021-04-10,183,460341
overview,United Kingdom,K02000001,2021-04-09,204,460158
overview,United Kingdom,K02000001,2021-04-08,206,459954
overview,United Kingdom,K02000001,2021-04-07,235,459748
overview,United Kingdom,K02000001,2021-04-06,223,459513
overview,United Kingdom,K02000001,2021-04-05,234,459290
overview,United Kingdom,K02000001,2021-04-04,196,459056
overview,United Kingdom,K02000001,2021-04-03,222,458860
overview,United Kingdom,K02000001,2021-04-02,237,458638
overview,United Kingdom,K02000001,2021-04-01,234,458401
overview,United Kingdom,K02000001,2021-03-31,269,458167
overview,United Kingdom,K02000001,2021-03-30,256,457898
overview,United Kingdom,K02000001,2021-03-29,250,457642
overview,United Kingdom,K02000001,2021-03-28,272,457392
overview,United Kingdom,K02000001,2021-03-27,271,457120
overview,United Kingdom,K02000001,2021-03-26,298,456849
overview,United Kingdom,K02000001,2021-03-25,338,456551
overview,United Kingdom,K02000001,2021-03-24,348,456213
overview,United Kingdom,K02000001,2021-03-23,366,455865
overview,United Kingdom,K02000001,2021-03-22,360,455499
overview,United Kingdom,K02000001,2021-03-21,357,455139
overview,United Kingdom,K02000001,2021-03-20,364,454782
overview,United Kingdom,K02000001,2021-03-19,381,454418
overview,United Kingdom,K02000001,2021-03-18,449,454037
overview,United Kingdom,K02000001,2021-03-17,446,453588
overview,United Kingdom,K02000001,2021-03-16,440,453142
overview,United Kingdom,K02000001,2021-03-15,500,452702
overview,United Kingdom,K02000001,2021-03-14,425,452202
overview,United Kingdom,K02000001,2021-03-13,461,451777
overview,United Kingdom,K02000001,2021-03-12,480,451316
overview,United Kingdom,K02000001,2021-03-11,550,450836
overview,United Kingdom,K02000001,2021-03-10,567,450286
overview,United Kingdom,K02000001,2021-03-09,579,449719
overview,United Kingdom,K02000001,2021-03-08,576,449140
overview,United Kingdom,K02000001,2021-03-07,536,448564
overview,United Kingdom,K02000001,2021-03-06,637,448028
overview,United Kingdom,K02000001,2021-03-05,599,447391
overview,United Kingdom,K02000001,2021-03-04,703,446792
overview,United Kingdom,K02000001,2021-03-03,714,446089
overview,United Kingdom,K02000001,2021-03-02,834,445375
overview,United Kingdom,K02000001,2021-03-01,821,444541
overview,United Kingdom,K02000001,2021-02-28,769,443720
overview,United Kingdom,K02000001,2021-02-27,741,442951
overview,United Kingdom,K02000001,2021-02-26,863,442210
overview,United Kingdom,K02000001,2021-02-25,968,441347
overview,United Kingdom,K02000001,2021-02-24,1020,440379
overview,United Kingdom,K02000001,2021-02-23,1119,439359
overview,United Kingdom,K02000001,2021-02-22,1118,438240
overview,United Kingdom,K02000001,2021-02-21,1155,437122
overview,United Kingdom,K02000001,2021-02-20,1087,435967
overview,United Kingdom,K02000001,2021-02-19,1271,434880
overview,United Kingdom,K02000001,2021-02-18,1336,433609
overview,United Kingdom,K02000001,2021-02-17,1408,432273
overview,United Kingdom,K02000001,2021-02-16,1492,430865
overview,United Kingdom,K02000001,2021-02-15,1501,429373
overview,United Kingdom,K02000001,2021-02-14,1534,427872
overview,United Kingdom,K02000001,2021-02-13,1426,426338
overview,United Kingdom,K02000001,2021-02-12,1507,424912
overview,United Kingdom,K02000001,2021-02-11,1678,423405
overview,United Kingdom,K02000001,2021-02-10,1725,421727
overview,United Kingdom,K02000001,2021-02-09,1753,420002
overview,United Kingdom,K02000001,2021-02-08,1920,418249
overview,United Kingdom,K02000001,2021-02-07,1848,416329
overview,United Kingdom,K02000001,2021-02-06,1891,414481
overview,United Kingdom,K02000001,2021-02-05,2005,412590
overview,United Kingdom,K02000001,2021-02-04,2142,410585
overview,United Kingdom,K02000001,2021-02-03,2358,408443
overview,United Kingdom,K02000001,2021-02-02,2479,406085
overview,United Kingdom,K02000001,2021-02-01,2599,403606
overview,United Kingdom,K02000001,2021-01-31,2403,401007
overview,United Kingdom,K02000001,2021-01-30,2472,398604
overview,United Kingdom,K02000001,2021-01-29,2685,396132
overview,United Kingdom,K02000001,2021-01-28,3041,393447
overview,United Kingdom,K02000001,2021-01-27,3057,390406
overview,United Kingdom,K02000001,2021-01-26,3147,387349
overview,United Kingdom,K02000001,2021-01-25,2930,384202
overview,United Kingdom,K02000001,2021-01-24,3109,381272
overview,United Kingdom,K02000001,2021-01-23,3111,378163
overview,United Kingdom,K02000001,2021-01-22,3391,375052
overview,United Kingdom,K02000001,2021-01-21,3633,371661
overview,United Kingdom,K02000001,2021-01-20,4043,368028
overview,United Kingdom,K02000001,2021-01-19,4160,363985
overview,United Kingdom,K02000001,2021-01-18,4062,359825
overview,United Kingdom,K02000001,2021-01-17,3748,355763
overview,United Kingdom,K02000001,2021-01-16,3938,352015
overview,United Kingdom,K02000001,2021-01-15,3676,348077
overview,United Kingdom,K02000001,2021-01-14,4100,344401
overview,United Kingdom,K02000001,2021-01-13,4222,340301
overview,United Kingdom,K02000001,2021-01-12,4578,336079
overview,United Kingdom,K02000001,2021-01-11,4309,331501
overview,United Kingdom,K02000001,2021-01-10,3933,327192
overview,United Kingdom,K02000001,2021-01-09,4126,323259
overview,United Kingdom,K02000001,2021-01-08,3998,319133
overview,United Kingdom,K02000001,2021-01-07,4292,315135
overview,United Kingdom,K02000001,2021-01-06,4392,310843
overview,United Kingdom,K02000001,2021-01-05,4116,306451
overview,United Kingdom,K02000001,2021-01-04,3936,302335
overview,United Kingdom,K02000001,2021-01-03,3648,298399
overview,United Kingdom,K02000001,2021-01-02,3439,294751
overview,United Kingdom,K02000001,2021-01-01,3368,291312
overview,United Kingdom,K02000001,2020-12-31,2915,287944
overview,United Kingdom,K02000001,2020-12-30,3286,285029
overview,United Kingdom,K02000001,2020-12-29,3249,281743
overview,United Kingdom,K02000001,2020-12-28,3132,278494
overview,United Kingdom,K02000001,2020-12-27,2871,275362
overview,United Kingdom,K02000001,2020-12-26,2530,272491
overview,United Kingdom,K02000001,2020-12-25,2182,269961
overview,United Kingdom,K02000001,2020-12-24,2082,267779
overview,United Kingdom,K02000001,2020-12-23,2273,265697
overview,United Kingdom,K02000001,2020-12-22,2479,263424
overview,United Kingdom,K02000001,2020-12-21,2368,260945
overview,United Kingdom,K02000001,2020-12-20,2168,258577
overview,United Kingdom,K02000001,2020-12-19,2044,256409
overview,United Kingdom,K02000001,2020-12-18,1917,254365
