,Date,cases
0,0,0
1,1,0
2,2,0
3,3,0
4,4,1
5,5,1
6,6,2
7,7,8
8,8,9
9,9,6
10,10,3
11,11,5
12,12,14
13,13,7
14,14,10
15,15,7
16,16,9
17,17,12
18,18,8
19,19,10
20,20,13
21,21,7
22,22,11
23,23,17
24,24,11
25,25,9
26,26,15
27,27,19
28,28,12
29,29,9
30,30,18
31,31,15
32,32,17
33,33,18
34,34,15
35,35,22
36,36,10
37,37,19
38,38,22
39,39,20
40,40,19
41,41,18
42,42,19
43,43,21
44,44,17
45,45,24
46,46,11
47,47,20
48,48,23
49,49,26
50,50,33
51,51,30
52,52,16
53,53,21
54,54,37
55,55,34
56,56,30
57,57,29
58,58,29
59,59,37
60,60,39
61,61,24
62,62,30
63,63,40
64,64,49
65,65,31
66,66,45
67,67,37
68,68,50
69,69,36
70,70,38
71,71,54
72,72,45
73,73,53
74,74,49
75,75,52
76,76,49
77,77,54
78,78,48
79,79,59
80,80,68
81,81,49
82,82,61
83,83,43
84,84,54
85,85,71
86,86,59
87,87,57
88,88,62
89,89,70
90,90,71
91,91,59
92,92,76
93,93,74
94,94,96
95,95,79
96,96,75
97,97,88
98,98,92
99,99,104
100,100,96
101,101,117
102,102,104
103,103,91
104,104,98
105,105,102
106,106,101
107,107,147
108,108,110
109,109,108
110,110,123
111,111,133
112,112,135
113,113,153
114,114,153
115,115,121
116,116,149
117,117,144
118,118,171
119,119,134
120,120,172
121,121,144
122,122,164
123,123,169
124,124,176
125,125,198
126,126,227
127,127,196
128,128,222
129,129,212
130,130,189
131,131,208
132,132,238
133,133,236
134,134,204
135,135,227
136,136,243
137,137,213
138,138,239
139,139,254
140,140,277
141,141,271
142,142,287
143,143,295
144,144,262
145,145,303
146,146,319
147,147,338
148,148,357
149,149,347
150,150,379
151,151,347
152,152,357
153,153,387
154,154,405
155,155,422
156,156,435
157,157,372
158,158,415
159,159,413
160,160,477
161,161,488
162,162,545
163,163,521
164,164,502
165,165,496
166,166,523
167,167,542
168,168,555
169,169,594
170,170,630
171,171,587
172,172,569
173,173,662
174,174,647
175,175,673
176,176,731
177,177,710
178,178,767
179,179,735
180,180,744
181,181,780
182,182,831
183,183,812
184,184,853
185,185,869
186,186,858
187,187,919
188,188,909
189,189,891
190,190,1001
191,191,1065
192,192,1016
193,193,1059
194,194,1044
195,195,1114
196,196,1144
197,197,1183
198,198,1209
199,199,1218
200,200,1140
201,201,1216
202,202,1317
203,203,1356
204,204,1391
205,205,1411
206,206,1424
207,207,1380
208,208,1453
209,209,1477
210,210,1582
211,211,1643
212,212,1708
213,213,1618
214,214,1655
215,215,1670
216,216,1729
217,217,1797
218,218,1942
219,219,1963
220,220,1913
221,221,1791
222,222,2030
223,223,2098
224,224,2067
225,225,2231
226,226,2272
227,227,2205
228,228,2145
229,229,2278
230,230,2342
231,231,2516
232,232,2558
233,233,2528
234,234,2608
235,235,2505
236,236,2587
237,237,2691
238,238,2723
239,239,2967
240,240,2885
241,241,2893
242,242,2910
243,243,2968
244,244,3110
245,245,3240
246,246,3301
247,247,3330
248,248,3295
249,249,3100
250,250,3208
251,251,3351
252,252,3486
253,253,3785
254,254,3711
255,255,3391
256,256,3341
257,257,3277
258,258,3250
259,259,3109
260,260,3334
261,261,3170
262,262,2924
263,263,2890
264,264,2732
265,265,2847
266,266,2878
267,267,2809
268,268,2791
269,269,2743
270,270,2632
271,271,2537
272,272,2632
273,273,2645
274,274,2780
275,275,2558
276,276,2419
277,277,2340
278,278,2347
279,279,2340
280,280,2305
281,281,2335
282,282,2334
283,283,2219
284,284,2091
285,285,1939
286,286,2109
287,287,2101
288,288,2013
289,289,2003
290,290,1872
291,291,1926
292,292,1842
293,293,1838
294,294,1832
295,295,1833
296,296,1822
297,297,1645
298,298,1621
299,299,1638
300,300,1595
301,301,1602
302,302,1579
303,303,1567
304,304,1440
305,305,1391
306,306,1452
307,307,1355
308,308,1348
309,309,1414
310,310,1428
311,311,1249
312,312,1230
313,313,1272
314,314,1206
315,315,1188
316,316,1252
317,317,1230
318,318,1133
319,319,1091
320,320,1009
321,321,1039
322,322,1108
323,323,1036
324,324,1090
325,325,979
326,326,940
327,327,911
328,328,978
329,329,935
330,330,940
331,331,943
332,332,866
333,333,826
334,334,809
335,335,819
336,336,787
337,337,767
338,338,778
339,339,696
340,340,728
341,341,665
342,342,699
343,343,689
344,344,705
345,345,696
346,346,624
347,347,589
348,348,591
349,349,578
350,350,571
351,351,573
352,352,585
353,353,520
354,354,503
355,355,486
356,356,498
357,357,493
358,358,485
359,359,508
360,360,459
361,361,449
362,362,455
363,363,437
364,364,423
365,365,456
366,366,417
367,367,371
368,368,348
369,369,370
370,370,382
371,371,374
372,372,374
373,373,327
374,374,324
375,375,319
376,376,328
377,377,296
378,378,352
379,379,331
380,380,307
381,381,303
382,382,274
383,383,231
384,384,268
385,385,283
386,386,268
387,387,257
388,388,211
389,389,233
390,390,211
391,391,222
392,392,222
393,393,223
394,394,205
395,395,240
396,396,212
397,397,178
398,398,187
399,399,184
400,400,179
401,401,176
402,402,179
403,403,171
404,404,173
405,405,216
406,406,293
407,407,288
408,408,316
409,409,336
410,410,353
411,411,359
412,412,431
413,413,487
414,414,473
415,415,576
416,416,587
417,417,667
418,418,694
419,419,798
420,420,892
421,421,1026
422,422,998
423,423,1079
424,424,1144
425,425,1240
426,426,1338
427,427,1541
428,428,1773
429,429,1844
430,430,1874
431,431,1994
432,432,2209
433,433,2479
434,434,2771
435,435,3076
436,436,3273
437,437,3288
438,438,3489
439,439,3855
440,440,4306
441,441,4732
442,442,5231
443,443,5594
444,444,5751
445,445,5919
446,446,6553
447,447,7280
448,448,8051
449,449,8689
450,450,9364
451,451,9473
452,452,10073
453,453,10891
454,454,11394
455,455,10951
456,456,10222
457,457,9200
458,458,8469
459,459,7772
460,460,7282
461,461,7193
462,462,6998
463,463,6791
464,464,6541
465,465,5967
466,466,5516
467,467,5407
468,468,5284
469,469,5056
470,470,4973
471,471,4831
472,472,4467
473,473,4129
474,474,3875
475,475,3899
476,476,3796
477,477,3694
478,478,3624
479,479,3156
480,480,2958
481,481,2923
482,482,2755
483,483,2805
484,484,2595
485,485,2518
486,486,2322
487,487,2092
488,488,2065
489,489,1947
490,490,1989
491,491,1879
492,492,1778
493,493,1677
494,494,1570
495,495,1545
496,496,1475
497,497,1369
498,498,1331
499,499,1307
500,500,1166
501,501,1106
502,502,1056
503,503,1094
504,504,1138
505,505,1287
506,506,1525
507,507,1706
508,508,1854
509,509,2053
510,510,2371
511,511,2690
512,512,2841
513,513,3291
514,514,3256
515,515,3422
516,516,3755
517,517,4304
518,518,4692
519,519,5228
520,520,5512
521,521,5922
522,522,6050
523,523,6634
524,524,7409
525,525,8277
526,526,9074
527,527,9781
528,528,9883
529,529,10266
530,530,11335
531,531,12402
532,532,13285
533,533,14545
534,534,15192
535,535,15742
536,536,16062
537,537,17352
538,538,18658
539,539,19984
540,540,21275
541,541,21684
542,542,21820
543,543,21973
544,544,22851
545,545,23914
546,546,25326
547,547,26469
548,548,26425
549,549,25809
550,550,25536
551,551,25598
552,552,25862
553,553,26499
554,554,25693
555,555,22681
556,556,18808
557,557,14876
558,558,12347
559,559,10592
560,560,9306
561,561,8195
562,562,7335
563,563,6095
564,564,5333
565,565,4671
566,566,4282
567,567,3649
568,568,3453
569,569,3096
570,570,2655
571,571,2367
572,572,2063
573,573,1886
574,574,1696
575,575,1497
576,576,1376
577,577,1112
578,578,1051
579,579,874
580,580,772
581,581,756
582,582,639
583,583,568
584,584,540
585,585,427
586,586,425
587,587,346
588,588,306
589,589,265
590,590,273
